layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation
15,127839,6.75625,1.1598171,1.0,0.2832159563911066,0.2832159563911066
15,27553,3.5265625,0.5120639,1.0,-0.2055456727897801,0.2055456727897801
15,144842,1.2654297,0.86598706,0.85,0.1912279892153747,0.1912279892153747
15,111371,1.1768799,1.1763711,0.65,0.1814398304972235,0.1814398304972235
15,32893,0.7589844,0.7549356,0.6,-0.1402031109617147,0.1402031109617147
15,135551,0.73950195,0.9268002,0.55,-0.1133344895396144,0.1133344895396144
15,126720,2.991797,0.90465736,1.0,-0.0038398801820419,0.0038398801820419
16,33604,3.7148438,0.77035964,1.0,-0.0494148370454268,0.0494148370454268
17,65581,0.03956299,0.055344786,0.5,0.3371558525119346,0.3371558525119346
17,44675,1.826355,1.231531,0.9,0.2485199889252315,0.2485199889252315
17,111317,6.1875,1.1765531,1.0,-0.1264750597859009,0.1264750597859009
17,151157,3.7226562,0.42864576,1.0,0.0117183532169364,0.0117183532169364
18,152973,9.685938,0.9120758,1.0,-0.0622466052421174,0.0622466052421174
18,109919,3.8152344,0.8342977,1.0,0.0355126625245766,0.0355126625245766
19,135661,0.021911621,0.033204343,0.45,0.4555081442117732,0.4555081442117732
19,103010,0.08206177,0.08877105,0.75,0.3921535533451294,0.3921535533451294
19,11545,1.313916,1.0729496,0.95,0.3002140450722168,0.3002140450722168
19,44984,2.6339843,0.6689401,1.0,-0.20678317383948,0.20678317383948
19,68247,1.7609375,1.592632,0.6,-0.1658281280233948,0.1658281280233948
19,141119,2.672168,1.0125962,1.0,0.0556991492531512,0.0556991492531512
20,78322,0.8913086,0.9114654,0.6,0.2059657567346255,0.2059657567346255
20,146302,2.364453,1.8455641,0.8,-0.1981503262243099,0.1981503262243099
20,99485,1.0261719,0.9053109,0.6,-0.1124772284990114,0.1124772284990114
20,68236,3.5808594,0.9143072,1.0,0.0899741657455513,0.0899741657455513
20,26284,1.7745117,1.0837973,0.95,0.0307112197135426,0.0307112197135426
20,58760,7.6921873,1.0616851,1.0,0.0017039495286302,0.0017039495286302
