layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation,lang_profile,en_freq,fr_freq,lang_asym
10,59805,1.0,0.39580000000000004,0.8021,0.3958,0.3958,balanced,1.0,0.6042,0.3958
10,68612,1.0,0.625,0.6875,0.625,0.625,balanced,1.0,0.375,0.625
10,101190,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
10,25281,1.0,0.25,0.875,0.25,0.25,balanced,1.0,0.75,0.25
10,104215,0.8125,0.8125,0.40625,0.8125,0.8125,en_leaning,0.8125,0.0,0.8125
10,131503,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
11,59878,1.0,0.27080000000000004,0.8646,0.2708,0.2708,balanced,1.0,0.7292,0.2708
11,123551,1.0,0.14580000000000004,0.9271,0.1458,0.1458,balanced,1.0,0.8542,0.1458
11,155466,0.4792,0.4583,0.70835,0.4583,0.4583,balanced,0.4792,0.9375,0.4583
11,22932,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
11,89663,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
12,83869,1.0,0.02080000000000004,0.9896,0.0208,0.0208,balanced,1.0,0.9792,0.0208
12,4447,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
12,71563,0.7083,0.5625,0.42705000000000004,0.5625,0.5625,balanced,0.7083,0.1458,0.5625
12,22710,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
13,136136,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
13,50574,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
13,70603,1.0,0.1875,0.90625,0.1875,0.1875,balanced,1.0,0.8125,0.1875
13,72758,0.6875,0.3125,0.53125,0.3125,0.3125,balanced,0.6875,0.375,0.3125
14,28821,1.0,0.25,0.875,0.25,0.25,balanced,1.0,0.75,0.25
14,34023,1.0,0.10419999999999996,0.9479,0.1042,0.1042,balanced,1.0,0.8958,0.1042
14,111183,1.0,0.08330000000000004,0.95835,0.0833,0.0833,balanced,1.0,0.9167,0.0833
14,141271,0.875,0.35419999999999996,0.6979,0.3542,0.3542,balanced,0.875,0.5208,0.3542
14,41052,0.9583,0.20830000000000004,0.85415,0.2083,0.2083,balanced,0.9583,0.75,0.2083
14,65047,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
15,127839,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
15,41361,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
15,140048,0.8333,0.5833,0.54165,0.5833,0.5833,balanced,0.8333,0.25,0.5833
15,106898,1.0,0.08330000000000004,0.95835,0.0833,0.0833,balanced,1.0,0.9167,0.0833
15,24958,1.0,0.10419999999999996,0.9479,0.1042,0.1042,balanced,1.0,0.8958,0.1042
16,88149,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
16,80755,0.9792,0.6667,0.64585,0.6667,0.6667,balanced,0.9792,0.3125,0.6667
16,43079,1.0,0.10419999999999996,0.9479,0.1042,0.1042,balanced,1.0,0.8958,0.1042
17,19808,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
17,765,1.0,0.10419999999999996,0.9479,0.1042,0.1042,balanced,1.0,0.8958,0.1042
18,152973,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
18,162386,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
18,7651,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
18,149556,1.0,0.375,0.8125,0.375,0.375,balanced,1.0,0.625,0.375
18,36517,1.0,0.02080000000000004,0.9896,0.0208,0.0208,balanced,1.0,0.9792,0.0208
19,135640,1.0,0.20830000000000004,0.89585,0.2083,0.2083,balanced,1.0,0.7917,0.2083
19,161546,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
19,107296,1.0,0.33330000000000004,0.83335,0.3333,0.3333,balanced,1.0,0.6667,0.3333
19,132248,1.0,0.02080000000000004,0.9896,0.0208,0.0208,balanced,1.0,0.9792,0.0208
20,89742,1.0,0.35419999999999996,0.8229,0.3542,0.3542,balanced,1.0,0.6458,0.3542
20,132848,0.8958,0.33330000000000004,0.72915,0.3333,0.3333,balanced,0.8958,0.5625,0.3333
20,145235,0.9792,0.8333999999999999,0.5625,0.8333,0.8333,balanced,0.9792,0.1458,0.8333
20,37161,0.9792,0.10419999999999996,0.9271,0.1042,0.1042,balanced,0.9792,0.875,0.1042
20,58760,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
