experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,meta.source_prompt,meta.target_prompt,meta.source_correct,meta.target_correct,meta.target_incorrect,meta.selected_by_diff,meta.candidate_pool_size,meta.source_margin,meta.target_margin,meta.source_number,meta.target_number,meta.source_orig_idx,meta.target_orig_idx,meta.concept_index,meta.template_idx,source_script,meta.language,behaviour,split,model_size,run_id,prep_timestamp,graph_n_prompts,in_common_prompt_set,in_common_layer_set
ablation_zero,0,10,[59805],5.125,5.1875,0.0625,0.0625,0.0121951219274241,False,graph,,True,L10_F59805,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,b1_v2_multilingual_circuits_b1_train_n96,2026-03-21T16:51:20.394652,96,True,True
ablation_zero,0,10,[126447],5.125,5.1875,0.0625,0.0625,0.0121951219274241,False,graph,,True,L10_F126447,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,b1_v2_multilingual_circuits_b1_train_n96,2026-03-21T16:51:20.394652,96,True,True
ablation_zero,0,10,[68612],5.125,5.125,0.0,0.0,0.0,False,graph,,True,L10_F68612,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,b1_v2_multilingual_circuits_b1_train_n96,2026-03-21T16:51:20.394652,96,True,True
ablation_zero,0,10,[40520],5.125,5.0,-0.125,0.125,0.0243902438548483,False,graph,,True,L10_F40520,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,b1_v2_multilingual_circuits_b1_train_n96,2026-03-21T16:51:20.394652,96,True,True
ablation_zero,0,10,[148569],5.125,5.125,0.0,0.0,0.0,False,graph,,True,L10_F148569,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,b1_v2_multilingual_circuits_b1_train_n96,2026-03-21T16:51:20.394652,96,True,True
ablation_zero,0,10,[104215],5.125,5.0625,-0.0625,0.0625,0.0121951219274241,False,graph,,True,L10_F104215,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,b1_v2_multilingual_circuits_b1_train_n96,2026-03-21T16:51:20.394652,96,True,True
ablation_zero,0,11,[77813],5.125,4.5625,-0.5625,0.5625,0.1097560973468173,False,graph,,True,L11_F77813,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,b1_v2_multilingual_circuits_b1_train_n96,2026-03-21T16:51:20.394652,96,True,True
ablation_zero,0,11,[33438],5.125,4.65625,-0.46875,0.46875,0.0914634144556811,False,graph,,True,L11_F33438,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,b1_v2_multilingual_circuits_b1_train_n96,2026-03-21T16:51:20.394652,96,True,True
ablation_zero,0,11,[59878],5.125,4.59375,-0.53125,0.53125,0.1036585363831052,False,graph,,True,L11_F59878,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,b1_v2_multilingual_circuits_b1_train_n96,2026-03-21T16:51:20.394652,96,True,True
ablation_zero,0,12,[146578],5.125,2.9375,-2.1875,2.1875,0.4268292674598453,False,graph,,True,L12_F146578,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,b1_v2_multilingual_circuits_b1_train_n96,2026-03-21T16:51:20.394652,96,True,True
