prompt_idx,layer,zone,layer_delta,cumulative_delta,projected_logit_diff,baseline_logit_diff,flip_layer
0,10,early,0.0,0.0,5.125,5.125,
0,11,early,0.0,0.0,5.125,5.125,
0,12,early,1.6875,1.6875,6.8125,5.125,
0,13,early,0.46875,2.15625,7.28125,5.125,
0,14,early,0.0,2.15625,7.28125,5.125,
0,15,early,0.0,2.15625,7.28125,5.125,
0,16,early,0.0,2.15625,7.28125,5.125,
0,17,mid,0.0,2.15625,7.28125,5.125,
0,18,mid,0.0,2.15625,7.28125,5.125,
0,19,mid,0.0,2.15625,7.28125,5.125,
0,20,mid,0.0,2.15625,7.28125,5.125,
0,21,mid,0.0,2.15625,7.28125,5.125,
0,22,mid,0.46875,2.625,7.75,5.125,
0,23,late,0.140237808227539,2.765237808227539,7.890237808227539,5.125,
0,24,late,1.7911505699157715,4.5563883781433105,9.68138837814331,5.125,
0,25,late,2.125,6.6813883781433105,11.80638837814331,5.125,
1,10,early,0.0,0.0,6.65625,6.65625,
1,11,early,0.0,0.0,6.65625,6.65625,
1,12,early,1.09375,1.09375,7.75,6.65625,
1,13,early,0.46875,1.5625,8.21875,6.65625,
1,14,early,0.0,1.5625,8.21875,6.65625,
1,15,early,0.0,1.5625,8.21875,6.65625,
1,16,early,0.0,1.5625,8.21875,6.65625,
1,17,mid,0.0,1.5625,8.21875,6.65625,
1,18,mid,0.0,1.5625,8.21875,6.65625,
1,19,mid,0.0,1.5625,8.21875,6.65625,
1,20,mid,0.0,1.5625,8.21875,6.65625,
1,21,mid,0.0,1.5625,8.21875,6.65625,
1,22,mid,1.5,3.0625,9.71875,6.65625,
1,23,late,4.954822540283203,8.017322540283203,14.673572540283203,6.65625,
1,24,late,5.334895133972168,13.352217674255371,20.00846767425537,6.65625,
1,25,late,4.875,18.22721767425537,24.88346767425537,6.65625,
2,10,early,0.0,0.0,4.65625,4.65625,
2,11,early,0.0,0.0,4.65625,4.65625,
2,12,early,-0.3125,-0.3125,4.34375,4.65625,
2,13,early,0.34375,0.03125,4.6875,4.65625,
2,14,early,0.0,0.03125,4.6875,4.65625,
2,15,early,0.0,0.03125,4.6875,4.65625,
2,16,early,0.0,0.03125,4.6875,4.65625,
2,17,mid,0.0,0.03125,4.6875,4.65625,
2,18,mid,0.0,0.03125,4.6875,4.65625,
2,19,mid,0.0,0.03125,4.6875,4.65625,
2,20,mid,0.0,0.03125,4.6875,4.65625,
2,21,mid,0.0,0.03125,4.6875,4.65625,
2,22,mid,-0.59375,-0.5625,4.09375,4.65625,
2,23,late,1.0014166831970215,0.4389166831970215,5.0951666831970215,4.65625,
2,24,late,-0.7061634063720703,-0.26724672317504883,4.389003276824951,4.65625,
2,25,late,0.21875,-0.04849672317504883,4.607753276824951,4.65625,
3,10,early,0.0,0.0,4.9375,4.9375,
3,11,early,0.0,0.0,4.9375,4.9375,
3,12,early,-0.21875,-0.21875,4.71875,4.9375,
3,13,early,0.53125,0.3125,5.25,4.9375,
3,14,early,0.0,0.3125,5.25,4.9375,
3,15,early,0.0,0.3125,5.25,4.9375,
3,16,early,0.0,0.3125,5.25,4.9375,
3,17,mid,0.0,0.3125,5.25,4.9375,
3,18,mid,0.0,0.3125,5.25,4.9375,
3,19,mid,0.0,0.3125,5.25,4.9375,
3,20,mid,0.0,0.3125,5.25,4.9375,
3,21,mid,0.0,0.3125,5.25,4.9375,
3,22,mid,-0.625,-0.3125,4.625,4.9375,
3,23,late,1.7652692794799805,1.4527692794799805,6.3902692794799805,4.9375,
3,24,late,0.40540742874145497,1.8581767082214355,6.7956767082214355,4.9375,
3,25,late,0.3125,2.1706767082214355,7.1081767082214355,4.9375,
4,10,early,0.0,0.0,5.1875,5.1875,
4,11,early,0.0,0.0,5.1875,5.1875,
4,12,early,0.125,0.125,5.3125,5.1875,
4,13,early,0.125,0.25,5.4375,5.1875,
4,14,early,0.0,0.25,5.4375,5.1875,
4,15,early,0.0,0.25,5.4375,5.1875,
4,16,early,0.0,0.25,5.4375,5.1875,
4,17,mid,0.0,0.25,5.4375,5.1875,
4,18,mid,0.0,0.25,5.4375,5.1875,
4,19,mid,0.0,0.25,5.4375,5.1875,
4,20,mid,0.0,0.25,5.4375,5.1875,
4,21,mid,0.0,0.25,5.4375,5.1875,
4,22,mid,0.53125,0.78125,5.96875,5.1875,
4,23,late,1.340327262878418,2.121577262878418,7.309077262878418,5.1875,
4,24,late,4.496624946594238,6.618202209472656,11.805702209472656,5.1875,
4,25,late,0.0625,6.680702209472656,11.868202209472656,5.1875,
5,10,early,0.0,0.0,5.40625,5.40625,
5,11,early,0.0,0.0,5.40625,5.40625,
5,12,early,-0.3125,-0.3125,5.09375,5.40625,
5,13,early,0.1875,-0.125,5.28125,5.40625,
5,14,early,0.0,-0.125,5.28125,5.40625,
5,15,early,0.0,-0.125,5.28125,5.40625,
5,16,early,0.0,-0.125,5.28125,5.40625,
5,17,mid,0.0,-0.125,5.28125,5.40625,
5,18,mid,0.0,-0.125,5.28125,5.40625,
5,19,mid,0.0,-0.125,5.28125,5.40625,
5,20,mid,0.0,-0.125,5.28125,5.40625,
5,21,mid,0.0,-0.125,5.28125,5.40625,
5,22,mid,0.34375,0.21875,5.625,5.40625,
5,23,late,2.934852123260498,3.153602123260498,8.559852123260498,5.40625,
5,24,late,-0.0698609352111816,3.0837411880493164,8.489991188049316,5.40625,
5,25,late,-0.53125,2.5524911880493164,7.958741188049316,5.40625,
6,10,early,0.0,0.0,2.5625,2.5625,
