community_id,n_features,layer_range,dominant_profile,top_nodes,representative
0,30,L10–L15,balanced,"['L10_F105893', 'L10_F141643', 'L10_F25281', 'L10_F39895', 'L10_F79308']",L10_F105893
1,30,L20–L23,balanced,"['L20_F41532', 'L20_F89742', 'L21_F145615', 'L21_F148238', 'L21_F149302']",L20_F41532
2,1,L22–L22,fr_leaning,['L22_F108295'],L22_F108295
3,1,L24–L24,fr_leaning,['L24_F81698'],L24_F81698
4,1,L25–L25,fr_leaning,['L25_F104408'],L25_F104408
5,1,L10–L10,fr_leaning,['L10_F131503'],L10_F131503
6,36,L15–L20,balanced,"['L15_F106898', 'L15_F127839', 'L15_F41361', 'L16_F43079', 'L16_F45664']",L15_F106898
7,1,L11–L11,fr_leaning,['L11_F89663'],L11_F89663
8,1,L20–L20,fr_leaning,['L20_F101236'],L20_F101236
9,33,L22–L25,balanced,"['L22_F117460', 'L22_F128994', 'L23_F2019', 'L23_F29447', 'L23_F50133']",L22_F117460
10,1,L12–L12,fr_leaning,['L12_F22710'],L12_F22710
11,1,L25–L25,fr_leaning,['L25_F142914'],L25_F142914
