experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
ablation_zero,10,0,20,20.0,0.698828125,0.53125,0.598961476798578,-0.575390625,-0.3828125,0.2804040609645453,4.432421875,3.85703125,0.1,2
ablation_zero,10,1,20,20.0,0.698828125,0.53125,0.598961476798578,-0.575390625,-0.3828125,0.2804040609645453,4.432421875,3.85703125,0.1,2
ablation_zero,10,2,20,20.0,0.698828125,0.53125,0.598961476798578,-0.575390625,-0.3828125,0.2804040609645453,4.432421875,3.85703125,0.1,2
ablation_zero,10,3,20,20.0,0.698828125,0.53125,0.598961476798578,-0.575390625,-0.3828125,0.2804040609645453,4.432421875,3.85703125,0.1,2
ablation_zero,10,4,20,20.0,0.698828125,0.53125,0.598961476798578,-0.575390625,-0.3828125,0.2804040609645453,4.432421875,3.85703125,0.1,2
ablation_zero,11,0,20,20.0,0.670703125,0.375,0.7605239026127399,-0.476953125,-0.25,0.344983163050684,4.432421875,3.95546875,0.05,1
ablation_zero,11,1,20,20.0,0.670703125,0.375,0.7605239026127399,-0.476953125,-0.25,0.344983163050684,4.432421875,3.95546875,0.05,1
ablation_zero,11,2,20,20.0,0.670703125,0.375,0.7605239026127399,-0.476953125,-0.25,0.344983163050684,4.432421875,3.95546875,0.05,1
ablation_zero,11,3,20,20.0,0.670703125,0.375,0.7605239026127399,-0.476953125,-0.25,0.344983163050684,4.432421875,3.95546875,0.05,1
ablation_zero,11,4,20,20.0,0.670703125,0.375,0.7605239026127399,-0.476953125,-0.25,0.344983163050684,4.432421875,3.95546875,0.05,1
ablation_zero,12,0,20,20.0,0.45078125,0.375,0.38535174224977137,-0.22109375,-0.234375,0.21270296255228316,4.432421875,4.211328125,0.05,1
ablation_zero,12,1,20,20.0,0.45078125,0.375,0.38535174224977137,-0.22109375,-0.234375,0.21270296255228316,4.432421875,4.211328125,0.05,1
ablation_zero,12,2,20,20.0,0.45078125,0.375,0.38535174224977137,-0.22109375,-0.234375,0.21270296255228316,4.432421875,4.211328125,0.05,1
ablation_zero,12,3,20,20.0,0.45078125,0.375,0.38535174224977137,-0.22109375,-0.234375,0.21270296255228316,4.432421875,4.211328125,0.05,1
ablation_zero,12,4,20,20.0,0.45078125,0.375,0.38535174224977137,-0.22109375,-0.234375,0.21270296255228316,4.432421875,4.211328125,0.05,1
ablation_zero,13,103662,20,20.0,0.534375,0.375,0.45546836209020225,-0.284375,-0.25390625,0.11972397832793524,4.432421875,4.148046875,0.0,0
ablation_zero,14,57525,20,20.0,0.4328125,0.375,0.39113782127309443,-0.3765625,-0.2890625,0.1389528401528069,4.432421875,4.055859375,0.0,0
ablation_zero,14,133634,20,20.0,0.4328125,0.375,0.39113782127309443,-0.3765625,-0.2890625,0.1389528401528069,4.432421875,4.055859375,0.0,0
ablation_zero,15,127839,20,20.0,0.28359375,0.125,0.2645841157693224,-0.0234375,-0.0703125,0.10114501199263252,4.432421875,4.408984375,0.0,0
ablation_zero,16,37067,20,20.0,0.2859375,0.203125,0.26400434387624444,-0.03125,-0.015625,0.08914985642010509,4.432421875,4.401171875,0.0,0
ablation_zero,17,111317,20,20.0,0.4515625,0.4140625,0.3271995093432655,-0.3140625,-0.28125,0.1646108755933256,4.432421875,4.118359375,0.05,1
ablation_zero,17,119316,20,20.0,0.4515625,0.4140625,0.3271995093432655,-0.3140625,-0.28125,0.1646108755933256,4.432421875,4.118359375,0.05,1
ablation_zero,18,11566,20,20.0,0.435546875,0.21875,0.4731012069362358,-0.230859375,-0.125,0.13909776414357156,4.432421875,4.2015625,0.0,0
ablation_zero,19,5841,20,20.0,0.519921875,0.49609375,0.3438945849488686,-0.389453125,-0.4453125,0.15203786340182684,4.432421875,4.04296875,0.0,0
ablation_zero,19,82271,20,20.0,0.519921875,0.49609375,0.3438945849488686,-0.389453125,-0.4453125,0.15203786340182684,4.432421875,4.04296875,0.0,0
