cluster,physical_feature,lift,fire_a,fire_b,offset,layer,status,agglo_id
1,charge_plus_z_change,11.8,2.67,2.77,0.12,L10,accepted (pending c5),8
2,lepton_family,11.8,2.4,2.35,0.1,L11,accepted (pending c5),1
3,z_plus1_with_antineutrino,17.6,1.82,1.83,0.01,L12,descriptive (singleton),2
4,emitted_charge_minus1,7.8,1.97,1.89,0.08,L13,accepted (pending c5),7
5,neutron_to_proton,18.8,1.94,2.03,0.2,L14-22,partial,5
6,composite_nuclear_object,11.8,3.07,3.37,0.29,L15,descriptive (singleton),12
7,emitted_charge_minus1,9.8,⏳,⏳,⏳,L18,descriptive (singleton),6
8,composite_nuclear_object,17.6,1.36,1.31,0.12,L19,accepted (pending c5),9
9,z_plus1_with_antineutrino,11.8,2.17,1.94,0.23,L20,accepted (pending c5),4
10,heavy_nuclear_fragment,15.7,3.06,2.92,0.14,L21,accepted (pending c5),10
11,composite_nuclear_object,11.8,7.75,7.8,0.05,L23,accepted (pending c5),11
12,z_plus1_a_unchanged,6.3,5.27,5.09,0.39,L24-25,accepted (pending c5),3
