feature_id,ablation_zero,patching,steering
L10_F148569,20,20,20
L10_F15096,0,20,20
L10_F25281,20,20,20
L10_F59805,0,20,20
L11_F107914,20,20,20
L11_F148703,0,20,20
L11_F36396,0,20,20
L11_F46537,20,20,20
L11_F59878,20,20,20
L12_F39488,20,20,20
L12_F40178,20,20,20
L12_F4447,20,20,20
L12_F68142,0,20,20
L12_F71563,20,20,20
L13_F132137,20,20,20
L13_F145452,20,20,20
L13_F54591,20,20,20
L13_F72758,20,20,20
L13_F74172,20,20,20
L14_F106824,20,10,20
L14_F111183,20,20,0
L14_F114892,0,18,20
L14_F147543,0,8,20
L14_F3216,0,12,20
L14_F57525,20,20,0
L14_F59886,20,12,20
L15_F16555,20,20,20
L15_F24958,20,20,20
L15_F28063,20,20,20
L16_F101500,20,20,20
L16_F88149,0,20,20
L17_F108538,20,20,20
L17_F11599,0,20,20
L17_F124447,20,20,20
L18_F106139,20,20,20
L18_F149556,20,20,20
L18_F152305,0,20,20
L18_F36517,0,20,20
L19_F107296,20,18,0
L19_F124778,20,15,20
L19_F135640,20,20,20
L19_F135988,20,19,20
L19_F16966,0,10,20
L19_F34170,20,18,20
L20_F110274,0,19,20
L20_F145235,20,19,20
L20_F16630,0,7,20
L20_F55271,0,15,0
L20_F8575,20,11,20
L20_F89742,0,17,0
L20_F97102,20,12,20
L21_F45934,20,20,20
L21_F75521,20,20,20
L22_F41906,20,20,20
L22_F55083,0,20,20
L23_F147910,0,20,20
L23_F156970,0,20,20
L23_F21775,0,20,20
L23_F40170,20,20,20
L23_F83865,20,20,20
L24_F105042,0,16,20
L24_F106340,0,16,20
L24_F133094,0,16,0
L24_F20391,0,13,0
L24_F34943,20,16,20
L24_F35447,0,13,20
L24_F49489,20,10,20
L25_F121673,20,20,20
L25_F27813,20,20,20
L25_F51608,0,20,20
L25_F60934,0,20,20
L25_F70077,0,20,20
