cluster_id,name,mean_eff_α,mean_eff_β,frac_helps_α_on_α_prompts,frac_helps_β_on_β_prompts
0,Early β-Routing Module,-0.18990384615384617,0.25069259259259263,0.1282051282051282,0.8703703703703703
1,Early α-Attribution Pair (L11),0.06129358974358974,-0.08232222222222223,0.7435897435897436,0.24074074074074073
2,Singleton L12,0.05809615384615385,-0.05845185185185185,0.6153846153846154,0.3148148148148148
3,Early α-Attribution Pair (L13),-0.308223076923077,0.31289074074074075,0.0,0.9814814814814815
4,Mid-Layer α-Pair (L20),0.5266820512820514,-0.1879018518518518,0.9615384615384616,0.3333333333333333
5,Singleton L15,-0.10483076923076921,0.06423148148148149,0.1282051282051282,0.5740740740740741
6,L16 β-Processing Module,0.2217153846153846,-0.15926111111111116,0.9230769230769231,0.2222222222222222
7,Multi-Layer Convergence Module,0.3441884615384615,-0.5104777777777778,0.9230769230769231,0.018518518518518517
8,Singleton L18 β-Discriminator,-0.4085576923076923,0.43171111111111105,0.05128205128205128,0.9629629629629629
9,Mid-Late α-Attribution Module (L19–L21),-0.008360256410256409,-0.16865185185185183,0.5512820512820513,0.24074074074074073
10,Output Decision Module (L24–L25),0.04118717948717949,-0.20648148148148146,0.5897435897435898,0.07407407407407407
11,Cluster 11,0.11750641025641026,-0.036918518518518524,0.7948717948717948,0.4444444444444444
