ci,cj,co_fire_count,co_fire_frac,corr_alpha,corr_beta
7,8,74,0.5606060606060606,-0.46691946353570646,0.5260174466323401
4,7,68,0.5151515151515151,-0.22908846940491276,0.048766282997866624
4,8,65,0.49242424242424243,0.24089358090527802,-0.12452744749577904
3,8,58,0.4393939393939394,0.4260222231459263,0.3412858347309966
3,7,55,0.4166666666666667,-0.23183002189003268,0.20669527720934092
4,11,55,0.4166666666666667,0.055723737854731184,0.0037163355338029054
8,11,55,0.4166666666666667,-0.22144292615530514,0.22912869743919778
7,11,54,0.4090909090909091,0.1768699436290486,0.3291489772973654
3,11,53,0.4015151515151515,-0.318874604593288,0.004132201820080056
3,4,48,0.36363636363636365,0.4062343029284516,0.10928157217220037
0,7,32,0.24242424242424243,0.15610160889650718,-0.036063239037564164
0,8,31,0.23484848484848486,-0.05481078834007247,-0.1684747321250283
0,4,27,0.20454545454545456,0.26049376207170993,0.17077603430009977
4,6,26,0.19696969696969696,0.39822644050679806,0.43070129363008036
6,7,24,0.18181818181818182,-0.22918081321925413,0.0026919560614069612
0,3,22,0.16666666666666666,0.1095876485873785,-0.06710742230591801
0,11,20,0.15151515151515152,-0.013003434790585766,-0.3132343676997039
6,8,20,0.15151515151515152,0.15602613088277037,0.26294377505704253
7,10,18,0.13636363636363635,0.12330038957397278,0.35425423756376634
6,11,15,0.11363636363636363,0.1735664808524315,0.04681244939455334
4,9,13,0.09848484848484848,-0.05272459843846651,0.13254595545206896
7,9,13,0.09848484848484848,0.6140347722067924,0.42667223291466416
9,11,13,0.09848484848484848,0.13177421043340576,0.5320021504819598
3,9,12,0.09090909090909091,-0.12248970142701009,-0.025237521675060288
4,10,12,0.09090909090909091,0.04699335657301521,0.023476643540848264
3,6,11,0.08333333333333333,0.27853612894233853,0.267244027576264
3,10,10,0.07575757575757576,-0.22487690016155426,-0.014337623036168694
10,11,10,0.07575757575757576,0.18830503517466946,0.4553431688476203
8,9,9,0.06818181818181818,-0.3145777268706805,0.12690111060997097
8,10,9,0.06818181818181818,-0.03827216230614395,0.41538925262118614
0,6,7,0.05303030303030303,0.038565729538157324,0.015861257563903556
3,5,7,0.05303030303030303,-0.15481093283601316,-0.037494248874003544
4,5,7,0.05303030303030303,-0.04254068163935875,-0.139511678710311
5,7,7,0.05303030303030303,-0.048061361868482554,0.2006110780915825
5,8,7,0.05303030303030303,-0.07870158774995677,0.13950419788255078
9,10,7,0.05303030303030303,0.2128240045188844,0.45766942408997163
5,11,6,0.045454545454545456,0.34043047348394423,0.3893432099813611
0,10,5,0.03787878787878788,-0.09373182695766306,0.11352392087148654
1,3,5,0.03787878787878788,0.08833702153475224,0.0402634081209881
1,4,5,0.03787878787878788,0.24818173754205977,0.162384001770977
1,7,5,0.03787878787878788,-0.41446283297759456,-0.12641360845423136
1,11,5,0.03787878787878788,-0.02853798879081949,-0.10506565926138565
6,9,5,0.03787878787878788,-0.04542608995843888,0.2246360313738424
6,10,5,0.03787878787878788,0.24928128727100843,0.23985106820748303
0,9,4,0.030303030303030304,-0.14790724427257276,-0.03174920983937833
1,8,4,0.030303030303030304,0.405240072767623,-0.14425546801448028
2,7,4,0.030303030303030304,0.36060081043965403,-0.15263444225437095
5,9,4,0.030303030303030304,-0.25068688286257934,0.39126259625716286
2,3,3,0.022727272727272728,0.00996982875412449,0.11128948703094156
2,9,3,0.022727272727272728,0.0810371407367374,-0.1819113904646035
2,10,3,0.022727272727272728,-0.241401203988342,0.20363027881383952
0,5,2,0.015151515151515152,0.14831500130019618,-0.01742457862518207
1,6,2,0.015151515151515152,0.19665412147751518,0.09151252181133146
1,9,2,0.015151515151515152,-0.2584649079858587,-0.24117255446430885
2,11,2,0.015151515151515152,0.056138980230114266,0.13547243776359316
0,2,1,0.007575757575757576,0.22839929012270876,0.39774326654673986
1,5,1,0.007575757575757576,0.37328215159010447,-0.1773654445524301
1,10,1,0.007575757575757576,-0.006077487616987031,-0.355012924008764
2,4,1,0.007575757575757576,0.009293048768742375,-0.10374322052348788
2,6,1,0.007575757575757576,-0.05325010258672854,-0.09368735863407908
2,8,1,0.007575757575757576,-0.1413602581961775,0.016975172819351517
5,6,1,0.007575757575757576,0.06466667434207819,0.007132897292201894
