layer,n,n_clusters,iia_trained,iia_rand,delta_shift_abs
10,269,1,0.01858736059479554,0.011152416356877323,0.24326208178438663
11,269,1,0.0037174721189591076,0.0037174721189591076,0.11454460966542751
12,269,1,0.0,0.9962825278810409,0.1071096654275093
13,269,1,0.026022304832713755,0.9962825278810409,0.30309014869888473
14,269,1,0.0,0.9182156133828996,0.12372211895910781
15,269,1,0.0037174721189591076,0.929368029739777,0.15195167286245354
16,269,1,0.0037174721189591076,0.9851301115241635,0.2599907063197026
17,269,1,0.0,0.7881040892193308,0.16171003717472118
18,269,1,0.055762081784386616,0.9814126394052045,0.4254182156133829
19,269,1,0.007434944237918215,0.6394052044609665,0.2545306691449814
20,269,1,0.0,0.03345724907063197,0.12871747211895912
21,269,1,0.0,0.8661710037174721,0.4427276951672863
22,269,1,0.0,0.4721189591078067,0.3374767657992565
23,269,1,0.0037174721189591076,0.9888475836431226,0.6904042750929368
24,269,1,0.0037174721189591076,0.007434944237918215,0.5973513011152416
25,269,1,0.0037174721189591076,0.01858736059479554,0.2871747211895911
