feature_id,layer,feature_idx_0,mean_effect_en,mean_effect_fr,n_en,n_fr,sem_effect_en,sem_effect_fr,is_bridge,bridge_score
L10_F101190,10,101190,,1.4453125,,4.0,,0.27551295672421044,False,0.0
L10_F59805,10,59805,0.65625,0.90625,8.0,6.0,0.1630228538974126,0.5412057333707149,False,0.0
L10_F68612,10,68612,1.001953125,0.4955357142857143,16.0,14.0,0.2764119286148826,0.19402168625452326,False,0.0
L11_F22932,11,22932,-0.19401041666666666,-0.16145833333333334,24.0,24.0,0.17447980038550284,0.06670805157948627,True,0.16145833333333334
L12_F115685,12,115685,0.40625,,1.0,,,,False,0.0
L12_F146578,12,146578,-1.4776785714285714,-0.1015625,14.0,4.0,0.43449009478315864,0.023437500000000003,True,0.1015625
L12_F4447,12,4447,,-0.45913461538461536,,13.0,,0.1497604513908427,False,0.0
L12_F83869,12,83869,0.2465277777777778,-0.42857142857142855,9.0,7.0,0.23370531897846733,0.12382526227806381,False,0.0
L13_F136136,13,136136,-0.451171875,0.23046875,24.0,24.0,0.12290661217148631,0.07768928543090996,False,0.0
L14_F41052,14,41052,-0.07682291666666667,-0.10026041666666667,24.0,24.0,0.1768965390423838,0.12331832967808924,True,0.07682291666666667
L15_F125632,15,125632,-0.0625,0.453125,12.0,2.0,0.14712965512318268,0.26562499999999994,False,0.0
L15_F27553,15,27553,-0.005208333333333333,0.140625,6.0,22.0,0.15799374218444365,0.107700148106009,False,0.0
L15_F39942,15,39942,-0.3645833333333333,,6.0,,0.18674616982536604,,False,0.0
L16_F45664,16,45664,0.05078125,0.08333333333333333,24.0,24.0,0.09576289587602552,0.10683295073582265,False,0.0
L17_F151157,17,151157,0.5364583333333334,0.5130208333333334,24.0,24.0,0.117057848972372,0.18266250452908878,False,0.0
L18_F152973,18,152973,-0.033854166666666664,0.07682291666666667,24.0,24.0,0.10173074600245582,0.1050345272760398,False,0.0
L19_F135640,19,135640,0.15950520833333334,0.3815104166666667,24.0,24.0,0.11315909348905381,0.15875459986999985,False,0.0
L20_F145235,20,145235,-0.11029411764705882,-0.561141304347826,17.0,23.0,0.18023847845419808,0.11395899861848646,True,0.11029411764705882
L20_F89162,20,89162,-0.7879464285714286,-0.625,7.0,1.0,0.34065600869903223,,True,0.625
L21_F23114,21,23114,-0.19791666666666666,,6.0,,0.19088381792190887,,False,0.0
L21_F45934,21,45934,0.10590277777777778,0.05859375,18.0,24.0,0.15040409911499045,0.10720730587973024,False,0.0
L22_F41906,22,41906,-0.6026785714285714,-0.35625,14.0,20.0,0.24029114155942355,0.18379564416979383,True,0.35625
L22_F78043,22,78043,-0.30625,-1.1953125,10.0,4.0,0.16149529146902908,0.45040039334232007,True,0.30625
L23_F5853,23,5853,-0.5381944444444444,-0.7220394736842105,9.0,19.0,0.4112861512685646,0.29137178405527164,True,0.5381944444444444
L23_F61192,23,61192,0.7473958333333334,,6.0,,0.7330597338216679,,False,0.0
L23_F70485,23,70485,,-0.90625,,2.0,,0.7499999999999999,False,0.0
L23_F83865,23,83865,0.0625,-2.65625,3.0,2.0,0.36488083100285407,0.28125,False,0.0
L23_F90775,23,90775,0.4895833333333333,-0.53125,6.0,1.0,0.28716768233521295,,False,0.0
L24_F118673,24,118673,-0.5,,1.0,,,,False,0.0
L24_F119196,24,119196,-0.90234375,0.34375,8.0,13.0,0.3368544120978331,0.18045665231679495,False,0.0
L24_F60321,24,60321,0.14166666666666666,0.05113636363636364,15.0,11.0,0.14268063252181565,0.15790446393754978,False,0.0
L25_F43384,25,43384,-1.1681547619047619,-0.8645833333333334,21.0,24.0,0.2728190385957234,0.15101823906266876,True,0.8645833333333334
L25_F90133,25,90133,0.3177083333333333,,3.0,,0.37001167164398724,,False,0.0
