node_id,layer,feature_idx,n_en_active,n_fr_active,en_freq,fr_freq,lang_asym,lang_profile
L10_F131503,10,131503,0,18,0.0,0.75,0.75,fr_leaning
L10_F59805,10,59805,24,24,1.0,1.0,0.0,balanced
L10_F143891,10,143891,20,2,0.8333,0.0833,0.75,insufficient_data
L10_F68612,10,68612,24,24,1.0,1.0,0.0,balanced
L10_F101190,10,101190,24,24,1.0,1.0,0.0,balanced
L10_F102028,10,102028,20,7,0.8333,0.2917,0.5417,balanced
L10_F135728,10,135728,13,0,0.5417,0.0,0.5417,en_leaning
L10_F148569,10,148569,15,0,0.625,0.0,0.625,en_leaning
L10_F104215,10,104215,18,0,0.75,0.0,0.75,en_leaning
L10_F40520,10,40520,19,0,0.7917,0.0,0.7917,en_leaning
L11_F56459,11,56459,0,18,0.0,0.75,0.75,fr_leaning
L11_F33438,11,33438,24,7,1.0,0.2917,0.7083,balanced
L11_F77813,11,77813,24,16,1.0,0.6667,0.3333,balanced
L11_F59878,11,59878,24,23,1.0,0.9583,0.0417,balanced
L11_F107358,11,107358,23,4,0.9583,0.1667,0.7917,balanced
L11_F22932,11,22932,24,24,1.0,1.0,0.0,balanced
L11_F89663,11,89663,0,17,0.0,0.7083,0.7083,fr_leaning
L12_F22710,12,22710,0,22,0.0,0.9167,0.9167,fr_leaning
L12_F146578,12,146578,24,24,1.0,1.0,0.0,balanced
L12_F83869,12,83869,24,24,1.0,1.0,0.0,balanced
L12_F39488,12,39488,24,24,1.0,1.0,0.0,balanced
L12_F115685,12,115685,24,9,1.0,0.375,0.625,balanced
L12_F71563,12,71563,15,1,0.625,0.0417,0.5833,en_leaning
L13_F5837,13,5837,0,19,0.0,0.7917,0.7917,fr_leaning
L13_F70603,13,70603,24,22,1.0,0.9167,0.0833,balanced
L13_F108154,13,108154,19,2,0.7917,0.0833,0.7083,insufficient_data
L13_F72758,13,72758,18,13,0.75,0.5417,0.2083,balanced
L13_F122772,13,122772,0,11,0.0,0.4583,0.4583,fr_leaning
L13_F13612,13,13612,16,24,0.6667,1.0,0.3333,balanced
L14_F57525,14,57525,24,23,1.0,0.9583,0.0417,balanced
L15_F125632,15,125632,20,5,0.8333,0.2083,0.625,balanced
L15_F27553,15,27553,20,8,0.8333,0.3333,0.5,balanced
L15_F99399,15,99399,19,24,0.7917,1.0,0.2083,balanced
L15_F39942,15,39942,16,2,0.6667,0.0833,0.5833,insufficient_data
L16_F45664,16,45664,24,24,1.0,1.0,0.0,balanced
L16_F60195,16,60195,0,3,0.0,0.125,0.125,insufficient_data
