feature_id,layer,feature_idx_0,mean_effect_en,mean_effect_fr,n_en,n_fr,sem_effect_en,sem_effect_fr,is_bridge,bridge_score
L25_F43384,25,43384,-1.2073567708333333,-0.8424479166666666,48.0,48.0,0.19247818215728021,0.11868669550945361,True,0.8424479166666666
L25_F15948,25,15948,-1.1448567708333333,-0.8352864583333334,48.0,48.0,0.1968224762830183,0.13052180655911388,True,0.8352864583333334
L25_F70978,25,70978,-1.1520182291666667,-0.8313802083333334,48.0,48.0,0.19716581885017756,0.13023960035717205,True,0.8313802083333334
L25_F90133,25,90133,-1.0872395833333333,-0.822265625,48.0,48.0,0.19918253245857123,0.12929697543706328,True,0.822265625
L25_F19816,25,19816,-1.1539713541666667,-0.81640625,48.0,48.0,0.20125167039165928,0.13177238277163494,True,0.81640625
L25_F64049,25,64049,-1.1686197916666667,-0.81640625,48.0,48.0,0.19651720569388156,0.1308228793251826,True,0.81640625
L22_F99330,22,99330,-0.6881510416666666,-0.763671875,48.0,48.0,0.1257853266518308,0.15552776968427853,True,0.6881510416666666
L22_F41906,22,41906,-0.6770833333333334,-0.8450520833333334,48.0,48.0,0.11994694877051183,0.15910500683593296,True,0.6770833333333334
L23_F53700,23,53700,-0.6604817708333334,-1.1201171875,48.0,48.0,0.17464122512497895,0.2208886539606716,True,0.6604817708333334
L23_F83865,23,83865,-0.6471354166666666,-1.1546223958333333,48.0,48.0,0.17675945151230948,0.22223579363042525,True,0.6471354166666666
L22_F145377,22,145377,-0.6139322916666666,-0.7532552083333334,48.0,48.0,0.12310344245062765,0.1550324894258297,True,0.6139322916666666
L25_F41381,25,41381,-0.5553385416666666,-0.58984375,48.0,48.0,0.1394324916983932,0.10825967318770131,True,0.5553385416666666
L23_F153393,23,153393,-0.5426432291666666,-1.1298828125,48.0,48.0,0.16573059372266447,0.22265802705232904,True,0.5426432291666666
L20_F145235,20,145235,-0.4397786458333333,-0.5706380208333334,48.0,48.0,0.10493949817569019,0.0798512594957473,True,0.4397786458333333
L20_F98282,20,98282,-0.4381510416666667,-0.576171875,48.0,48.0,0.10593505149986998,0.07955749117077514,True,0.4381510416666667
L12_F83869,12,83869,-0.693359375,-0.4361979166666667,48.0,48.0,0.19190998189703531,0.08001892262853243,True,0.4361979166666667
L12_F40178,12,40178,-0.7259114583333334,-0.43359375,48.0,48.0,0.20527714471939645,0.09017078353363463,True,0.43359375
L12_F71563,12,71563,-0.7272135416666666,-0.427734375,48.0,48.0,0.20061775107725435,0.09056133628529853,True,0.427734375
L23_F40170,23,40170,-0.4192708333333333,-1.1077473958333333,48.0,48.0,0.1767762871791646,0.23158675010396063,True,0.4192708333333333
L12_F146578,12,146578,-0.865234375,-0.4088541666666667,48.0,48.0,0.19902207744860817,0.09201554413850843,True,0.4088541666666667
L23_F5853,23,5853,-0.345703125,-1.0533854166666667,48.0,48.0,0.1668407802285329,0.21652825945608442,True,0.345703125
L11_F59878,11,59878,-0.23795572916666666,-0.21549479166666666,48.0,48.0,0.09033114833984053,0.07837526174692999,True,0.21549479166666666
L11_F33438,11,33438,-0.22916666666666666,-0.20833333333333334,48.0,48.0,0.09711712145648722,0.08315653341704968,True,0.20833333333333334
L11_F77813,11,77813,-0.2216796875,-0.20247395833333334,48.0,48.0,0.0918086999725852,0.08196454662711782,True,0.20247395833333334
L21_F145615,21,145615,-0.17447916666666666,-0.2721354166666667,48.0,48.0,0.08421433542105976,0.10153887790166002,True,0.17447916666666666
L21_F129759,21,129759,-0.17447916666666666,-0.2591145833333333,48.0,48.0,0.08421433542105976,0.09930602616557432,True,0.17447916666666666
L24_F5768,24,5768,-0.14127604166666666,-0.09895833333333333,48.0,48.0,0.10144091187230134,0.10227532739533948,True,0.09895833333333333
L24_F79080,24,79080,-0.15169270833333334,-0.09895833333333333,48.0,48.0,0.11306079744286536,0.10227532739533948,True,0.09895833333333333
L24_F118673,24,118673,-0.310546875,-0.09700520833333333,48.0,48.0,0.11116664481661467,0.10310535179511005,True,0.09700520833333333
L14_F41052,14,41052,-0.0859375,-0.11588541666666667,48.0,48.0,0.12359828831295296,0.13252033706630284,True,0.0859375
L14_F57525,14,57525,-0.07161458333333333,-0.10611979166666667,48.0,48.0,0.11179394498209384,0.12316759892142183,True,0.07161458333333333
L24_F119196,24,119196,-0.3990885416666667,-0.06315104166666667,48.0,48.0,0.11699429841952293,0.09993838132031906,True,0.06315104166666667
L24_F60321,24,60321,-0.23372395833333334,-0.055989583333333336,48.0,48.0,0.12210603607007485,0.10341857229127566,True,0.055989583333333336
