node_id,layer,feature_idx,n_en_active,n_fr_active,en_freq,fr_freq,lang_asym,lang_profile
L10_F59805,10,59805,48,47,1.0,0.9792,0.0208,balanced
L10_F126447,10,126447,29,29,0.6042,0.6042,0.0,balanced
L10_F68612,10,68612,48,39,1.0,0.8125,0.1875,balanced
L10_F40520,10,40520,43,1,0.8958,0.0208,0.875,en_leaning
L10_F148569,10,148569,44,17,0.9167,0.3542,0.5625,balanced
L10_F104215,10,104215,40,3,0.8333,0.0625,0.7708,insufficient_data
L10_F141643,10,141643,1,48,0.0208,1.0,0.9792,fr_leaning
L10_F131503,10,131503,0,48,0.0,1.0,1.0,fr_leaning
L11_F77813,11,77813,45,24,0.9375,0.5,0.4375,balanced
L11_F33438,11,33438,48,42,1.0,0.875,0.125,balanced
L11_F59878,11,59878,48,41,1.0,0.8542,0.1458,balanced
L11_F56459,11,56459,0,48,0.0,1.0,1.0,fr_leaning
L11_F89663,11,89663,0,48,0.0,1.0,1.0,fr_leaning
L11_F126143,11,126143,46,48,0.9583,1.0,0.0417,balanced
L12_F146578,12,146578,48,48,1.0,1.0,0.0,balanced
L12_F83869,12,83869,48,48,1.0,1.0,0.0,balanced
L12_F40178,12,40178,47,41,0.9792,0.8542,0.125,balanced
L12_F71563,12,71563,34,0,0.7083,0.0,0.7083,en_leaning
L12_F22710,12,22710,0,48,0.0,1.0,1.0,fr_leaning
L12_F28960,12,28960,0,48,0.0,1.0,1.0,fr_leaning
L13_F70603,13,70603,48,47,1.0,0.9792,0.0208,balanced
L13_F72758,13,72758,33,20,0.6875,0.4167,0.2708,balanced
L13_F5837,13,5837,0,47,0.0,0.9792,0.9792,fr_leaning
L14_F41052,14,41052,46,44,0.9583,0.9167,0.0417,balanced
L14_F57525,14,57525,48,48,1.0,1.0,0.0,balanced
L15_F127839,15,127839,48,48,1.0,1.0,0.0,balanced
L16_F45664,16,45664,48,48,1.0,1.0,0.0,balanced
L17_F110833,17,110833,0,48,0.0,1.0,1.0,fr_leaning
L18_F152973,18,152973,48,48,1.0,1.0,0.0,balanced
L19_F135640,19,135640,48,42,1.0,0.875,0.125,balanced
L19_F123748,19,123748,29,9,0.6042,0.1875,0.4167,balanced
L19_F29102,19,29102,29,25,0.6042,0.5208,0.0833,balanced
L19_F6873,19,6873,0,40,0.0,0.8333,0.8333,fr_leaning
L19_F27199,19,27199,29,30,0.6042,0.625,0.0208,balanced
L20_F98282,20,98282,25,2,0.5208,0.0417,0.4792,insufficient_data
L20_F145235,20,145235,47,29,0.9792,0.6042,0.375,balanced
L20_F71357,20,71357,39,47,0.8125,0.9792,0.1667,balanced
L20_F158746,20,158746,0,48,0.0,1.0,1.0,fr_leaning
L20_F11606,20,11606,0,48,0.0,1.0,1.0,fr_leaning
L20_F111853,20,111853,0,35,0.0,0.7292,0.7292,fr_leaning
L20_F149117,20,149117,0,48,0.0,1.0,1.0,fr_leaning
L20_F101236,20,101236,0,48,0.0,1.0,1.0,fr_leaning
L20_F23519,20,23519,0,48,0.0,1.0,1.0,fr_leaning
L21_F129759,21,129759,0,48,0.0,1.0,1.0,fr_leaning
L21_F145615,21,145615,0,48,0.0,1.0,1.0,fr_leaning
L22_F41906,22,41906,48,48,1.0,1.0,0.0,balanced
L22_F99330,22,99330,34,4,0.7083,0.0833,0.625,balanced
L22_F145377,22,145377,36,14,0.75,0.2917,0.4583,balanced
L22_F108295,22,108295,0,48,0.0,1.0,1.0,fr_leaning
L22_F160273,22,160273,0,44,0.0,0.9167,0.9167,fr_leaning
L22_F32734,22,32734,1,39,0.0208,0.8125,0.7917,fr_leaning
L23_F40170,23,40170,47,14,0.9792,0.2917,0.6875,balanced
L23_F5853,23,5853,48,47,1.0,0.9792,0.0208,balanced
L23_F153393,23,153393,35,0,0.7292,0.0,0.7292,en_leaning
L23_F53700,23,53700,29,17,0.6042,0.3542,0.25,balanced
L23_F83865,23,83865,39,21,0.8125,0.4375,0.375,balanced
L23_F64429,23,64429,1,48,0.0208,1.0,0.9792,fr_leaning
L23_F111979,23,111979,0,48,0.0,1.0,1.0,fr_leaning
L23_F56267,23,56267,0,48,0.0,1.0,1.0,fr_leaning
L23_F3316,23,3316,0,35,0.0,0.7292,0.7292,fr_leaning
L23_F8645,23,8645,1,28,0.0208,0.5833,0.5625,fr_leaning
L24_F118673,24,118673,47,33,0.9792,0.6875,0.2917,balanced
L24_F60321,24,60321,48,38,1.0,0.7917,0.2083,balanced
L24_F5768,24,5768,37,0,0.7708,0.0,0.7708,en_leaning
L24_F119196,24,119196,43,42,0.8958,0.875,0.0208,balanced
L24_F79080,24,79080,34,0,0.7083,0.0,0.7083,en_leaning
