cluster_id,n_features,n_prompts,mean_individual_sum,mean_abs_sum,guaranteed_interact_frac,pred_sign_flip_frac,mean_baseline,min_possible_joint
0,5,470,0.2034,1.3297,0.621,0.411,0.5706,0.2236
1,4,470,-0.0489,0.5571,0.281,0.109,0.5706,-0.0022
2,3,470,0.0265,0.3465,0.16,0.047,0.5706,0.0418
3,3,470,0.0045,0.92,0.509,0.374,0.5706,0.0127
4,10,470,1.4464,4.409,0.979,0.232,0.5706,2.0709
5,3,470,-0.0781,0.4484,0.179,0.111,0.5706,-0.0741
6,5,470,0.1551,1.1288,0.53,0.157,0.5706,0.2432
7,10,470,-1.038,4.4189,0.945,0.221,0.5706,0.5795
8,4,470,0.1486,1.8217,0.813,0.619,0.5706,0.1862
9,7,470,-0.6975,1.3943,0.587,0.251,0.5706,-0.4572
10,5,470,-0.3702,0.8653,0.402,0.14,0.5706,-0.2064
11,10,470,0.399,3.265,0.936,0.164,0.5706,0.5858
