n_prompts,mean_joint_effect,mean_individual_sum,mean_interaction_term,mean_interaction_ratio,median_interaction_ratio,n_redundant_prompts,n_additive_prompts,n_synergistic_prompts,frac_redundant,frac_additive,frac_synergistic,sign_flip_rate_joint,pred_sign_flip_rate,ttest_vs_additive_p,cluster_id,correct_answer
233,-0.1684,-0.9216,0.7631,0.1559,0.1765,226,5,2,0.97,0.021,0.009,0.021,0.432,0.0,0,alpha
233,0.2553,1.338,-1.0873,0.2012,0.1923,227,6,0,0.974,0.026,0.0,0.154,0.389,0.0,0,beta
228,0.076,0.2854,-0.2164,0.2673,0.25,215,10,3,0.943,0.044,0.013,0.013,0.017,0.0,1,alpha
229,-0.0951,-0.386,0.2972,0.2316,0.2222,221,7,1,0.965,0.031,0.004,0.056,0.201,0.0,1,beta
220,0.0442,0.1445,-0.1078,0.3172,0.3333,208,11,1,0.945,0.05,0.005,0.0,0.0,0.0,2,alpha
221,-0.0211,-0.0924,0.0749,0.3094,0.3333,203,18,0,0.919,0.081,0.0,0.051,0.094,0.0,2,beta
236,-0.2929,-0.9096,0.6167,0.3176,0.3333,235,1,0,0.996,0.004,0.0,0.021,0.326,0.0,3,alpha
234,0.2866,0.9263,-0.6397,0.3085,0.3125,233,1,0,0.996,0.004,0.0,0.128,0.423,0.0,3,beta
233,0.3355,0.3545,-0.0221,0.4148,0.2727,190,11,32,0.815,0.047,0.137,0.0,0.085,0.0,4,alpha
230,-0.3678,-1.614,1.2674,0.2849,0.2347,211,8,11,0.917,0.035,0.048,0.192,0.419,0.0,4,beta
225,-0.1038,-0.2974,0.2039,0.3457,0.3333,213,12,0,0.947,0.053,0.0,0.004,0.064,0.0,5,alpha
221,0.0483,0.1432,-0.1004,0.3492,0.3333,210,9,2,0.95,0.041,0.009,0.068,0.158,0.0,5,beta
234,-0.0813,3.0534,-3.1572,-0.0132,0.0,223,0,11,0.953,0.0,0.047,0.004,0.034,0.0,6,alpha
234,-0.3355,-5.1644,4.8289,0.0496,0.0628,234,0,0,1.0,0.0,0.0,0.179,0.41,0.0,6,beta
235,-0.3901,-1.6238,1.239,0.2296,0.2368,234,1,0,0.996,0.004,0.0,0.038,0.708,0.0,7,alpha
234,0.4476,1.9362,-1.4885,0.2214,0.2308,234,0,0,1.0,0.0,0.0,0.214,0.53,0.0,7,beta
230,0.0111,1.2619,-1.2815,0.1405,0.0909,199,12,19,0.865,0.052,0.083,0.013,0.038,0.0,8,alpha
232,-0.0179,-0.4713,0.457,0.1374,0.1644,209,7,16,0.901,0.03,0.069,0.111,0.291,0.0,8,beta
226,0.0003,0.2282,-0.2366,0.1738,0.1667,216,8,2,0.956,0.035,0.009,0.0,0.021,0.0,9,alpha
229,-0.2121,-0.9737,0.7791,0.224,0.2143,225,3,1,0.983,0.013,0.004,0.111,0.261,0.0,9,beta
236,0.8099,4.527,-3.7172,0.2307,0.1823,230,0,6,0.975,0.0,0.025,0.004,0.017,0.0,10,alpha
232,-0.364,-1.8049,1.4557,0.1728,0.1633,221,4,7,0.953,0.017,0.03,0.162,0.427,0.0,10,beta
234,0.2164,1.1421,-0.9339,0.1949,0.1933,232,2,0,0.991,0.009,0.0,0.0,0.004,0.0,11,alpha
231,-0.1536,-0.8403,0.6953,0.1777,0.1913,227,4,0,0.983,0.017,0.0,0.038,0.312,0.0,11,beta
