cluster_id,prompt_idx,baseline_logit_diff,joint_logit_diff,joint_effect,individual_sum,interaction_term,interaction_ratio,sign_flipped_joint,predicted_sign_flip,correct_answer,level,sign_correct
0,0,1.5,1.625,0.125,0.3125,-0.1875,0.4,False,False,alpha,1,True
1,0,1.5,1.5625,0.0625,0.125,-0.0625,0.5,False,False,alpha,1,True
2,0,1.5,1.6875,0.1875,0.6875,-0.5,0.2727,False,False,alpha,1,True
3,0,1.5,1.25,-0.25,-0.5625,0.3125,0.4444,False,False,alpha,1,True
4,0,1.5,1.75,0.25,-1.75,2.0,-0.1429,False,True,alpha,1,True
5,0,1.5,1.375,-0.125,-0.5625,0.4375,0.2222,False,False,alpha,1,True
6,0,1.5,1.0625,-0.4375,1.0,-1.4375,-0.4375,False,False,alpha,1,True
7,0,1.5,1.25,-0.25,-1.125,0.875,0.2222,False,False,alpha,1,True
8,0,1.5,0.875,-0.625,-1.25,0.625,0.5,False,False,alpha,1,True
9,0,1.5,1.125,-0.375,-0.9375,0.5625,0.4,False,False,alpha,1,True
10,0,1.5,2.25,0.75,6.75,-6.0,0.1111,False,False,alpha,1,True
11,0,1.5,1.625,0.125,0.6875,-0.5625,0.1818,False,False,alpha,1,True
0,1,0.625,0.375,-0.25,-1.5625,1.3125,0.16,False,True,alpha,1,True
1,1,0.625,0.9375,0.3125,1.25,-0.9375,0.25,False,False,alpha,1,True
2,1,0.625,0.8125,0.1875,0.6875,-0.5,0.2727,False,False,alpha,1,True
3,1,0.625,0.3125,-0.3125,-0.8125,0.5,0.3846,False,True,alpha,1,True
4,1,0.625,1.6875,1.0625,2.375,-1.3125,0.4474,False,False,alpha,1,True
5,1,0.625,0.5,-0.125,-0.3125,0.1875,0.4,False,False,alpha,1,True
6,1,0.625,0.625,0.0,3.9375,-3.9375,0.0,False,False,alpha,1,True
7,1,0.625,0.125,-0.5,-2.25,1.75,0.2222,False,True,alpha,1,True
8,1,0.625,0.625,0.0,1.9375,-1.9375,0.0,False,False,alpha,1,True
9,1,0.625,0.75,0.125,0.75,-0.625,0.1667,False,False,alpha,1,True
10,1,0.625,1.6875,1.0625,7.75,-6.6875,0.1371,False,False,alpha,1,True
11,1,0.625,1.0,0.375,1.625,-1.25,0.2308,False,False,alpha,1,True
0,2,0.6875,0.4375,-0.25,-1.5625,1.3125,0.16,False,True,alpha,1,True
1,2,0.6875,0.875,0.1875,0.875,-0.6875,0.2143,False,False,alpha,1,True
2,2,0.6875,0.625,-0.0625,-0.25,0.1875,0.25,False,False,alpha,1,True
3,2,0.6875,0.375,-0.3125,-1.0625,0.75,0.2941,False,True,alpha,1,True
4,2,0.6875,1.25,0.5625,1.25,-0.6875,0.45,False,False,alpha,1,True
5,2,0.6875,0.625,-0.0625,-0.0625,0.0,1.0,False,False,alpha,1,True
6,2,0.6875,0.5625,-0.125,3.5625,-3.6875,-0.0351,False,False,alpha,1,True
7,2,0.6875,0.0625,-0.625,-2.5,1.875,0.25,False,True,alpha,1,True
8,2,0.6875,0.875,0.1875,1.375,-1.1875,0.1364,False,False,alpha,1,True
