n_prompts,mean_joint_effect,mean_individual_sum,mean_interaction_term,mean_interaction_ratio,median_interaction_ratio,n_redundant_prompts,n_additive_prompts,n_synergistic_prompts,frac_redundant,frac_additive,frac_synergistic,sign_flip_rate_joint,pred_sign_flip_rate,ttest_vs_additive_p,cluster_id,n_features
466,0.0426,0.2034,-0.1621,0.1786,0.1875,453,11,2,0.972,0.024,0.004,0.087,0.411,0.0,0,5
457,-0.0092,-0.0489,0.041,0.2494,0.2353,436,17,4,0.954,0.037,0.009,0.034,0.109,0.0,1,4
441,0.0117,0.0265,-0.0162,0.3133,0.3333,411,29,1,0.932,0.066,0.002,0.026,0.047,0.0,2,3
470,-0.0044,0.0045,-0.0088,0.313,0.3182,468,2,0,0.996,0.004,0.0,0.074,0.374,0.0,3,3
463,-0.0146,-0.6256,0.6185,0.3503,0.24,401,19,43,0.866,0.041,0.093,0.096,0.251,0.0,4,10
446,-0.0281,-0.0781,0.0531,0.3475,0.3333,423,21,2,0.948,0.047,0.004,0.036,0.111,0.0,5,3
468,-0.2078,-1.038,0.8359,0.0182,0.0361,457,0,11,0.976,0.0,0.024,0.091,0.221,0.0,6,5
469,0.027,0.1486,-0.1219,0.2255,0.234,468,1,0,0.998,0.002,0.0,0.126,0.619,0.0,7,10
462,-0.0033,0.399,-0.4085,0.1389,0.12,408,19,35,0.883,0.041,0.076,0.062,0.164,0.0,8,4
455,-0.1055,-0.3702,0.2746,0.1991,0.2,441,11,3,0.969,0.024,0.007,0.055,0.14,0.0,9,7
468,0.2254,1.3745,-1.1528,0.202,0.1778,451,4,13,0.964,0.009,0.028,0.083,0.221,0.0,10,5
465,0.0322,0.1551,-0.1245,0.1864,0.1923,459,6,0,0.987,0.013,0.0,0.019,0.157,0.0,11,10
