cluster_id,metadata_field,metadata_value,best_topk,best_lift,lift_top10,lift_top20,lift_top30,lift_top50,lift_top75,lift_top100,weighted_lift,enrichment_type,confidence,note
0,correct_answer,beta,10,1.6068,1.6068,1.406,1.2051,1.3256,1.3123,1.2855,1.1219,stable,medium,lift>1.2 at 6/6 cutoffs; weighted lift=1.12
0,cue_label,antineutrino_emitted,20,2.35,,2.35,1.5667,1.88,1.88,1.41,1.0294,narrow_decisive,low,lift>1.5 at 4/5 cutoffs but weighted lift weak (1.03)
0,cue_label,charge_plus_a_unchanged,20,11.75,7.8333,11.75,7.8333,6.2667,4.1778,3.9167,2.0524,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=2.05
0,cue_label,charge_plus_z_change,10,11.75,11.75,5.875,3.9167,3.525,3.9167,2.9375,1.7273,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.73
0,cue_label,composite_nuclear_object,30,5.875,,,5.875,3.525,3.1333,2.35,1.4541,stable,high,lift>1.5 at 4/4 cutoffs; weighted lift=1.45
0,cue_label,daughter_a_minus4,75,1.2533,,,,,1.2533,0.94,0.9165,absent,medium,"max lift=1.25, weighted=0.92"
0,cue_label,daughter_z_minus2,75,2.0889,,,,1.5667,2.0889,1.9583,1.2612,stable,medium,lift>1.2 at 3/3 cutoffs; weighted lift=1.26
0,cue_label,daughter_z_plus1,10,3.9167,3.9167,1.9583,3.9167,3.1333,2.6111,2.35,1.4062,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.41
0,cue_label,emitted_charge_minus1,75,1.5667,,,,,1.5667,1.5667,1.2142,narrow_decisive,low,lift>1.5 at 2/2 cutoffs but weighted lift weak (1.21)
0,cue_label,full_beta_process_spec,50,4.7,,2.9375,3.9167,4.7,4.7,3.525,1.6921,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.69
0,cue_label,helium4_equivalence,20,2.9375,,2.9375,1.9583,1.175,1.5667,1.7625,1.3837,stable,high,lift>1.5 at 4/5 cutoffs; weighted lift=1.38
0,cue_label,muon_family,75,1.0444,,,,,1.0444,0.7833,1.2181,narrow_decisive,low,moderate lift at limited cutoffs; weighted=1.22
0,cue_label,n_to_p_plus_z_plus1,20,2.9375,,2.9375,1.9583,1.175,0.7833,1.175,1.178,narrow_decisive,medium,"peak lift=2.94 at early cutoffs, decays to 1.27; weighted=1.18"
