cluster_id,top_k,metadata_field,metadata_value,observed_count,expected_count,observed_fraction,expected_fraction,lift,log_odds,cluster_abs_mass_covered,fisher_pval,rank_within_field
0,10,correct_answer,beta,8,4.979,0.8,0.4979,1.6068,0.4743,0.0608,0.05136,1
0,10,correct_answer,alpha,2,5.021,0.2,0.5021,0.3983,-0.9205,0.0608,0.99026,2
0,20,correct_answer,beta,14,9.957,0.7,0.4979,1.406,0.3407,0.1108,0.05169,1
0,20,correct_answer,alpha,6,10.043,0.3,0.5021,0.5975,-0.5151,0.1108,0.98227,2
0,30,correct_answer,beta,18,14.936,0.6,0.4979,1.2051,0.1866,0.1548,0.16669,1
0,30,correct_answer,alpha,12,15.064,0.4,0.5021,0.7966,-0.2274,0.1548,0.91106,2
0,50,correct_answer,beta,33,24.894,0.66,0.4979,1.3256,0.2819,0.2353,0.01106,1
0,50,correct_answer,alpha,17,25.106,0.34,0.5021,0.6771,-0.3899,0.2353,0.99526,2
0,75,correct_answer,beta,49,37.34,0.6533,0.4979,1.3123,0.2717,0.3277,0.00236,1
0,75,correct_answer,alpha,26,37.66,0.3467,0.5021,0.6904,-0.3705,0.3277,0.99898,2
0,100,correct_answer,beta,64,49.787,0.64,0.4979,1.2855,0.2511,0.4111,0.00095,1
0,100,correct_answer,alpha,36,50.213,0.36,0.5021,0.7169,-0.3328,0.4111,0.99957,2
0,10,level,2,7,3.702,0.7,0.3702,1.8908,0.637,0.0608,0.03421,1
0,10,level,AUX,2,1.191,0.2,0.1191,1.6786,0.5179,0.0608,0.33871,2
0,10,level,1,1,3.404,0.1,0.3404,0.2938,-1.225,0.0608,0.98518,3
0,20,level,2,13,7.404,0.65,0.3702,1.7557,0.5629,0.1108,0.00895,1
0,20,level,AUX,4,2.383,0.2,0.1191,1.6786,0.5179,0.1108,0.20548,2
0,20,level,1,2,6.809,0.1,0.3404,0.2938,-1.225,0.1108,0.99765,3
0,20,level,3,1,3.404,0.05,0.1702,0.2938,-1.225,0.1108,0.97801,3
0,30,level,2,15,11.106,0.5,0.3702,1.3506,0.3005,0.1548,0.09374,2
0,30,level,1,6,10.213,0.2,0.3404,0.5875,-0.5319,0.1548,0.97411,4
0,30,level,AUX,5,3.574,0.1667,0.1191,1.3988,0.3356,0.1548,0.27937,1
