cluster_id,feature_id,layer,role_label,community,is_circuit_feature,is_global_alpha_discrim,is_global_beta_discrim,mean_abs_effect,mean_signed_effect,top_positive_group,top_negative_group,top_positive_prompt,top_negative_prompt
0,L10_F128064,10,β-discrim,3,False,False,True,0.2845,0.0341,AUX-B9,AUX-P4,L2-BR1-v02,L2-AR7-v05
0,L10_F35580,10,β-discrim,3,False,False,True,0.2552,0.0427,AUX-P5,AUX-A10,AUX-P5-v01,AUX-A10-v01
0,L10_F68680,10,β-attr,3,False,False,False,0.258,0.0491,AUX-P5,AUX-B10,AUX-P5-v01,CP-L2-06-v01
0,L10_F80002,10,β-discrim,0,False,False,True,0.2744,0.0396,AUX-P5,AUX-A10,AUX-P5-v01,CP-L2-06-v01
0,L10_F83063,10,β-discrim,3,False,False,True,0.2576,0.038,AUX-P5,AUX-A10,AUX-P5-v01,CP-L2-06-v01
1,L11_F114815,11,β-attr,3,False,False,False,0.1411,-0.0137,AUX-P9,AUX-B7,L2-GRAD-A-v01,L3-B1-v01
1,L11_F144890,11,α-attr,3,False,False,False,0.1443,-0.017,AUX-A1,AUX-B7,L3-A3-v04,CP-L3-01-v02
1,L11_F151375,11,β-attr,3,False,False,False,0.1356,-0.0136,AUX-A5,AUX-B7,L2-GRAD-A-v01,CP-L2-01-v02
1,L11_F35425,11,α-attr,3,False,False,False,0.1361,-0.0046,AUX-A1,AUX-B7,L3-A3-v04,CP-L2-01-v02
2,L12_F2451,12,α-attr,3,False,False,False,0.1116,0.0108,AUX-B3,AUX-B2,L3-A3-v04,AUX-B2-v01
2,L12_F60,12,β-attr,3,False,False,False,0.1187,0.0094,AUX-B3,AUX-B2,L3-A3-v04,L1-B2-v06
2,L12_F71226,12,β-attr,3,False,False,False,0.1162,0.0063,AUX-B3,AUX-B2,L3-A3-v04,AUX-B2-v01
3,L13_F45942,13,α-attr,3,False,False,False,0.2968,-0.0013,AUX-B3,AUX-P1,AUX-B3-v01,L1-A6-v06
3,L13_F57499,13,α-attr,3,False,False,False,0.3049,0.0028,AUX-B3,AUX-P1,AUX-B3-v01,L3-A2-v08
3,L13_F58969,13,β-attr,3,False,False,False,0.3183,0.003,AUX-B3,AUX-P1,AUX-B3-v01,L1-A6-v06
4,L22_F110496,22,α-circuit,4,True,False,False,0.3932,0.0719,AUX-ISO5,AUX-B1,KW-A2-v01,AUX-B1-v01
4,L22_F113311,22,β-attr,1,False,False,False,0.3384,0.0918,AUX-ISO5,AUX-B1,CP-L1-04-v01,KW-B5-v02
4,L22_F133148,22,α-attr,2,False,False,False,0.2889,0.1045,AUX-ISO5,AUX-B1,L3-B2-v07,KW-B5-v02
4,L22_F28148,22,α-attr,5,False,False,False,0.3102,0.1267,AUX-ISO5,AUX-B1,L2-AR4-v08,KW-B5-v02
4,L22_F93236,22,α-attr,5,False,False,False,0.3185,0.1132,AUX-ISO5,AUX-B1,L1-A2-v01,KW-B5-v02
4,L23_F109767,23,β-attr,1,False,False,False,0.5292,0.1525,AUX-A3,KW-B5,L1-A2-v01,KW-B5-v02
4,L23_F140107,23,β-attr,2,False,False,False,0.5306,0.2141,AUX-A3,KW-B5,L2-AR8-v02,L1-B3-v02
4,L23_F161196,23,β-attr,2,False,False,False,0.5727,0.2114,AUX-A3,KW-B5,L2-AR8-v02,L1-B5-v07
4,L23_F71067,23,α-attr,2,False,False,False,0.5245,0.1761,AUX-A3,KW-B5,L1-A2-v01,KW-B5-v02
4,L23_F83556,23,α-circuit,2,True,False,False,0.603,0.1845,KW-A2,KW-B5,L3-A2-v05,L1-B3-v02
5,L15_F15507,15,α-attr,0,False,False,False,0.1507,-0.0243,AUX-P7,AUX-P1,CP-L2-08-v02,L3-B3-v06
5,L15_F64857,15,β-attr,0,False,False,False,0.154,-0.0257,CP-L2-08,AUX-P1,CP-L2-08-v02,L2-AR6-v08
5,L15_F89707,15,β-attr,0,False,False,False,0.1437,-0.0281,AUX-P7,AUX-CF12,CP-L2-08-v02,L2-AR6-v08
6,L16_F14097,16,β-attr,0,False,False,False,0.2291,0.0307,AUX-A6,AUX-B1,L2-AR8-v07,AUX-B1-v01
6,L16_F33974,16,β-attr,0,False,False,False,0.2225,0.0259,AUX-A6,AUX-B1,L2-AR1-v08,AUX-B1-v01
6,L16_F46637,16,β-attr,0,False,False,False,0.2265,0.0407,AUX-A6,AUX-B1,CP-L2-04-v01,AUX-B1-v01
6,L16_F53285,16,β-attr,0,False,False,False,0.2285,0.0297,AUX-A6,AUX-B1,L2-AR1-v02,AUX-B1-v01
6,L16_F82587,16,β-attr,0,False,False,False,0.2222,0.0281,AUX-A6,AUX-B1,L2-AR1-v08,AUX-B1-v01
7,L24_F18943,24,α-discrim,2,False,True,False,0.7307,-0.1362,AUX-ISO1,AUX-B4,AUX-ISO1-v01,AUX-B4-v01
7,L24_F249,24,α-discrim,2,False,True,False,0.5626,-0.1597,AUX-CF3,AUX-B4,AUX-CF3-v01,CP-L2-04-v02
7,L24_F52031,24,α-discrim,2,False,True,False,0.7658,-0.1293,AUX-CF3,AUX-ISO12,AUX-CF3-v01,CP-L2-04-v02
7,L24_F60777,24,β-circuit,2,True,False,False,0.4468,-0.1113,AUX-P3,AUX-B4,L1-A5-v04,CP-L2-04-v02
7,L24_F88968,24,α-discrim,2,False,True,False,0.6448,-0.1231,AUX-ISO1,AUX-ISO10,AUX-ISO1-v01,L2-BR6-v01
7,L25_F105937,25,β-attr,2,False,False,False,0.3186,-0.0617,AUX-P6,AUX-B4,AUX-P6-v01,CP-L2-04-v02
7,L25_F110282,25,α-attr,2,False,False,False,0.1827,-0.0769,AUX-CF3,AUX-B4,AUX-CF3-v01,CP-L2-04-v02
7,L25_F126439,25,α-attr,2,False,False,False,0.3019,-0.0808,AUX-P3,AUX-B4,AUX-P3-v01,CP-L2-04-v02
7,L25_F142075,25,β-attr,2,False,False,False,0.2804,-0.0701,AUX-CF3,AUX-B4,AUX-CF3-v01,CP-L2-04-v02
7,L25_F71226,25,α-circuit,2,True,False,False,0.1844,-0.089,AUX-P1,AUX-B4,L1-A2-v04,AUX-B4-v01
8,L18_F108180,18,β-attr,0,False,False,False,0.4543,0.0532,AUX-P12,AUX-P1,L1-B1-v03,L1-A1-v11
8,L18_F145795,18,β-discrim,0,False,False,True,0.4675,0.0417,AUX-P12,AUX-P1,L1-B1-v03,L1-A1-v11
8,L18_F152260,18,β-attr,5,False,False,False,0.4376,0.0132,AUX-P12,AUX-P1,L1-B1-v03,L2-AR7-v05
8,L18_F41804,18,β-attr,0,False,False,False,0.4624,0.0406,AUX-P12,AUX-P1,L1-B1-v03,L1-A3-v10
9,L14_F140141,14,β-attr,3,False,False,False,0.1909,-0.0975,AUX-A7,L2-BR2,AUX-B2-v01,L2-BR2-v06
9,L14_F24749,14,β-attr,3,False,False,False,0.197,-0.1011,AUX-B2,L2-BR2,L1-A3-v02,L2-BR2-v06
9,L17_F111674,17,β-attr,0,False,False,False,0.2021,-0.0981,AUX-P1,KW-B2,L1-B5-v06,L2-BR2-v06
9,L17_F122323,17,β-attr,0,False,False,False,0.1987,-0.1022,AUX-P1,KW-B2,L1-B5-v06,L2-BR2-v06
9,L17_F153539,17,α-attr,0,False,False,False,0.2028,-0.0988,AUX-P1,KW-B2,L1-B3-v04,L2-BR2-v06
9,L17_F63126,17,α-attr,0,False,False,False,0.2016,-0.098,AUX-P1,KW-B2,L1-B5-v06,L2-BR2-v06
9,L17_F6720,17,α-attr,0,False,False,False,0.2012,-0.1017,AUX-P1,KW-B2,L1-B5-v06,L2-BR2-v06
10,L20_F117855,20,β-attr,5,False,False,False,0.1919,-0.0991,AUX-P3,AUX-P9,CP-L3-03-v01,L3-B3-v06
10,L20_F18705,20,β-attr,4,False,False,False,0.1657,-0.0646,AUX-P3,AUX-P9,CP-L3-03-v01,L1-B3-v07
10,L20_F72939,20,α-attr,5,False,False,False,0.1683,-0.0787,AUX-P3,AUX-B1,CP-L3-03-v01,CP-L2-01-v02
10,L20_F74959,20,α-attr,5,False,False,False,0.1653,-0.0729,AUX-P3,AUX-B1,CP-L3-03-v01,L1-B3-v07
10,L20_F80071,20,β-attr,5,False,False,False,0.1741,-0.055,AUX-P3,AUX-P9,L1-A1-v03,CP-L2-01-v02
11,L19_F130590,19,α-attr,5,False,False,False,0.2537,0.0126,AUX-B2,AUX-P5,L3-B1-v08,L3-A2-v08
11,L19_F25394,19,β-attr,4,False,False,False,0.2404,0.0121,AUX-B2,AUX-P5,L3-B1-v08,L3-A2-v08
11,L19_F41536,19,α-attr,5,False,False,False,0.2591,0.0156,AUX-B2,AUX-P5,L3-B1-v08,L3-A2-v08
11,L19_F44438,19,β-attr,5,False,False,False,0.2557,0.0115,AUX-B8,AUX-P5,L3-B1-v08,L3-A2-v08
11,L19_F94584,19,β-attr,5,False,False,False,0.251,0.0147,AUX-B2,AUX-P5,L3-B1-v08,AUX-P5-v01
11,L21_F12280,21,α-attr,4,False,False,False,0.4244,0.0743,AUX-P5,AUX-P10,L3-A2-v05,L1-B3-v04
11,L21_F157518,21,α-attr,5,False,False,False,0.4077,0.0637,AUX-P5,AUX-P10,L3-A2-v05,CP-L2-11-v02
11,L21_F53078,21,β-attr,5,False,False,False,0.3941,0.0646,AUX-P5,AUX-P10,L3-A2-v05,L1-B3-v04
11,L21_F56012,21,β-attr,5,False,False,False,0.3961,0.0664,AUX-P5,AUX-P10,L3-A2-v05,CP-L2-11-v02
11,L21_F99203,21,β-attr,5,False,False,False,0.3827,0.0636,AUX-P5,AUX-P10,L3-A2-v05,CP-L2-11-v02
