group_id,mean_effect,mean_abs_effect,positive_agreement,negative_agreement,sfr,n_prompts,cluster_id,level,latent_state_target,correct_answer,cue_label
AUX-A1,-0.2125,0.2125,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-A10,-0.6125,0.6125,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-A2,-0.1625,0.1625,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-A3,-0.2375,0.2375,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-A4,-0.0875,0.0875,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-A5,-0.125,0.125,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-A6,-0.0875,0.1125,0.2,0.6,0.0,1,0,AUX,alpha,alpha,
AUX-A7,-0.2,0.2,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-A8,-0.0125,0.0375,0.2,0.2,0.0,1,0,AUX,alpha,alpha,
AUX-A9,-0.3375,0.3375,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-B1,0.1312,0.1312,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-B10,-0.5,0.5,0.0,1.0,1.0,1,0,AUX,beta,beta,
AUX-B2,-0.025,0.075,0.4,0.6,0.0,1,0,AUX,beta,beta,
AUX-B3,0.5875,0.5875,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-B4,0.4,0.4,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-B5,0.35,0.35,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-B6,-0.0125,0.0375,0.2,0.2,0.0,1,0,AUX,beta,beta,
AUX-B7,0.2,0.2,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-B8,0.4562,0.4562,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-B9,0.7375,0.7375,1.0,0.0,0.8,1,0,AUX,beta,beta,
AUX-CF1,-0.175,0.175,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-CF10,0.3875,0.3875,1.0,0.0,1.0,1,0,AUX,beta,beta,
AUX-CF11,-0.1375,0.1375,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-CF12,0.0625,0.0625,0.8,0.0,0.0,1,0,AUX,beta,beta,
AUX-CF2,0.4125,0.4125,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-CF3,-0.1625,0.1625,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-CF4,0.375,0.375,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-CF5,-0.2375,0.2375,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-CF6,0.425,0.425,1.0,0.0,1.0,1,0,AUX,beta,beta,
AUX-CF7,-0.3375,0.3375,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-CF8,0.2125,0.2125,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-CF9,-0.5,0.5,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
