cluster_id,n_features,min_layer,max_layer,layer_span,mean_abs_cosine_within,mean_signed_cosine_within,mean_coimportance_within,mean_residual_similarity_within,mean_feature_to_centroid_cosine
0,5,10,10,0,0.9759,0.9739,0.6802,0.9764,0.9903
1,4,11,11,0,0.9604,0.9574,0.7086,0.9761,0.9851
2,3,12,12,0,0.9411,0.9372,0.5446,0.957,0.9802
3,3,13,13,0,0.9874,0.9874,0.3968,0.9913,0.9958
4,10,22,23,1,0.8687,0.7793,0.3115,0.8102,0.9391
5,3,15,15,0,0.9601,0.9582,0.5079,0.9693,0.9866
6,5,16,16,0,0.9834,0.9828,0.7154,0.9866,0.9933
7,10,24,25,1,0.8801,0.8286,0.2532,0.9017,0.9445
8,4,18,18,0,0.9926,0.9924,0.6744,0.995,0.9972
9,7,14,17,3,0.8802,0.813,0.5386,0.8923,0.9473
10,5,20,20,0,0.9629,0.9595,0.5568,0.9784,0.9851
11,10,19,21,2,0.8397,0.1361,0.3244,0.4837,0.925
