cluster_id,n_features,dominant_answer,n_levels_covered,level_diversity_gini,group_coverage_frac,group_diversity_gini,n_cue_types,cue_diversity_gini,kw_free_mean_abs,kw_present_mean_abs,kw_ratio,cross_level_cue_jaccard,multi_variant_frac,alpha_group_coverage,beta_group_coverage,composite_reuse_score
0,5,beta,4,0.7008,1.0,0.9672,36,0.967,0.2645,0.2813,0.9405,1.0,0.3548,0.3462,0.2692,0.8432
1,4,beta,4,0.7094,1.0,0.9652,36,0.9664,0.1342,0.1936,0.6935,1.0,0.4,0.3462,0.2949,0.8291
2,3,beta,4,0.6927,1.0,0.9669,36,0.967,0.1177,0.0922,1.2763,1.0,0.4828,0.359,0.3846,0.8626
3,3,beta,4,0.704,1.0,0.969,36,0.9693,0.3103,0.268,1.1579,1.0,0.4062,0.3333,0.3974,0.8597
4,10,alpha,4,0.6975,1.0,0.9687,36,0.9667,0.4361,0.4924,0.8856,1.0,0.4444,0.3462,0.4359,0.8387
5,3,alpha,4,0.7222,1.0,0.9667,36,0.9673,0.1516,0.1268,1.1952,1.0,0.2222,0.4103,0.4103,0.8676
6,5,alpha,4,0.6919,1.0,0.9646,36,0.9656,0.2216,0.2709,0.8177,1.0,0.3667,0.3077,0.3333,0.831
7,10,beta,4,0.6996,1.0,0.971,36,0.9685,0.4459,0.3991,1.117,1.0,0.3333,0.3333,0.3718,0.8558
8,4,beta,4,0.6876,1.0,0.9649,36,0.9673,0.4636,0.3676,1.2612,1.0,0.3333,0.3205,0.2692,0.8595
9,7,beta,4,0.6869,1.0,0.966,36,0.965,0.1983,0.2092,0.9479,1.0,0.2903,0.4103,0.3462,0.8381
10,5,beta,4,0.6979,1.0,0.9677,36,0.963,0.1755,0.1466,1.1976,1.0,0.2,0.3333,0.359,0.8586
11,10,alpha,4,0.7096,1.0,0.9692,36,0.9686,0.3317,0.2709,1.2241,1.0,0.3103,0.3846,0.3333,0.866
