cluster_id,metadata_field,metadata_value,weighted_mass,weighted_fraction,global_fraction,weighted_lift,weighted_log_odds,weighted_rank_within_field
0,correct_answer,beta,69.8185,0.55858,0.49787,1.1219,0.115,1
0,correct_answer,alpha,55.1754,0.44142,0.50213,0.8791,-0.1288,2
0,level,2,49.3815,0.39507,0.37021,1.0671,0.065,2
0,level,3,19.475,0.15581,0.17021,0.9154,-0.0884,4
0,level,AUX,16.2249,0.12981,0.11915,1.0894,0.0857,1
0,level,1,39.9125,0.31932,0.34043,0.938,-0.064,3
0,cue_label,z_plus1_a_unchanged,3.9,0.0312,0.02128,1.4665,0.3829,5
0,cue_label,emitted_2neutrons,1.4375,0.0115,0.01702,0.6757,-0.3921,28
0,cue_label,emitted_charge_minus1,3.875,0.031,0.02553,1.2142,0.1941,12
0,cue_label,n_to_p_with_antineutrino,1.4687,0.01175,0.01702,0.6903,-0.3706,27
0,cue_label,muon_family,1.9437,0.01555,0.01277,1.2181,0.1973,11
0,cue_label,emitted_mass4,1.5875,0.0127,0.02553,0.4974,-0.6983,33
0,cue_label,composition_plus_daughter,0.9063,0.00725,0.01702,0.426,-0.8534,36
0,cue_label,emitted_2protons,1.5375,0.0123,0.01702,0.7227,-0.3248,25
0,cue_label,full_beta_process_spec,3.6,0.0288,0.01702,1.6921,0.526,3
0,cue_label,charge_plus_mass,1.7375,0.0139,0.02128,0.6533,-0.4257,29
0,cue_label,heavy_nuclear_fragment,0.8875,0.0071,0.01277,0.5562,-0.5866,31
0,cue_label,daughter_a_minus4,2.4375,0.0195,0.02128,0.9165,-0.0871,18
0,cue_label,helium4_equivalence,2.9438,0.02355,0.01702,1.3837,0.3247,8
0,cue_label,composition_2p2n,1.95,0.0156,0.02128,0.7332,-0.3103,23
0,cue_label,n_to_p_plus_z_plus1,2.5062,0.02005,0.01702,1.178,0.1638,13
0,cue_label,composite_nuclear_object,3.0937,0.02475,0.01702,1.4541,0.3744,6
0,cue_label,full_emitted_alpha_spec,1.0938,0.00875,0.01702,0.5141,-0.6653,32
