feature_id,hac_ward_abs_k2,hac_ward_abs_k3,hac_ward_abs_k4,hac_ward_abs_k5,hac_ward_abs_k6,hac_complete_abs_k2,hac_complete_abs_k3,hac_complete_abs_k4,hac_complete_abs_k5,hac_complete_abs_k6,hac_complete_signed_k2,hac_complete_signed_k3,hac_complete_signed_k4,hac_complete_signed_k5,hac_complete_signed_k6,hac_average_abs_k2,hac_average_abs_k3,hac_average_abs_k4,hac_average_abs_k5,hac_average_abs_k6,hac_average_signed_k2,hac_average_signed_k3,hac_average_signed_k4,hac_average_signed_k5,hac_average_signed_k6,spectral_abs_k2,spectral_abs_k3,spectral_abs_k4,spectral_abs_k5,spectral_abs_k6,spectral_signed_k2,spectral_signed_k3,spectral_signed_k4,spectral_signed_k5,spectral_signed_k6,kmeans_abs_k2,kmeans_abs_k3,kmeans_abs_k4,kmeans_abs_k5,kmeans_abs_k6,kmeans_group_k2,kmeans_group_k3,kmeans_group_k4,kmeans_group_k5,kmeans_group_k6,gmm_group_k2,gmm_group_k3,gmm_group_k4,gmm_group_k5,nmf_k2,nmf_k3,nmf_k4,nmf_k5,nmf_k6,cocluster_k2,cocluster_k3,cocluster_k4,cocluster_k5,cocluster_k6,louvain_abs_t30,louvain_abs_t50,bipartite_louvain,coimp_louvain,signed_laplacian_k2,signed_laplacian_k3,signed_laplacian_k4,signed_laplacian_k5,signed_laplacian_k6,residual_kmeans_k2,residual_kmeans_k3,residual_kmeans_k4,residual_kmeans_k5,residual_kmeans_k6,contrastive_k2,contrastive_k3,contrastive_k4,contrastive_k5,contrastive_k6,level_stability_L1
L10_F128064,1,2,3,3,4,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,0,1,3,4,5,1,2,1,3,4,0,1,3,1,5,0,1,1,0,5,1,0,1,2,0,2,3,3,3,0,1,0,2,5,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
L10_F35580,1,2,3,3,4,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,0,1,3,4,5,1,2,1,3,4,0,1,3,1,5,0,1,1,0,5,1,0,1,2,0,2,3,3,3,0,1,0,2,5,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
L10_F68680,1,2,3,3,4,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,0,1,3,4,5,1,2,1,3,4,0,1,3,1,5,0,1,1,0,5,1,0,1,2,0,2,3,3,3,0,1,0,2,5,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
L10_F80002,1,2,3,3,4,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,0,1,3,4,5,1,2,1,3,4,0,1,3,1,5,0,1,1,0,5,1,0,1,2,0,2,3,3,3,0,1,0,2,5,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
L10_F83063,1,2,3,3,4,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,0,1,3,4,5,1,2,1,3,4,0,1,3,1,5,0,1,1,0,5,1,0,1,2,0,2,3,3,3,0,1,0,2,5,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
L11_F114815,1,2,2,2,3,1,2,2,2,2,1,2,3,4,5,0,0,0,0,0,1,2,2,3,3,1,1,0,1,3,0,1,3,4,3,0,1,0,4,2,0,1,3,1,1,1,0,3,1,0,2,3,3,3,0,1,0,2,0,0,0,1,1,0,0,2,4,4,1,2,0,2,3,0,0,0,0,0,0
L11_F144890,1,2,2,2,3,1,2,2,2,2,1,2,3,4,5,0,0,0,0,0,1,2,2,3,3,1,1,0,1,3,0,1,3,4,3,0,1,0,4,2,0,1,3,1,1,1,0,3,1,0,2,3,3,3,0,1,0,2,0,0,0,1,1,0,0,2,4,4,1,2,0,2,3,0,0,0,0,0,0
L11_F151375,1,2,2,2,3,1,2,2,2,2,1,2,3,4,5,0,0,0,0,0,1,2,2,3,3,1,1,0,1,3,0,1,3,4,3,0,1,0,4,2,0,1,3,1,1,1,0,3,1,0,2,3,3,3,0,1,0,2,0,0,0,1,1,0,0,2,4,4,1,2,0,2,3,0,0,0,0,0,0
L11_F35425,1,2,2,2,3,1,2,2,2,2,1,2,3,4,5,0,0,0,0,0,1,2,2,3,3,1,1,0,1,3,0,1,3,4,3,0,1,0,4,2,0,1,3,1,1,1,0,3,1,0,2,3,3,3,0,1,0,2,2,0,0,1,1,0,0,2,4,4,1,2,0,2,3,0,0,3,2,4,0
L12_F2451,1,2,3,4,5,1,2,2,2,3,1,2,2,3,4,1,2,2,2,2,1,1,1,2,2,0,1,0,1,3,0,1,3,3,4,0,1,3,3,4,1,0,1,2,0,1,0,1,0,0,2,3,3,3,0,1,0,3,2,0,0,1,2,1,2,3,2,5,1,1,3,2,5,0,0,3,2,4,2
