method,n_clusters,silhouette,runtime_s
hac_ward_abs_k2,2,0.19680610299110413,0.01
hac_ward_abs_k3,3,0.27056896686553955,0.01
hac_ward_abs_k4,4,0.32217592000961304,0.01
hac_ward_abs_k5,5,0.3668939471244812,0.01
hac_ward_abs_k6,6,0.41655662655830383,0.01
hac_complete_abs_k2,2,0.19680610299110413,0.01
hac_complete_abs_k3,3,0.27056896686553955,0.01
hac_complete_abs_k4,4,0.3120218813419342,0.01
hac_complete_abs_k5,5,0.34747472405433655,0.01
hac_complete_abs_k6,6,0.4005917012691498,0.01
hac_complete_signed_k2,2,0.1431393325328827,0.01
hac_complete_signed_k3,3,0.20867228507995605,0.01
hac_complete_signed_k4,4,0.25170469284057617,0.01
hac_complete_signed_k5,5,0.28040868043899536,0.01
hac_complete_signed_k6,6,0.31685885787010193,0.01
hac_average_abs_k2,2,0.24983422458171844,0.01
hac_average_abs_k3,3,0.23801128566265106,0.01
hac_average_abs_k4,4,0.2537232041358948,0.01
hac_average_abs_k5,5,0.27996617555618286,0.01
hac_average_abs_k6,6,0.37626397609710693,0.01
hac_average_signed_k2,2,0.1431393325328827,0.01
hac_average_signed_k3,3,0.18060073256492615,0.01
hac_average_signed_k4,4,0.24945922195911407,0.01
hac_average_signed_k5,5,0.2780527174472809,0.01
hac_average_signed_k6,6,0.38728249073028564,0.01
spectral_abs_k2,2,0.19425036013126373,0.21
spectral_abs_k3,3,0.27056896686553955,0.21
spectral_abs_k4,4,0.30891844630241394,0.21
spectral_abs_k5,5,0.35694316029548645,0.21
spectral_abs_k6,6,0.37662601470947266,0.21
spectral_signed_k2,2,0.1431393325328827,0.08
spectral_signed_k3,3,0.230281263589859,0.08
spectral_signed_k4,4,0.30107176303863525,0.08
spectral_signed_k5,5,0.2616940438747406,0.08
spectral_signed_k6,6,0.3305104672908783,0.08
kmeans_abs_k2,2,0.2064662128686905,0.18
kmeans_abs_k3,3,0.27056896686553955,0.18
kmeans_abs_k4,4,0.32217592000961304,0.18
kmeans_abs_k5,5,0.3562919795513153,0.18
kmeans_abs_k6,6,0.41564691066741943,0.18
kmeans_group_k2,2,0.2054884135723114,0.14
kmeans_group_k3,3,0.2693052589893341,0.14
kmeans_group_k4,4,0.3213171660900116,0.14
kmeans_group_k5,5,0.37127652764320374,0.14
kmeans_group_k6,6,0.3969632685184479,0.14
gmm_group_k2,2,0.21195721626281738,0.05
gmm_group_k3,3,0.24747712910175323,0.05
gmm_group_k4,4,0.3213171660900116,0.05
gmm_group_k5,5,0.3012273907661438,0.05
nmf_k2,2,0.7119180560112,0.13
nmf_k3,3,0.7781650424003601,0.13
nmf_k4,4,0.7426285147666931,0.13
nmf_k5,5,0.7728117108345032,0.13
nmf_k6,6,0.8188503384590149,0.13
cocluster_k2,2,0.014163470827043056,0.77
cocluster_k3,3,0.031916894018650055,0.77
cocluster_k4,4,0.061410870403051376,0.77
cocluster_k5,5,0.1826009750366211,0.77
cocluster_k6,6,0.23143701255321503,0.77
louvain_abs_t30,3,0.27056896686553955,0.29
louvain_abs_t50,3,0.27056896686553955,0.29
bipartite_louvain,2,0.11595278233289719,0.02
coimp_louvain,12,0.6020039319992065,0.01
signed_laplacian_k2,2,0.14270219206809998,0.2
signed_laplacian_k3,3,0.15120823681354523,0.2
signed_laplacian_k4,4,0.1659795045852661,0.2
signed_laplacian_k5,5,0.22473305463790894,0.2
signed_laplacian_k6,6,0.31838202476501465,0.2
residual_kmeans_k2,2,0.6135422587394714,0.17
residual_kmeans_k3,3,0.4193287789821625,0.17
residual_kmeans_k4,4,0.4734784960746765,0.17
residual_kmeans_k5,5,0.47197431325912476,0.17
residual_kmeans_k6,6,0.5266227126121521,0.17
contrastive_k2,2,0.7196780443191528,0.14
contrastive_k3,3,0.8057376742362976,0.14
contrastive_k4,4,0.7709575295448303,0.14
contrastive_k5,5,0.7397794723510742,0.14
contrastive_k6,6,0.7338978052139282,0.14
level_stability_L1,4,0.3103253245353699,0.17
