feature_id,group_id,n_prompts,n_nonzero,mean_effect,mean_abs_effect,max_abs_effect,sfr,n_flip,layer,community,grad_attr_sign,role_label,level,latent_state_target,correct_answer,cue_label
L10_F128064,CP-L1-01,2,2,0.0,0.3125,0.3125,0.5,1,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,CP-L1-02,2,2,-0.125,0.3125,0.4375,0.0,0,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,CP-L1-03,2,2,-0.03125,0.28125,0.3125,0.0,0,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,CP-L1-04,2,1,0.03125,0.03125,0.0625,0.0,0,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,CP-L1-05,2,2,0.0,0.25,0.25,0.0,0,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,CP-L1-06,2,2,0.09375,0.21875,0.3125,0.0,0,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,KW-A1,2,1,-0.125,0.125,0.25,0.0,0,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,KW-A2,2,2,-0.09375,0.15625,0.25,0.0,0,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,KW-A3,2,2,-0.28125,0.28125,0.3125,0.0,0,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,KW-A4,2,2,0.03125,0.28125,0.3125,0.0,0,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,KW-A5,2,2,-0.15625,0.15625,0.1875,0.0,0,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,KW-A6,2,2,-0.46875,0.46875,0.625,0.0,0,10,3,1,β-discrim,1,alpha,alpha,
L10_F128064,KW-B1,2,2,0.5,0.5,0.5625,0.0,0,10,3,1,β-discrim,1,beta,beta,
L10_F128064,KW-B2,2,2,0.375,0.375,0.5625,0.0,0,10,3,1,β-discrim,1,beta,beta,
L10_F128064,KW-B3,2,2,0.25,0.25,0.25,0.0,0,10,3,1,β-discrim,1,beta,beta,
L10_F128064,KW-B4,2,2,0.296875,0.296875,0.3125,0.0,0,10,3,1,β-discrim,1,beta,beta,
L10_F128064,KW-B5,2,1,0.0625,0.0625,0.125,0.0,0,10,3,1,β-discrim,1,beta,beta,
L10_F128064,KW-B6,2,2,0.21875,0.21875,0.3125,0.0,0,10,3,1,β-discrim,1,beta,beta,
L10_F128064,L1-A1,12,11,-0.2916666666666667,0.3229166666666667,0.5,0.0,0,10,3,1,β-discrim,1,alpha,alpha,emitted_charge_plus2
L10_F128064,L1-A2,12,11,-0.10416666666666667,0.13541666666666666,0.3125,0.0,0,10,3,1,β-discrim,1,alpha,alpha,emitted_mass4
L10_F128064,L1-A3,12,12,-0.390625,0.390625,0.625,0.0,0,10,3,1,β-discrim,1,alpha,alpha,daughter_z_minus2
L10_F128064,L1-A4,10,10,-0.26875,0.26875,0.5,0.0,0,10,3,1,β-discrim,1,alpha,alpha,daughter_a_minus4
L10_F128064,L1-A5,8,8,-0.171875,0.21875,0.375,0.0,0,10,3,1,β-discrim,1,alpha,alpha,emitted_2protons
