feature_id,level,n_prompts,n_nonzero,mean_effect,mean_abs_effect,max_abs_effect,sfr,n_flip,layer,community,grad_attr_sign,role_label
L10_F128064,1,160,152,0.021875,0.271484375,0.8125,0.075,12,10,3,1,β-discrim
L10_F128064,2,174,168,0.051364942528735635,0.2963362068965517,0.875,0.09770114942528736,17,10,3,1,β-discrim
L10_F128064,3,80,77,0.015625,0.265625,0.78125,0.0125,1,10,3,1,β-discrim
L10_F128064,AUX,56,54,0.04185267857142857,0.3119419642857143,0.75,0.10714285714285714,6,10,3,1,β-discrim
L10_F35580,1,160,151,0.022265625,0.240625,0.75,0.05625,9,10,3,1,β-discrim
L10_F35580,2,174,165,0.07632902298850575,0.2760416666666667,0.75,0.08620689655172414,15,10,3,1,β-discrim
L10_F35580,3,80,74,0.014453125,0.224609375,0.59375,0.0,0,10,3,1,β-discrim
L10_F35580,AUX,56,51,0.036830357142857144,0.27566964285714285,0.9375,0.10714285714285714,6,10,3,1,β-discrim
L10_F68680,1,160,152,0.037109375,0.241015625,0.8125,0.0625,10,10,3,-1,β-attr
L10_F68680,2,174,162,0.07543103448275862,0.2765804597701149,0.8125,0.09195402298850575,16,10,3,-1,β-attr
L10_F68680,3,80,75,0.008203125,0.235546875,0.65625,0.0,0,10,3,-1,β-attr
L10_F68680,AUX,56,54,0.05970982142857143,0.2806919642857143,1.0625,0.08928571428571429,5,10,3,-1,β-attr
L10_F80002,1,160,151,0.023046875,0.25234375,0.75,0.06875,11,10,0,1,β-discrim
L10_F80002,2,174,172,0.06321839080459771,0.2913074712643678,0.78125,0.10344827586206896,18,10,0,1,β-discrim
L10_F80002,3,80,76,0.0125,0.2609375,0.625,0.0125,1,10,0,1,β-discrim
L10_F80002,AUX,56,55,0.05189732142857143,0.3041294642857143,1.0625,0.10714285714285714,6,10,0,1,β-discrim
L10_F83063,1,160,157,0.02421875,0.241796875,0.6875,0.06875,11,10,3,1,β-discrim
L10_F83063,2,174,166,0.06429597701149425,0.27873563218390807,0.8125,0.09195402298850575,16,10,3,1,β-discrim
L10_F83063,3,80,77,0.00390625,0.23046875,0.6875,0.0,0,10,3,1,β-discrim
L10_F83063,AUX,56,52,0.04408482142857143,0.27622767857142855,0.9375,0.10714285714285714,6,10,3,1,β-discrim
L11_F114815,1,160,128,-0.0048828125,0.1310546875,0.5625,0.04375,7,11,3,-1,β-attr
L11_F114815,2,174,147,-0.01293103448275862,0.13685344827586207,0.84375,0.034482758620689655,6,11,3,-1,β-attr
L11_F114815,3,80,68,-0.040625,0.19375,0.6875,0.0,0,11,3,-1,β-attr
