feature_id,latent_state_target,n_prompts,n_nonzero,mean_effect,mean_abs_effect,max_abs_effect,sfr,n_flip,layer,community,grad_attr_sign,role_label
L10_F128064,alpha,236,222,-0.227489406779661,0.2555614406779661,0.8125,0.01694915254237288,4,10,3,1,β-discrim
L10_F128064,beta,234,229,0.29794337606837606,0.3137019230769231,0.875,0.13675213675213677,32,10,3,1,β-discrim
L10_F35580,alpha,236,213,-0.16896186440677965,0.22139830508474576,0.9375,0.012711864406779662,3,10,3,1,β-discrim
L10_F35580,beta,234,228,0.25614316239316237,0.28926282051282054,0.75,0.11538461538461539,27,10,3,1,β-discrim
L10_F68680,alpha,236,218,-0.1565148305084746,0.22033898305084745,1.0625,0.012711864406779662,3,10,3,-1,β-attr
L10_F68680,beta,234,225,0.2564102564102564,0.29594017094017094,0.8125,0.11965811965811966,28,10,3,-1,β-attr
L10_F80002,alpha,236,227,-0.1906779661016949,0.24390889830508475,1.0625,0.012711864406779662,3,10,0,1,β-discrim
L10_F80002,beta,234,227,0.27176816239316237,0.30515491452991456,0.78125,0.14102564102564102,33,10,0,1,β-discrim
L10_F83063,alpha,236,224,-0.17796610169491525,0.2277542372881356,0.9375,0.012711864406779662,3,10,3,1,β-discrim
L10_F83063,beta,234,228,0.25574252136752135,0.2877938034188034,0.8125,0.1282051282051282,30,10,3,1,β-discrim
L11_F114815,alpha,236,180,0.06885593220338983,0.11520127118644068,0.84375,0.00423728813559322,1,11,3,-1,β-attr
L11_F114815,beta,234,210,-0.09695512820512821,0.1672008547008547,0.5625,0.05128205128205128,12,11,3,-1,β-attr
L11_F144890,alpha,236,199,0.07309322033898305,0.11917372881355932,0.75,0.00423728813559322,1,11,3,1,α-attr
L11_F144890,beta,234,213,-0.1077724358974359,0.16973824786324787,0.5625,0.04700854700854701,11,11,3,1,α-attr
L11_F151375,alpha,236,195,0.0760063559322034,0.11573093220338983,0.6875,0.00423728813559322,1,11,3,-1,β-attr
