feature_id,AUX-A1,AUX-A10,AUX-A2,AUX-A3,AUX-A4,AUX-A5,AUX-A6,AUX-A7,AUX-A8,AUX-A9,AUX-B1,AUX-B10,AUX-B2,AUX-B3,AUX-B4,AUX-B5,AUX-B6,AUX-B7,AUX-B8,AUX-B9,AUX-CF1,AUX-CF10,AUX-CF11,AUX-CF12,AUX-CF2,AUX-CF3,AUX-CF4,AUX-CF5,AUX-CF6,AUX-CF7,AUX-CF8,AUX-CF9,AUX-ISO1,AUX-ISO10,AUX-ISO11,AUX-ISO12,AUX-ISO2,AUX-ISO3,AUX-ISO4,AUX-ISO5,AUX-ISO6,AUX-ISO7,AUX-ISO8,AUX-ISO9,AUX-P1,AUX-P10,AUX-P11,AUX-P12,AUX-P2,AUX-P3,AUX-P4,AUX-P5,AUX-P6,AUX-P7,AUX-P8,AUX-P9,CP-L1-01,CP-L1-02,CP-L1-03,CP-L1-04,CP-L1-05,CP-L1-06,CP-L2-01,CP-L2-02,CP-L2-03,CP-L2-04,CP-L2-05,CP-L2-06,CP-L2-07,CP-L2-08,CP-L2-09,CP-L2-10,CP-L2-11,CP-L2-12,CP-L2-13,CP-L2-14,CP-L3-01,CP-L3-02,CP-L3-03,CP-L3-04,KW-A1,KW-A2,KW-A3,KW-A4,KW-A5,KW-A6,KW-B1,KW-B2,KW-B3,KW-B4,KW-B5,KW-B6,L1-A1,L1-A2,L1-A3,L1-A4,L1-A5,L1-A6,L1-B1,L1-B2,L1-B3,L1-B4,L1-B5,L1-B6,L2-AR1,L2-AR2,L2-AR3,L2-AR4,L2-AR5,L2-AR6,L2-AR7,L2-AR8,L2-BR1,L2-BR2,L2-BR3,L2-BR4,L2-BR5,L2-BR6,L2-BR7,L2-BR8,L2-GRAD-A,L2-GRAD-B,L3-A1,L3-A2,L3-A3,L3-A4,L3-B1,L3-B2,L3-B3,L3-B4,L3-FA,L3-FB
L10_F128064,0.25,0.5625,0.1875,0.3125,0.0625,0.125,0.1875,0.3125,0.125,0.4375,0.25,0.25,0.0625,0.5625,0.40625,0.375,0.0,0.28125,0.46875,0.75,0.1875,0.375,0.125,0.0625,0.375,0.1875,0.375,0.1875,0.375,0.4375,0.3125,0.5625,0.25,0.375,0.375,0.375,0.4375,0.4375,0.1875,0.25,0.0,0.5,0.3125,0.375,0.25,0.375,0.375,0.0625,0.1875,0.25,0.6875,0.6875,0.125,0.5,0.375,0.1875,0.3125,0.3125,0.28125,0.03125,0.25,0.21875,0.21875,0.28125,0.1875,0.40625,0.3125,0.375,0.125,0.4375,0.25,0.375,0.25,0.234375,0.296875,0.25,0.25,0.15625,0.28125,0.28125,0.125,0.15625,0.28125,0.28125,0.15625,0.46875,0.5,0.375,0.25,0.296875,0.0625,0.21875,0.3229166666666667,0.13541666666666666,0.390625,0.26875,0.21875,0.1640625,0.3645833333333333,0.390625,0.2109375,0.3,0.1640625,0.3046875,0.2375,0.19375,0.225,0.1328125,0.3359375,0.1484375,0.4895833333333333,0.1171875,0.425,0.265625,0.21484375,0.453125,0.53125,0.3359375,0.30859375,0.4375,0.203125,0.4791666666666667,0.3984375,0.40234375,0.125,0.22916666666666666,0.2265625,0.16015625,0.25,0.3541666666666667,0.125,0.3828125
L10_F35580,0.1875,0.625,0.1875,0.25,0.0625,0.125,0.0,0.1875,0.0,0.3125,0.125,0.5625,0.125,0.5625,0.3125,0.3125,0.0625,0.15625,0.40625,0.75,0.1875,0.375,0.125,0.0,0.375,0.125,0.375,0.25,0.4375,0.3125,0.1875,0.5,0.125,0.3125,0.25,0.3125,0.375,0.3125,0.1875,0.25,0.0625,0.375,0.3125,0.4375,0.25,0.25,0.3125,0.3125,0.0,0.125,0.5625,0.9375,0.0,0.4375,0.25,0.125,0.3125,0.25,0.1875,0.15625,0.1875,0.15625,0.28125,0.3125,0.25,0.40625,0.28125,0.40625,0.125,0.453125,0.25,0.375,0.21875,0.1875,0.25,0.25,0.25,0.046875,0.25,0.25,0.1875,0.15625,0.28125,0.25,0.09375,0.375,0.4375,0.359375,0.21875,0.21875,0.125,0.21875,0.28125,0.11979166666666667,0.3541666666666667,0.24375,0.171875,0.15625,0.3020833333333333,0.3645833333333333,0.13802083333333334,0.25625,0.2265625,0.25,0.175,0.1625,0.20625,0.09765625,0.296875,0.109375,0.3854166666666667,0.13671875,0.36875,0.225,0.23046875,0.4609375,0.5416666666666666,0.3359375,0.30078125,0.44140625,0.16666666666666666,0.453125,0.3203125,0.37109375,0.16666666666666666,0.1875,0.17578125,0.09765625,0.171875,0.3020833333333333,0.1171875,0.34375
L10_F68680,0.1875,0.5625,0.125,0.1875,0.0625,0.125,0.0625,0.1875,0.0625,0.3125,0.09375,0.5625,0.0625,0.625,0.4375,0.375,0.0,0.1875,0.4375,0.6875,0.125,0.375,0.125,0.0625,0.4375,0.1875,0.375,0.25,0.4375,0.3125,0.125,0.5,0.1875,0.3125,0.25,0.3125,0.4375,0.4375,0.1875,0.25,0.0625,0.375,0.3125,0.4375,0.1875,0.1875,0.25,0.1875,0.0,0.0625,0.4375,1.0625,0.1875,0.4375,0.3125,0.1875,0.3125,0.21875,0.15625,0.21875,0.125,0.15625,0.21875,0.28125,0.25,0.40625,0.34375,0.4375,0.125,0.484375,0.25,0.4375,0.25,0.1875,0.25,0.28125,0.234375,0.0625,0.234375,0.21875,0.15625,0.1875,0.21875,0.15625,0.09375,0.3125,0.46875,0.34375,0.21875,0.15625,0.125,0.15625,0.296875,0.140625,0.296875,0.21875,0.171875,0.1796875,0.3072916666666667,0.40625,0.15625,0.275,0.25,0.25,0.16875,0.14375,0.21875,0.09375,0.2421875,0.10546875,0.4270833333333333,0.14453125,0.4125,0.24375,0.13671875,0.46875,0.5625,0.3515625,0.3125,0.43359375,0.16666666666666666,0.4322916666666667,0.359375,0.37890625,0.19270833333333334,0.21875,0.16015625,0.12890625,0.16145833333333334,0.3333333333333333,0.1171875,0.34375
L10_F80002,0.25,0.6875,0.125,0.25,0.125,0.125,0.1875,0.125,0.0,0.3125,0.125,0.5625,0.0625,0.625,0.4375,0.375,0.125,0.1875,0.53125,0.75,0.1875,0.4375,0.1875,0.125,0.4375,0.1875,0.375,0.25,0.4375,0.3125,0.25,0.4375,0.1875,0.3125,0.25,0.375,0.4375,0.375,0.1875,0.1875,0.0625,0.4375,0.375,0.4375,0.25,0.1875,0.3125,0.125,0.0625,0.1875,0.5625,1.0625,0.125,0.4375,0.3125,0.1875,0.375,0.21875,0.21875,0.09375,0.125,0.1875,0.28125,0.21875,0.25,0.40625,0.3125,0.46875,0.125,0.453125,0.25,0.40625,0.25,0.171875,0.25,0.28125,0.3125,0.125,0.25,0.21875,0.1875,0.15625,0.28125,0.21875,0.125,0.40625,0.5,0.40625,0.21875,0.234375,0.09375,0.125,0.328125,0.13020833333333334,0.328125,0.25,0.203125,0.203125,0.328125,0.3489583333333333,0.15364583333333334,0.29375,0.2265625,0.265625,0.209375,0.2125,0.2,0.1171875,0.3046875,0.13671875,0.4375,0.14453125,0.375,0.2375,0.171875,0.4453125,0.5625,0.3359375,0.34375,0.48828125,0.203125,0.4947916666666667,0.3984375,0.421875,0.13541666666666666,0.23958333333333334,0.19921875,0.14453125,0.20833333333333334,0.3333333333333333,0.1328125,0.3984375
L10_F83063,0.1875,0.625,0.1875,0.1875,0.125,0.125,0.125,0.1875,0.0,0.3125,0.0625,0.5625,0.0625,0.5625,0.40625,0.3125,0.0,0.1875,0.4375,0.75,0.1875,0.375,0.125,0.0625,0.4375,0.125,0.375,0.25,0.4375,0.3125,0.1875,0.5,0.125,0.3125,0.25,0.25,0.375,0.375,0.0625,0.25,0.0,0.4375,0.3125,0.4375,0.25,0.25,0.25,0.1875,0.0,0.125,0.5625,0.9375,0.125,0.4375,0.3125,0.0625,0.3125,0.21875,0.1875,0.125,0.125,0.1875,0.28125,0.25,0.21875,0.4375,0.3125,0.46875,0.125,0.5,0.21875,0.4375,0.25,0.203125,0.265625,0.28125,0.296875,0.078125,0.1875,0.21875,0.15625,0.1875,0.25,0.1875,0.125,0.34375,0.46875,0.296875,0.21875,0.21875,0.0625,0.1875,0.3125,0.13541666666666666,0.3072916666666667,0.2375,0.1953125,0.1953125,0.3125,0.359375,0.15885416666666666,0.24375,0.203125,0.296875,0.184375,0.15625,0.2125,0.125,0.28125,0.1484375,0.4270833333333333,0.140625,0.36875,0.21875,0.1640625,0.46875,0.53125,0.3046875,0.30078125,0.44921875,0.16145833333333334,0.46875,0.36328125,0.359375,0.11979166666666667,0.21875,0.1640625,0.12890625,0.17708333333333334,0.296875,0.125,0.359375
L11_F114815,0.3125,0.0,0.125,0.0625,0.125,0.3125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.25,0.0,0.0625,0.1875,0.25,0.4375,0.03125,0.0625,0.0,0.125,0.0,0.0625,0.1875,0.0625,0.0625,0.0,0.0625,0.0625,0.125,0.0,0.0,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.1875,0.0,0.0625,0.1875,0.125,0.125,0.125,0.0625,0.25,0.0,0.0625,0.25,0.0625,0.0625,0.0625,0.25,0.3125,0.125,0.09375,0.125,0.09375,0.09375,0.09375,0.3125,0.1875,0.15625,0.03125,0.125,0.1875,0.125,0.28125,0.125,0.21875,0.15625,0.140625,0.0,0.03125,0.3125,0.390625,0.15625,0.1875,0.1875,0.28125,0.09375,0.15625,0.0,0.21875,0.21875,0.15625,0.25,0.03125,0.140625,0.09375,0.16666666666666666,0.08333333333333333,0.0625,0.06875,0.09375,0.125,0.203125,0.14583333333333334,0.09895833333333333,0.2,0.2265625,0.0859375,0.1,0.1125,0.15,0.078125,0.1328125,0.16015625,0.11458333333333333,0.14453125,0.075,0.15,0.171875,0.1484375,0.041666666666666664,0.2578125,0.15234375,0.1328125,0.19791666666666666,0.10416666666666667,0.1484375,0.19140625,0.23958333333333334,0.0625,0.3984375,0.30078125,0.08333333333333333,0.22916666666666666,0.078125,0.09765625
L11_F144890,0.3125,0.0625,0.0625,0.0625,0.1875,0.25,0.125,0.125,0.0625,0.0625,0.0,0.0625,0.3125,0.0,0.0625,0.25,0.25,0.5,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.125,0.0,0.125,0.0625,0.1875,0.0,0.0,0.0,0.125,0.125,0.0625,0.125,0.0625,0.1875,0.0,0.0,0.1875,0.0625,0.125,0.125,0.0625,0.25,0.0,0.0,0.1875,0.1875,0.125,0.0625,0.25,0.3125,0.15625,0.125,0.09375,0.125,0.09375,0.125,0.3125,0.1875,0.125,0.0,0.1875,0.1875,0.125,0.28125,0.125,0.15625,0.15625,0.0625,0.09375,0.03125,0.28125,0.375,0.09375,0.1875,0.21875,0.28125,0.0625,0.09375,0.0625,0.203125,0.21875,0.109375,0.1875,0.0625,0.140625,0.09375,0.15104166666666666,0.109375,0.0625,0.08125,0.109375,0.1328125,0.20833333333333334,0.14583333333333334,0.09375,0.2125,0.2265625,0.0859375,0.1125,0.10625,0.13125,0.09375,0.1328125,0.16015625,0.10416666666666667,0.17578125,0.08125,0.146875,0.16015625,0.1640625,0.07291666666666667,0.2421875,0.171875,0.15625,0.17708333333333334,0.11979166666666667,0.13671875,0.171875,0.2604166666666667,0.08333333333333333,0.40625,0.28515625,0.09375,0.23958333333333334,0.0625,0.12890625
L11_F151375,0.25,0.125,0.0,0.0,0.1875,0.3125,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.3125,0.0625,0.0625,0.1875,0.25,0.5,0.09375,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.0,0.0625,0.0625,0.25,0.0,0.0625,0.0625,0.125,0.0625,0.0625,0.125,0.125,0.25,0.0,0.0625,0.1875,0.0625,0.1875,0.0625,0.0625,0.25,0.0625,0.0,0.1875,0.125,0.125,0.125,0.1875,0.25,0.125,0.09375,0.09375,0.125,0.125,0.09375,0.375,0.15625,0.125,0.03125,0.15625,0.1875,0.125,0.296875,0.03125,0.125,0.1875,0.09375,0.03125,0.0,0.25,0.3125,0.09375,0.15625,0.1875,0.28125,0.09375,0.125,0.03125,0.171875,0.21875,0.109375,0.21875,0.0625,0.125,0.09375,0.16666666666666666,0.08854166666666667,0.0625,0.075,0.1015625,0.1484375,0.19791666666666666,0.109375,0.09375,0.18125,0.21875,0.09375,0.09375,0.14375,0.11875,0.078125,0.109375,0.14453125,0.09375,0.15625,0.0625,0.13125,0.1640625,0.125,0.041666666666666664,0.2265625,0.140625,0.12890625,0.21875,0.11979166666666667,0.15625,0.1640625,0.2604166666666667,0.07291666666666667,0.359375,0.28125,0.10416666666666667,0.22916666666666666,0.0546875,0.1015625
L11_F35425,0.3125,0.0625,0.125,0.0625,0.125,0.25,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.25,0.0625,0.125,0.1875,0.125,0.4375,0.09375,0.125,0.0,0.125,0.0625,0.0,0.1875,0.0625,0.0,0.0,0.0,0.0625,0.1875,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,0.0,0.0625,0.125,0.0,0.0,0.1875,0.0625,0.1875,0.1875,0.0625,0.1875,0.0,0.125,0.1875,0.125,0.0625,0.0625,0.25,0.25,0.0625,0.0625,0.15625,0.125,0.09375,0.0625,0.3125,0.125,0.09375,0.0625,0.125,0.1875,0.125,0.296875,0.09375,0.15625,0.125,0.125,0.09375,0.03125,0.28125,0.4375,0.15625,0.125,0.15625,0.28125,0.03125,0.15625,0.03125,0.265625,0.21875,0.140625,0.25,0.0625,0.0625,0.125,0.140625,0.10416666666666667,0.041666666666666664,0.0875,0.09375,0.125,0.19791666666666666,0.14583333333333334,0.109375,0.18125,0.1953125,0.078125,0.1,0.09375,0.1375,0.078125,0.125,0.16015625,0.09375,0.15234375,0.1,0.134375,0.171875,0.125,0.0625,0.2421875,0.13671875,0.125,0.21354166666666666,0.11979166666666667,0.15234375,0.171875,0.2708333333333333,0.0625,0.359375,0.27734375,0.0625,0.19791666666666666,0.09375,0.10546875
L12_F2451,0.125,0.1875,0.0625,0.0625,0.0625,0.125,0.1875,0.125,0.125,0.0625,0.0625,0.125,0.4375,0.3125,0.125,0.0,0.0,0.125,0.0625,0.0,0.1875,0.0,0.125,0.25,0.125,0.25,0.125,0.0625,0.0625,0.0,0.0625,0.0625,0.1875,0.125,0.0625,0.125,0.0625,0.125,0.0625,0.125,0.0625,0.1875,0.0625,0.125,0.0625,0.25,0.0,0.0,0.0625,0.1875,0.1875,0.0625,0.0625,0.125,0.0625,0.1875,0.03125,0.3125,0.125,0.21875,0.0625,0.0625,0.125,0.125,0.09375,0.09375,0.03125,0.03125,0.15625,0.078125,0.125,0.125,0.15625,0.078125,0.09375,0.0,0.15625,0.140625,0.125,0.0625,0.25,0.1875,0.1875,0.125,0.03125,0.0625,0.15625,0.21875,0.125,0.125,0.203125,0.0,0.13541666666666666,0.125,0.13541666666666666,0.125,0.09375,0.078125,0.10416666666666667,0.09895833333333333,0.17708333333333334,0.08125,0.1953125,0.1640625,0.0875,0.11875,0.13125,0.0390625,0.0703125,0.0859375,0.11458333333333333,0.0390625,0.0625,0.128125,0.16796875,0.1796875,0.0625,0.21875,0.125,0.109375,0.046875,0.09375,0.06640625,0.09375,0.16666666666666666,0.07291666666666667,0.09375,0.09375,0.125,0.03125,0.078125,0.09375
