feature_id,layer,feature_idx,community,grad_attr_sign,frequency_pdt,mean_activation_pdt,mean_grad_attr_pdt,mean_abs_grad_attr_pdt,n_prompts_pdt,position_role,causal_status,is_circuit_feature,is_global_alpha_discrim,is_global_beta_discrim,role_label
L10_F35580,10,35580,3,1,0.5648,2.6867,0.0306,0.0733,61,decision,output_attributed,False,False,True,β-discrim
L10_F68680,10,68680,3,-1,0.1296,3.885,-0.0163,0.0653,14,decision,output_attributed,False,False,False,β-attr
L10_F80002,10,80002,0,1,0.1111,3.2038,0.048,0.0933,12,decision,output_attributed,False,False,True,β-discrim
L10_F83063,10,83063,3,1,0.2407,2.2326,0.0097,0.054,26,decision,output_attributed,False,False,True,β-discrim
L10_F128064,10,128064,3,1,0.4537,4.2254,0.0128,0.0751,49,decision,output_attributed,False,False,True,β-discrim
L11_F35425,11,35425,3,1,0.3889,3.1879,0.0016,0.062,42,decision,output_attributed,False,False,False,α-attr
L11_F114815,11,114815,3,-1,0.1111,1.7917,-0.0116,0.0429,12,decision,output_attributed,False,False,False,β-attr
L11_F144890,11,144890,3,1,0.1852,2.0117,0.0205,0.0615,20,decision,output_attributed,False,False,False,α-attr
L11_F151375,11,151375,3,-1,0.3704,4.1473,-0.0384,0.0647,40,decision,output_attributed,False,False,False,β-attr
L12_F60,12,60,3,-1,0.1759,2.9272,-0.0426,0.0598,19,decision,output_attributed,False,False,False,β-attr
L12_F2451,12,2451,3,1,0.3426,1.6172,0.0188,0.0561,37,decision,output_attributed,False,False,False,α-attr
L12_F71226,12,71226,3,-1,0.1296,1.8666,-0.0252,0.0457,14,decision,output_attributed,False,False,False,β-attr
L13_F45942,13,45942,3,1,0.2315,2.4734,0.0011,0.0582,25,decision,output_attributed,False,False,False,α-attr
L13_F57499,13,57499,3,1,0.2685,1.4376,0.0076,0.0489,29,decision,output_attributed,False,False,False,α-attr
L13_F58969,13,58969,3,-1,0.4259,2.3458,-0.0245,0.0599,46,decision,output_attributed,False,False,False,β-attr
L14_F24749,14,24749,3,-1,0.2685,1.9477,-0.0,0.0504,29,decision,output_attributed,False,False,False,β-attr
L14_F140141,14,140141,3,-1,0.1019,2.0668,-0.0527,0.0527,11,decision,output_attributed,False,False,False,β-attr
L15_F15507,15,15507,0,1,0.1481,2.9146,0.0061,0.066,16,decision,output_attributed,False,False,False,α-attr
L15_F64857,15,64857,0,-1,0.5463,3.583,-0.0025,0.0735,59,decision,output_attributed,False,False,False,β-attr
L15_F89707,15,89707,0,-1,0.1667,2.4253,-0.0624,0.0751,18,decision,output_attributed,False,False,False,β-attr
L16_F14097,16,14097,0,-1,0.1389,1.3031,-0.0744,0.0744,15,decision,output_attributed,False,False,False,β-attr
L16_F33974,16,33974,0,-1,0.1111,1.9538,-0.0143,0.0468,12,decision,output_attributed,False,False,False,β-attr
L16_F46637,16,46637,0,-1,0.25,2.0738,-0.0419,0.0661,27,decision,output_attributed,False,False,False,β-attr
L16_F53285,16,53285,0,-1,0.1574,1.7534,-0.0506,0.0594,17,decision,output_attributed,False,False,False,β-attr
L16_F82587,16,82587,0,-1,0.3241,1.9711,-0.0433,0.0891,35,decision,output_attributed,False,False,False,β-attr
L17_F6720,17,6720,0,1,0.1667,2.6658,0.0456,0.0707,18,decision,output_attributed,False,False,False,α-attr
L17_F63126,17,63126,0,1,0.3611,1.7035,0.013,0.0592,39,decision,output_attributed,False,False,False,α-attr
L17_F111674,17,111674,0,-1,0.1019,1.6953,-0.0584,0.0645,11,decision,output_attributed,False,False,False,β-attr
L17_F122323,17,122323,0,-1,0.1574,1.8373,-0.0656,0.0793,17,decision,output_attributed,False,False,False,β-attr
L17_F153539,17,153539,0,1,0.6574,2.2405,0.0137,0.0722,71,decision,output_attributed,False,False,False,α-attr
L18_F41804,18,41804,0,-1,0.213,1.2858,-0.0584,0.0616,23,decision,output_attributed,False,False,False,β-attr
L18_F108180,18,108180,0,-1,0.537,2.7276,-0.0717,0.0861,58,decision,output_attributed,False,False,False,β-attr
L18_F145795,18,145795,0,1,0.1019,1.2614,0.0229,0.0463,11,decision,output_attributed,False,False,True,β-discrim
L18_F152260,18,152260,5,-1,0.6389,3.382,-0.0242,0.0968,69,decision,output_attributed,False,False,False,β-attr
L19_F25394,19,25394,4,-1,0.5833,3.9494,-0.0029,0.0711,63,decision,output_attributed,False,False,False,β-attr
L19_F41536,19,41536,5,1,0.1111,1.3545,0.0538,0.0605,12,decision,output_attributed,False,False,False,α-attr
L19_F44438,19,44438,5,-1,0.1111,2.2161,-0.0429,0.0625,12,decision,output_attributed,False,False,False,β-attr
L19_F94584,19,94584,5,-1,0.3519,1.8045,-0.0429,0.0815,38,decision,output_attributed,False,False,False,β-attr
L19_F130590,19,130590,5,1,0.1111,2.1927,0.0014,0.0678,12,decision,output_attributed,False,False,False,α-attr
L20_F18705,20,18705,4,-1,0.8333,2.4886,-0.0189,0.0752,90,decision,output_attributed,False,False,False,β-attr
L20_F72939,20,72939,5,1,0.3519,2.2685,0.016,0.0743,38,decision,output_attributed,False,False,False,α-attr
L20_F74959,20,74959,5,1,0.8519,3.4837,0.0922,0.1642,92,decision,output_attributed,False,False,False,α-attr
L20_F80071,20,80071,5,-1,0.2315,2.3459,-0.0351,0.068,25,decision,output_attributed,False,False,False,β-attr
L20_F117855,20,117855,5,-1,0.8333,5.0318,-0.0279,0.112,90,decision,output_attributed,False,False,False,β-attr
L21_F12280,21,12280,4,1,0.5833,3.5389,0.0116,0.0772,63,decision,output_attributed,False,False,False,α-attr
L21_F53078,21,53078,5,-1,0.3056,2.0224,-0.0589,0.0839,33,decision,output_attributed,False,False,False,β-attr
L21_F56012,21,56012,5,-1,0.2037,1.5484,-0.0466,0.0799,22,decision,output_attributed,False,False,False,β-attr
L21_F99203,21,99203,5,-1,0.25,3.673,-0.0522,0.0684,27,decision,output_attributed,False,False,False,β-attr
L21_F157518,21,157518,5,1,0.7037,2.7842,0.0298,0.0683,76,decision,output_attributed,False,False,False,α-attr
