q,n,n_fam,var_within_margin,sigma_u2,lam_eff,cos_wu_measured,cos_wu_predicted,cos_dmu_u,null_cos_median,null_cos_p95,excess_over_null,null_cos_median_fam,null_cos_p95_fam,excess_over_null_fam,layer,concept
1.0,160,16,4.259112674441103,0.641141918290057,0.016228058790336022,0.05194491305472892,0.0045486719426519415,0.17970998827787948,0.05194491305472892,0.05194491305472892,0.0,0.05194491305472892,0.05194491305472892,0.0,22,B1_grammar_number
0.8,128,16,1.6421796220310383,0.4854146528910107,0.014389127554987901,0.05394688233937082,0.005508046171751515,0.18581295567441164,0.054798344050342354,0.0700645934769145,-0.0008514617109715364,0.0545774423431756,0.07112353043375436,-0.0006305600038047851,22,B1_grammar_number
0.6,96,16,0.6795421253271188,0.4070700945472849,0.011901852062828976,0.06725236028329389,0.005025464878844243,0.1718821955252009,0.056092295637211353,0.07940701814052059,0.011160064646082532,0.05890693324902194,0.08485285586398418,0.008345427034271949,22,B1_grammar_number
0.4,64,15,0.2627203262457751,0.39203792920097047,0.008789656195962831,0.1088304318915641,0.0037750016118417848,0.16837334494567954,0.06920604084511248,0.09533734635642022,0.03962439104645163,0.062044618358047796,0.08780737192515406,0.04678581353351631,22,B1_grammar_number
0.2,32,11,0.08362674484050103,0.28588311256176685,0.005694446075620529,0.13401900785039378,0.0027932677073559606,0.140232791002446,0.08425806927229748,0.11791134807048657,0.0497609385780963,0.0635121524047763,0.09076777058869624,0.07050685544561748,22,B1_grammar_number
1.0,160,16,4.259112674441103,1.6047381495274107,0.04987723811503797,0.05212726728599455,0.006579969676975692,0.21170234685053407,0.05212726728599455,0.05212726728599455,0.0,0.05212726728599455,0.05212726728599455,0.0,24,B1_grammar_number
0.8,128,16,1.6421796220310383,0.9528689329436273,0.04196342390189182,0.09260698616560034,0.009552752059738405,0.2169155854183673,0.05680030421224295,0.0722040173229719,0.03580668195335739,0.059923197220781835,0.07552172085052247,0.032683788944818506,24,B1_grammar_number
0.6,96,16,0.6795421253271188,0.7101204257438357,0.035305700164425934,0.11213065967002905,0.010309322178425121,0.2073563254765904,0.06932161782335844,0.08978563943508573,0.042809041846670615,0.06524780885166606,0.0908069746004933,0.04688285081836299,24,B1_grammar_number
0.4,64,15,0.2627203262457751,0.5752877319614076,0.0296731922780858,0.14814306338655847,0.010487774282680743,0.20333127032181253,0.0862653208582817,0.11802647577614933,0.06187774252827677,0.07738216779200602,0.10998914435516285,0.07076089559455245,24,B1_grammar_number
0.2,32,11,0.08362674484050103,0.34976147378291733,0.020305426438525755,0.1799778057043218,0.0109166892900979,0.1880402436508518,0.11874859896345882,0.1571406286652446,0.06122920674086299,0.09513211320907994,0.1364568975942151,0.08484569249524188,24,B1_grammar_number
