cluster_id,AUX,antineutrino_emitted,cluster_ejection,cluster_ejection_daughter,cluster_no_creation,continuous_energy_spectrum,daughter_a_minus4,daughter_a_unchanged,daughter_n_minus1,daughter_z_minus2,daughter_z_plus1,discrete_energy_spectrum,element_shift_minus2,element_shift_plus1,emitted_2neutrons,emitted_2protons,emitted_charge_minus1,emitted_charge_plus2,emitted_mass4,emitted_mass_negligible,lepton_number_increases,lightest_charged_elementary,new_particles_created,no_new_particles,no_quark_flavour_change,not_weak_force,quark_change_z_plus1,quark_flavour_change,w_boson_mediation
1,0.0462,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0
2,0.0491,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0
5,0.0838,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.4167,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0
8,0.0665,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.4167,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0
10,0.0347,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
12,0.0376,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
13,0.026,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
14,0.0376,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.125,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
16,0.0694,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.3,0.0
18,0.1358,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.4167,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1
19,0.1329,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.4167,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.4,0.1
20,0.1474,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.4167,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.1
24,0.0434,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.4167,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
25,0.0434,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
27,0.052,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0462,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
32,0.0462,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.3
35,0.1127,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0833,0.0,0.0,0.0,0.0,0.125,0.125,0.75,0.0833,0.0833,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
37,0.026,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
39,0.0462,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
40,0.0491,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.4167,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0751,0.0,0.0,0.0,0.0,1.0,0.0,0.0833,0.5,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1
44,0.0723,0.0,0.0,0.0,0.0,1.0,0.0,0.0833,0.5,0.0,0.1667,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1
45,0.0173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
46,0.0173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
49,0.0867,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.375,0.0,0.0833,0.0,0.0,0.0,0.125,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.3
50,0.078,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.375,0.0,0.1667,0.0,0.0,0.0,0.125,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.2,0.3
51,0.0896,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0833,0.1667,0.0,0.0,0.0,0.125,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.3
53,0.0289,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0405,0.2,0.0,0.0,0.0,1.0,0.0,0.0833,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0
