cluster_id,cluster_layers,cluster_n_features,cluster_iia,cue_type,correct_ans,n_prompts,n_flipped,flip_rate,mean_signed_effect,median_signed_effect,std_signed_effect,mean_abs_effect,max_abs_effect,mean_baseline,strength
1,L22,12,0.057,AUX,alpha,174,0,0.0,0.336566091954023,0.3125,0.2776117906362153,0.3588362068965517,0.875,1.2377873563218391,0.0
1,L22,12,0.057,cluster_ejection,alpha,10,0,0.0,0.3,0.34375,0.2648374763678451,0.3125,0.875,1.64375,0.0
1,L22,12,0.057,cluster_ejection_daughter,alpha,10,0,0.0,0.3,0.3125,0.20369844269300527,0.3,0.5625,1.04375,0.0
1,L22,12,0.057,cluster_no_creation,alpha,8,0,0.0,0.1015625,0.09375,0.2476169907480964,0.2109375,0.5,1.203125,0.0
1,L22,12,0.057,daughter_a_minus4,alpha,10,0,0.0,0.21875,0.15625,0.172426514137988,0.21875,0.4375,1.14375,0.0
1,L22,12,0.057,daughter_z_minus2,alpha,12,0,0.0,0.14583333333333334,0.09375,0.18907169555649006,0.15625,0.625,0.921875,0.0
1,L22,12,0.057,discrete_energy_spectrum,alpha,1,0,0.0,0.5625,0.5625,,0.5625,0.5625,1.25,0.0
1,L22,12,0.057,element_shift_minus2,alpha,1,0,0.0,0.125,0.125,,0.125,0.125,1.75,0.0
1,L22,12,0.057,emitted_2neutrons,alpha,8,0,0.0,0.328125,0.3125,0.15217911204517243,0.328125,0.5625,1.015625,0.0
1,L22,12,0.057,emitted_2protons,alpha,8,0,0.0,0.4375,0.4375,0.1336306209562122,0.4375,0.6875,1.078125,0.0
1,L22,12,0.057,emitted_charge_plus2,alpha,12,0,0.0,0.5833333333333334,0.5625,0.2104063528825433,0.5833333333333334,0.9375,1.109375,0.0
1,L22,12,0.057,emitted_mass4,alpha,12,0,0.0,0.4375,0.46875,0.21976226824788314,0.4375,0.875,1.0416666666666667,0.0
1,L22,12,0.057,no_new_particles,alpha,1,0,0.0,0.3125,0.3125,,0.3125,0.3125,1.0,0.0
1,L22,12,0.057,no_quark_flavour_change,alpha,1,0,0.0,0.1875,0.1875,,0.1875,0.1875,1.3125,0.0
1,L22,12,0.057,not_weak_force,alpha,1,0,0.0,0.1875,0.1875,,0.1875,0.1875,0.25,0.0
1,L22,12,0.057,AUX,beta,172,16,0.09302325581395349,-0.20094476744186046,-0.1875,0.3151945489006286,0.3012354651162791,1.1875,0.07667151162790697,0.02802190373174689
1,L22,12,0.057,antineutrino_emitted,beta,10,1,0.1,0.075,0.03125,0.22204854324123713,0.1625,0.4375,-0.00625,0.01625
1,L22,12,0.057,continuous_energy_spectrum,beta,1,1,1.0,-0.1875,-0.1875,,0.1875,0.1875,0.0625,0.1875
1,L22,12,0.057,daughter_a_unchanged,beta,12,0,0.0,0.11458333333333333,0.1875,0.21458425271941908,0.19791666666666666,0.5,-0.859375,0.0
1,L22,12,0.057,daughter_n_minus1,beta,8,1,0.125,0.046875,0.09375,0.18221724671391565,0.15625,0.3125,-0.1484375,0.01953125
1,L22,12,0.057,daughter_z_plus1,beta,12,2,0.16666666666666666,-0.03125,-0.0625,0.2072890493972125,0.16666666666666666,0.375,-0.22395833333333334,0.027777777777777776
1,L22,12,0.057,element_shift_plus1,beta,1,0,0.0,0.125,0.125,,0.125,0.125,-1.3125,0.0
1,L22,12,0.057,emitted_charge_minus1,beta,12,1,0.08333333333333333,-0.34375,-0.40625,0.24786016035440042,0.3645833333333333,0.6875,-0.3333333333333333,0.03038194444444444
1,L22,12,0.057,emitted_mass_negligible,beta,8,0,0.0,-0.15625,-0.125,0.17034628596731172,0.15625,0.4375,-0.921875,0.0
1,L22,12,0.057,lepton_number_increases,beta,1,0,0.0,0.3125,0.3125,,0.3125,0.3125,-1.0,0.0
1,L22,12,0.057,lightest_charged_elementary,beta,1,0,0.0,-0.5625,-0.5625,,0.5625,0.5625,-1.125,0.0
1,L22,12,0.057,new_particles_created,beta,1,0,0.0,-0.375,-0.375,,0.375,0.375,-0.5625,0.0
1,L22,12,0.057,quark_change_z_plus1,beta,10,1,0.1,-0.18125,-0.0625,0.24553300864310143,0.20625,0.6875,0.4625,0.020625
1,L22,12,0.057,quark_flavour_change,beta,10,3,0.3,-0.55,-0.59375,0.21205017749999122,0.55,0.8125,0.51875,0.165
1,L22,12,0.057,w_boson_mediation,beta,10,0,0.0,-0.0875,0.0,0.268741924943285,0.2,0.625,-0.6875,0.0
2,L22,2,0.054,AUX,alpha,174,0,0.0,0.40660919540229884,0.4375,0.2924374289607135,0.4267241379310345,1.0625,1.2377873563218391,0.0
2,L22,2,0.054,cluster_ejection,alpha,10,0,0.0,0.48125,0.46875,0.2917410619405884,0.48125,1.125,1.64375,0.0
2,L22,2,0.054,cluster_ejection_daughter,alpha,10,0,0.0,0.45,0.46875,0.21205017749999122,0.45,0.75,1.04375,0.0
2,L22,2,0.054,cluster_no_creation,alpha,8,0,0.0,0.3203125,0.21875,0.2639786162200048,0.3203125,0.8125,1.203125,0.0
2,L22,2,0.054,daughter_a_minus4,alpha,10,0,0.0,0.325,0.3125,0.233482095435365,0.325,0.625,1.14375,0.0
2,L22,2,0.054,daughter_z_minus2,alpha,12,0,0.0,0.265625,0.21875,0.2215726973868232,0.265625,0.8125,0.921875,0.0
2,L22,2,0.054,discrete_energy_spectrum,alpha,1,0,0.0,0.5625,0.5625,,0.5625,0.5625,1.25,0.0
2,L22,2,0.054,element_shift_minus2,alpha,1,0,0.0,0.125,0.125,,0.125,0.125,1.75,0.0
2,L22,2,0.054,emitted_2neutrons,alpha,8,0,0.0,0.453125,0.5,0.22596519169363863,0.453125,0.8125,1.015625,0.0
2,L22,2,0.054,emitted_2protons,alpha,8,0,0.0,0.53125,0.5,0.12938729237669142,0.53125,0.75,1.078125,0.0
2,L22,2,0.054,emitted_charge_plus2,alpha,12,0,0.0,0.5885416666666666,0.625,0.22841215322837846,0.5885416666666666,0.9375,1.109375,0.0
2,L22,2,0.054,emitted_mass4,alpha,12,0,0.0,0.453125,0.5,0.2599237759770772,0.453125,1.0,1.0416666666666667,0.0
