cluster_id,AUX,antineutrino_emitted,cluster_ejection,cluster_ejection_daughter,cluster_no_creation,continuous_energy_spectrum,daughter_a_minus4,daughter_a_unchanged,daughter_n_minus1,daughter_z_minus2,daughter_z_plus1,discrete_energy_spectrum,element_shift_minus2,element_shift_plus1,emitted_2neutrons,emitted_2protons,emitted_charge_minus1,emitted_charge_plus2,emitted_mass4,emitted_mass_negligible,lepton_number_increases,lightest_charged_elementary,new_particles_created,no_new_particles,no_quark_flavour_change,not_weak_force,quark_change_z_plus1,quark_flavour_change,w_boson_mediation
1,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
2,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
5,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
8,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
10,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
12,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
13,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
14,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
16,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
18,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
19,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
20,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
24,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
25,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
27,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
30,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
32,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
35,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
37,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
39,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
40,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
42,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
44,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
45,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
46,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
49,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
50,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
51,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
53,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
54,346,10,10,10,8,1,10,12,8,12,12,1,1,1,8,8,12,12,12,8,1,1,1,1,1,1,10,10,10
