cluster_id,AUX,antineutrino_emitted,cluster_ejection,cluster_ejection_daughter,cluster_no_creation,continuous_energy_spectrum,daughter_a_minus4,daughter_a_unchanged,daughter_n_minus1,daughter_z_minus2,daughter_z_plus1,discrete_energy_spectrum,element_shift_minus2,element_shift_plus1,emitted_2neutrons,emitted_2protons,emitted_charge_minus1,emitted_charge_plus2,emitted_mass4,emitted_mass_negligible,lepton_number_increases,lightest_charged_elementary,new_particles_created,no_new_particles,no_quark_flavour_change,not_weak_force,quark_change_z_plus1,quark_flavour_change,w_boson_mediation
1,0.0694,0.075,0.3,0.3,0.1016,-0.1875,0.2188,0.1146,0.0469,0.1458,-0.0312,0.5625,0.125,0.125,0.3281,0.4375,-0.3438,0.5833,0.4375,-0.1562,0.3125,-0.5625,-0.375,0.3125,0.1875,0.1875,-0.1812,-0.55,-0.0875
2,0.0927,0.0375,0.4812,0.45,0.3203,-0.125,0.325,0.1094,-0.0469,0.2656,-0.1094,0.5625,0.125,0.0625,0.4531,0.5312,-0.3385,0.5885,0.4531,-0.1953,0.0,-0.5,-0.375,0.3125,0.1875,0.1875,-0.1938,-0.7312,-0.225
5,0.1783,-0.6312,1.025,0.8312,0.8359,-0.375,0.6375,-0.5885,-0.4844,0.4062,-0.2188,0.6875,-0.0625,0.125,0.9688,0.8828,-0.6198,0.7969,1.0312,-0.9453,-0.3125,-1.25,-0.6875,0.5625,0.0625,0.5,-0.3312,-0.9562,-0.675
8,0.1239,-0.4,0.8312,0.7125,0.6406,-0.3125,0.525,-0.599,-0.4688,0.3698,-0.3229,0.625,0.125,-0.0625,0.7891,0.7109,-0.5469,0.6042,0.8646,-0.6641,-0.125,-1.0,-0.5,0.5,0.0,0.4375,-0.15,-0.7625,-0.5062
10,0.0656,-0.0438,0.2625,0.2562,0.1641,0.125,0.3812,-0.4062,-0.3359,0.3438,-0.3073,-0.0625,-0.0625,-0.0625,0.4375,0.4219,-0.4167,0.4062,0.4271,-0.25,-0.375,-0.4375,-0.1875,0.375,0.4375,1.0625,0.1562,-0.1375,-0.3438
12,-0.0219,-0.0688,0.175,-0.175,0.0391,0.125,-0.1875,0.099,0.0156,-0.0677,-0.0208,-0.125,-0.3125,0.125,-0.0156,-0.125,0.2344,-0.125,-0.1927,0.0391,0.0625,0.0625,0.0,-0.125,-0.125,0.25,0.1312,-0.0438,-0.0688
13,-0.0309,-0.0438,0.1375,-0.1812,-0.0078,0.0625,-0.1812,0.0938,-0.0078,-0.0677,-0.0625,-0.1875,-0.3125,0.125,-0.0234,-0.1172,0.2135,-0.1458,-0.1979,0.0625,0.0,0.0625,0.0625,-0.125,-0.125,0.125,0.1375,-0.0312,-0.0438
14,-0.024,-0.0562,0.1562,-0.1688,0.0,0.0625,-0.2,0.1146,0.0234,-0.0573,-0.0417,-0.1875,-0.375,0.1875,-0.0156,-0.1094,0.2552,-0.1198,-0.1875,0.0859,0.0,0.0625,0.0,-0.1875,-0.125,0.1875,0.2062,0.1188,-0.0188
16,-0.1575,0.0812,-0.3562,0.0688,-0.1953,0.125,0.0188,-0.0156,-0.2188,0.1719,-0.151,-0.1875,0.1875,0.0,0.3047,0.0391,0.0052,-0.1562,0.0156,0.2266,-0.1875,-0.1875,0.0,-0.0625,-0.3125,-0.375,-0.4438,-0.525,-0.1625
18,-0.1592,-0.6375,0.1031,0.4312,0.2344,-0.6875,0.4438,-0.5729,-0.7031,0.5729,-0.6198,0.3125,0.2812,-0.1875,0.8047,0.6484,-0.5156,0.276,0.5,-0.5078,-0.4375,-0.5625,-0.5,0.375,0.25,-0.1875,-0.9125,-0.9438,-0.6375
19,-0.1856,-0.4938,-0.1344,0.3438,0.0234,-0.3125,0.275,-0.3229,-0.5625,0.4193,-0.4844,-0.0625,0.2188,-0.1875,0.625,0.4453,-0.3542,0.0781,0.2708,-0.2812,-0.375,-0.5625,-0.3125,0.25,-0.125,-0.25,-0.8625,-0.85,-0.5125
20,-0.1273,-0.6562,0.3375,0.7625,0.5703,-0.75,0.7688,-0.75,-0.9219,0.8333,-0.776,0.4375,0.8438,-0.5625,0.7656,0.6172,-0.5781,0.3802,0.5938,-0.5078,-0.625,-0.4375,-0.6875,0.375,0.375,-0.0625,-1.0188,-1.0062,-0.6688
