cluster_id,AUX,antineutrino_emitted,cluster_ejection,cluster_ejection_daughter,cluster_no_creation,continuous_energy_spectrum,daughter_a_minus4,daughter_a_unchanged,daughter_n_minus1,daughter_z_minus2,daughter_z_plus1,discrete_energy_spectrum,element_shift_minus2,element_shift_plus1,emitted_2neutrons,emitted_2protons,emitted_charge_minus1,emitted_charge_plus2,emitted_mass4,emitted_mass_negligible,lepton_number_increases,lightest_charged_elementary,new_particles_created,no_new_particles,no_quark_flavour_change,not_weak_force,quark_change_z_plus1,quark_flavour_change,w_boson_mediation
1,0.0153,0.0162,0.0,0.0,0.0,0.1875,0.0,0.0,0.0195,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.0304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0206,0.165,0.0
2,0.0191,0.0675,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0677,0.0,0.0,0.0,0.0,0.0,0.0291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0269,0.2925,0.0
5,0.0588,0.3787,0.0,0.0,0.0,0.375,0.0,0.0,0.1211,0.0,0.0955,0.0,0.0,0.0,0.0,0.0,0.0516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1256,0.4781,0.0
8,0.0371,0.24,0.0,0.0,0.0,0.3125,0.0,0.0,0.1172,0.0,0.1432,0.0,0.0,0.0,0.0,0.0,0.0456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.3812,0.0
10,0.0116,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0768,0.0,0.0,0.0,0.0,0.0,0.0365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0206,0.0,0.0
12,0.0058,0.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.0194,0.0
13,0.004,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0225,0.0,0.0534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0
14,0.006,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0273,0.0,0.0851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0206,0.0194,0.0
16,0.0203,0.0388,0.0,0.0,0.0,0.0,0.0,0.0,0.0703,0.0,0.0534,0.0,0.0,0.0,0.0,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0888,0.1575,0.0
18,0.0845,0.3825,0.0,0.0,0.0,0.6875,0.0,0.0,0.1758,0.0,0.2582,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6387,0.3775,0.0638
19,0.066,0.2962,0.0,0.0,0.0,0.3125,0.0,0.0,0.1406,0.0,0.2018,0.0,0.0,0.0,0.0,0.0,0.0304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5175,0.34,0.0512
20,0.1103,0.3938,0.0,0.0,0.0,0.75,0.0,0.0,0.2305,0.0,0.3234,0.0,0.0,0.0,0.0,0.0,0.0482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.815,0.5031,0.0669
24,0.0079,0.0131,0.0,0.0,0.0,0.5625,0.0,0.0,0.0293,0.0,0.1497,0.0,0.0,0.0,0.0,0.0,0.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0206,0.0319,0.0
25,0.0074,0.0094,0.0,0.0,0.0,0.75,0.0,0.0,0.0625,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244,0.0
27,0.0117,0.1344,0.0,0.0,0.0,0.6875,0.0,0.0,0.1016,0.0,0.0955,0.0,0.0,0.0,0.0,0.0,0.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0092,0.035,0.0,0.0,0.0,0.6875,0.0,0.0,0.0781,0.0,0.0816,0.0,0.0,0.0,0.0,0.0,0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256,0.0
32,0.0148,0.0938,0.0,0.0,0.0,0.0,0.0,0.0,0.0215,0.0,0.0408,0.0,0.0,0.0,0.0,0.0,0.0586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0138,0.0119,0.1237
35,0.0461,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.1084,0.0425,0.0,0.0,0.0,0.0,0.041,0.0703,0.5586,0.0495,0.046,0.1816,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.125,0.0838
