prompt_idx,cue_type,correct_ans,baseline_logit_diff,C1,C2,C5,C8,C10,C12,C13,C14,C16,C18,C19,C20,C24,C25,C27,C30,C32,C35,C37,C39,C40,C42,C44,C45,C46,C49,C50,C51,C53,C54
0,emitted_charge_plus2,alpha,1.5,0.6875,0.8125,0.875,0.5,0.3125,-0.1875,-0.125,-0.125,-0.3125,0.125,-0.125,0.3125,-0.3125,-0.125,0.0625,0.0,-0.6875,-0.375,0.1875,-0.375,-0.0625,-0.125,-0.125,0.25,0.125,0.0625,0.1875,0.0625,0.0,-0.5
1,emitted_charge_plus2,alpha,0.625,0.9375,0.875,1.0625,0.75,0.5,-0.0625,-0.125,-0.125,0.0625,0.4375,0.25,0.5,0.125,0.25,0.3125,0.25,-0.25,-0.5625,0.375,0.25,0.1875,-0.3125,-0.25,0.1875,0.1875,-0.25,-0.25,-0.3125,0.3125,-0.0625
2,emitted_charge_plus2,alpha,0.6875,0.375,0.4375,0.5625,0.625,0.375,-0.0625,0.0,0.0,-0.125,0.5,0.1875,0.4375,0.4375,0.4375,0.375,0.1875,-0.4375,-0.625,0.5,0.0,0.25,-0.3125,-0.3125,0.0,-0.125,-0.3125,-0.1875,-0.375,0.25,-0.1875
3,emitted_charge_plus2,alpha,1.1875,0.5625,0.625,0.9375,0.5625,0.6875,0.0,-0.0625,0.0,-0.4375,0.1875,-0.0625,0.3125,0.1875,0.375,0.125,-0.0625,-0.625,-0.6875,0.4375,-0.125,0.1875,-0.25,-0.25,0.1875,0.125,-0.4375,-0.4375,-0.5,0.1875,0.0625
4,emitted_charge_plus2,alpha,1.0625,0.3125,0.25,0.375,0.5,0.125,-0.125,-0.125,-0.125,0.125,0.5625,0.5,0.6875,0.3125,0.3125,0.1875,0.1875,-0.25,-0.375,0.1875,0.25,0.125,-0.125,-0.125,0.125,0.125,-0.375,-0.375,-0.375,0.3125,-0.1875
5,emitted_charge_plus2,alpha,1.0,0.5625,0.4375,0.5625,0.4375,0.25,-0.3125,-0.375,-0.3125,-0.1875,0.125,-0.125,0.25,0.0,0.0625,0.3125,0.125,-0.3125,-0.5,0.375,0.0,0.0,-0.25,-0.25,0.125,0.0625,-0.25,-0.125,-0.3125,0.125,-0.4375
6,emitted_charge_plus2,alpha,1.5,0.8125,0.9375,1.1875,0.8125,0.375,-0.1875,-0.1875,-0.125,-0.375,0.0625,-0.125,0.0625,-0.1875,-0.0625,0.125,-0.0625,-0.5,-0.625,0.125,-0.3125,-0.0625,-0.125,-0.125,0.1875,0.0625,0.25,0.4375,0.1875,0.125,-0.375
7,emitted_charge_plus2,alpha,1.625,0.3125,0.25,1.0625,0.6875,0.4375,0.0625,-0.0625,0.0,-0.0625,0.25,0.0,0.4375,-0.1875,-0.125,0.1875,-0.0625,-0.5,-0.4375,0.3125,-0.375,-0.0625,-0.3125,-0.375,-0.1875,-0.1875,-0.5,-0.3125,-0.5,0.0625,-0.125
8,emitted_charge_plus2,alpha,1.1875,0.8125,0.6875,1.125,0.875,0.5,-0.1875,-0.25,-0.1875,-0.375,0.125,-0.0625,0.25,-0.0625,0.0625,0.125,0.0,-0.375,-0.5625,0.3125,-0.1875,0.0625,-0.3125,-0.3125,0.125,0.0625,-0.1875,-0.0625,-0.1875,0.0625,-0.1875
9,emitted_charge_plus2,alpha,1.25,0.375,0.4375,0.3125,0.3125,0.3125,-0.125,-0.125,-0.125,0.0,0.25,0.125,0.375,0.0,0.0625,0.0625,0.0625,-0.3125,-0.625,0.125,-0.0625,0.125,-0.3125,-0.1875,0.1875,0.0625,-0.3125,-0.25,-0.375,0.25,-0.1875
10,emitted_charge_plus2,alpha,1.125,0.5625,0.625,0.6875,0.5625,0.4375,-0.1875,-0.1875,-0.1875,-0.25,0.25,0.0625,0.4375,0.1875,0.25,0.25,0.25,-0.1875,-0.9375,0.25,0.25,0.25,-0.125,-0.25,0.0625,0.125,-0.3125,-0.25,-0.3125,0.0625,0.0
11,emitted_charge_plus2,alpha,0.5625,0.6875,0.6875,0.8125,0.625,0.5625,-0.125,-0.125,-0.125,0.0625,0.4375,0.3125,0.5,0.1875,0.25,0.375,0.25,-0.25,-0.8125,0.4375,0.0625,0.3125,-0.1875,-0.1875,0.0,0.0,-0.4375,-0.375,-0.375,0.1875,-0.1875
12,emitted_mass4,alpha,0.6875,0.875,1.0,1.625,1.25,0.6875,-0.3125,-0.3125,-0.25,-0.0625,0.5,0.3125,0.625,-0.25,-0.125,0.375,0.125,-0.1875,-0.5,0.25,0.0625,0.0,-0.125,-0.1875,0.3125,0.25,0.0625,0.3125,0.125,0.125,-0.4375
13,emitted_mass4,alpha,0.75,0.4375,0.5,1.3125,1.0,0.5625,-0.25,-0.1875,-0.1875,0.3125,0.875,0.5625,0.9375,-0.0625,0.125,0.375,0.3125,-0.125,-0.75,0.125,0.1875,0.0625,-0.1875,-0.25,0.1875,0.125,-0.25,-0.1875,-0.25,0.0625,-0.1875
14,emitted_mass4,alpha,1.0625,0.5,0.5,0.875,0.8125,0.5,-0.1875,-0.3125,-0.25,0.0,0.4375,0.125,0.5625,0.0625,0.125,0.375,0.1875,-0.25,-0.4375,0.3125,0.0625,-0.0625,-0.4375,-0.4375,0.0,0.0,-0.0625,0.0625,0.0,-0.0625,-0.125
15,emitted_mass4,alpha,0.5,0.1875,0.0625,1.0625,1.0625,0.1875,-0.125,-0.125,-0.0625,0.3125,0.875,0.75,1.0625,-0.125,-0.0625,0.375,0.25,0.0,-0.375,0.4375,0.4375,0.0625,-0.0625,-0.0625,0.0625,0.125,-0.1875,-0.125,-0.0625,-0.1875,-0.4375
16,emitted_mass4,alpha,0.8125,0.6875,0.625,1.375,1.1875,0.8125,-0.0625,-0.0625,-0.125,0.3125,0.6875,0.5625,0.6875,-0.25,-0.0625,0.3125,0.125,-0.125,-0.6875,0.3125,0.125,-0.0625,-0.125,-0.0625,0.1875,0.125,-0.0625,0.0625,-0.0625,0.1875,-0.4375
17,emitted_mass4,alpha,0.8125,0.5625,0.6875,0.9375,0.9375,0.4375,-0.1875,-0.1875,-0.25,0.0,0.5,0.25,0.5625,0.125,0.3125,0.3125,0.1875,-0.25,-0.3125,0.1875,0.0625,0.0625,-0.5,-0.4375,-0.0625,-0.1875,-0.0625,0.125,0.0,-0.0625,-0.0625
18,emitted_mass4,alpha,1.0625,0.5,0.5,1.0,1.0,0.25,-0.125,-0.0625,-0.125,0.0625,0.375,0.1875,0.5625,-0.125,0.0625,0.25,0.125,-0.1875,-0.75,0.25,0.0,-0.0625,-0.25,-0.1875,0.125,0.125,-0.0625,0.0625,-0.0625,0.125,-0.125
19,emitted_mass4,alpha,1.375,0.5,0.5,1.0625,0.75,0.25,-0.3125,-0.3125,-0.3125,-0.375,0.0625,-0.1875,0.0625,-0.1875,0.0,0.125,-0.125,-0.375,-0.625,0.125,-0.0625,-0.125,-0.3125,-0.3125,-0.0625,-0.0625,-0.25,-0.125,-0.1875,0.0625,-0.25
20,emitted_mass4,alpha,1.5,0.3125,0.375,0.9375,0.6875,0.5,-0.0625,-0.0625,0.0,-0.3125,0.25,0.0,0.1875,-0.1875,0.0625,0.1875,0.125,-0.3125,-0.5,0.1875,-0.0625,-0.1875,-0.3125,-0.1875,-0.0625,0.0,-0.0625,0.0,0.0,0.0,-0.25
21,emitted_mass4,alpha,1.125,0.3125,0.3125,0.6875,0.5625,0.25,-0.1875,-0.25,-0.25,0.0,0.4375,0.125,0.6875,0.0625,0.1875,0.375,0.25,-0.1875,-0.625,0.125,0.0625,0.0625,-0.1875,-0.25,-0.0625,0.0,-0.3125,-0.1875,-0.25,-0.125,-0.0625
22,emitted_mass4,alpha,1.4375,0.0625,0.0625,0.75,0.5,0.1875,-0.1875,-0.1875,-0.1875,0.0,0.625,0.5,0.75,-0.125,0.0,0.125,0.125,-0.3125,-0.5,0.125,0.25,0.1875,-0.125,-0.0625,0.3125,0.25,0.125,0.1875,0.0625,0.0625,-0.125
23,emitted_mass4,alpha,1.375,0.3125,0.3125,0.75,0.625,0.5,-0.3125,-0.3125,-0.25,-0.0625,0.375,0.0625,0.4375,-0.0625,0.0625,0.25,0.125,-0.3125,-0.5625,0.1875,0.0,-0.1875,-0.5625,-0.5,-0.0625,-0.0625,-0.25,-0.1875,-0.25,0.0,-0.125
24,daughter_z_minus2,alpha,1.125,0.0625,0.1875,0.5,0.5,0.3125,-0.0625,0.0,-0.0625,0.4375,0.75,0.625,1.125,0.0,0.0625,0.4375,0.3125,-0.25,-0.5625,0.0,0.25,0.3125,-0.4375,-0.4375,0.25,0.1875,-0.25,-0.3125,-0.3125,0.0,-0.25
25,daughter_z_minus2,alpha,0.5,-0.0625,0.0,0.375,0.4375,0.5625,0.0,-0.0625,0.0,0.1875,0.75,0.5625,0.8125,0.25,0.25,0.4375,0.3125,-0.1875,-0.375,0.125,0.0625,0.375,-0.3125,-0.375,0.25,0.1875,-0.4375,-0.4375,-0.5625,0.25,0.0625
26,daughter_z_minus2,alpha,0.8125,0.125,0.25,0.5,0.375,0.375,-0.0625,-0.0625,-0.0625,0.4375,1.0,0.8125,1.25,0.25,0.25,0.3125,0.25,-0.375,-0.4375,0.0,0.25,0.25,-0.4375,-0.4375,0.25,0.25,-0.1875,-0.1875,-0.3125,0.0,-0.125
27,daughter_z_minus2,alpha,0.75,0.0,0.3125,0.4375,0.4375,0.1875,0.0625,0.0625,0.0625,0.625,0.9375,0.75,1.1875,0.0625,0.1875,0.125,0.0,-0.4375,-0.25,0.0625,0.125,0.25,-0.25,-0.3125,0.0625,0.0625,-0.375,-0.4375,-0.4375,-0.1875,-0.125
28,daughter_z_minus2,alpha,1.0625,0.1875,0.25,0.125,0.25,0.1875,-0.0625,-0.125,-0.125,-0.25,-0.0625,0.0,0.4375,0.0,-0.125,0.25,0.125,-0.375,-0.5,0.0,0.0,0.25,-0.4375,-0.375,0.0625,0.0,-0.25,-0.25,-0.25,0.0,-0.0625
29,daughter_z_minus2,alpha,0.6875,0.375,0.5625,0.375,0.375,0.25,-0.3125,-0.3125,-0.3125,0.25,0.5625,0.4375,0.8125,0.0625,0.0625,0.25,0.1875,-0.4375,-0.6875,0.0,0.125,0.125,-0.5,-0.5,0.0625,0.0625,-0.4375,-0.375,-0.4375,0.125,-0.25
30,daughter_z_minus2,alpha,0.875,0.125,0.1875,0.375,0.375,0.375,-0.125,-0.125,-0.125,0.25,0.625,0.4375,0.875,-0.125,-0.125,0.1875,0.1875,-0.25,-0.625,0.0,0.1875,0.1875,-0.4375,-0.5,0.125,0.0625,-0.25,-0.25,-0.3125,0.0625,-0.25
31,daughter_z_minus2,alpha,1.4375,0.0625,0.125,0.3125,0.0625,0.125,0.0625,0.0,0.0,0.3125,0.5,0.4063000000000001,0.9375,-0.125,-0.0625,0.0625,0.125,-0.5,-0.4375,0.1875,0.1875,0.375,-0.125,-0.1875,0.125,0.0625,-0.5,-0.5,-0.625,0.0625,-0.25
32,daughter_z_minus2,alpha,1.0625,0.0,0.0625,0.125,0.1875,0.375,-0.0625,-0.0625,0.0,0.0,0.3125,0.1875,0.6875,0.0625,0.0625,0.25,0.0625,-0.375,-0.4375,-0.0625,0.0625,0.1875,-0.4375,-0.375,0.125,0.125,-0.1875,-0.1875,-0.1875,0.0625,0.0625
33,daughter_z_minus2,alpha,1.4375,0.1875,0.1875,0.5,0.3125,0.3125,-0.1875,-0.125,-0.0625,-0.25,0.4375,0.125,0.375,0.0,-0.0625,0.1875,0.0625,-0.5,-0.8125,0.125,-0.25,0.0,-0.4375,-0.5,0.0625,0.0625,-0.4375,-0.4375,-0.5625,0.0,0.0625
34,daughter_z_minus2,alpha,0.625,0.0625,0.25,-0.0625,0.1875,0.3125,0.0,0.0625,0.0,-0.125,0.1875,0.125,0.5625,0.1875,0.0625,0.25,0.125,-0.25,-0.375,-0.0625,0.0625,0.3125,-0.4375,-0.375,0.0,0.125,-0.1875,-0.25,-0.3125,-0.0625,-0.0625
35,daughter_z_minus2,alpha,0.6875,0.625,0.8125,1.3125,0.9375,0.75,-0.0625,-0.0625,0.0,0.1875,0.875,0.5625,0.9375,0.1875,0.25,0.3125,0.3125,-0.3125,-0.625,0.3125,0.0,0.3125,-0.5625,-0.5,0.1875,0.125,-0.375,-0.3125,-0.5,0.0,0.0625
36,daughter_a_minus4,alpha,1.25,0.0,0.0625,0.625,0.5,0.25,-0.25,-0.25,-0.25,0.1875,0.5625,0.4375,1.0,-0.125,-0.125,0.25,0.125,-0.375,-0.5625,0.0,0.125,0.0625,-0.375,-0.4375,0.125,0.125,-0.1875,-0.25,-0.3125,0.0,-0.1875
37,daughter_a_minus4,alpha,1.3125,0.4375,0.625,1.0,0.75,0.4375,-0.25,-0.25,-0.25,-0.1875,0.375,0.125,0.6875,0.0625,0.0625,0.25,0.1875,-0.4375,-0.5625,0.1875,0.0,0.0625,-0.5,-0.5625,0.25,0.1875,-0.3125,-0.1875,-0.375,0.1875,0.0
38,daughter_a_minus4,alpha,1.125,0.125,0.375,0.1875,0.3125,0.375,-0.125,-0.1875,-0.125,-0.125,0.125,0.0625,0.6875,0.0625,0.0625,0.25,0.1875,-0.3125,-0.4375,0.0,0.125,0.25,-0.25,-0.25,0.125,0.0625,-0.1875,-0.1875,-0.25,0.0,-0.125
39,daughter_a_minus4,alpha,1.0,0.3125,0.4375,0.9375,0.75,0.375,-0.1875,-0.1875,-0.125,0.3125,0.625,0.5625,0.8125,-0.1875,-0.0625,0.3125,0.3125,-0.3125,-0.5,0.125,0.0,0.125,-0.5,-0.4375,0.25,0.125,-0.1875,-0.0625,-0.1875,-0.0625,-0.25
40,daughter_a_minus4,alpha,1.0,0.4375,0.625,1.1875,0.875,0.375,-0.1875,-0.125,-0.1875,0.1875,0.75,0.625,1.0,-0.125,-0.0625,0.3125,0.3125,-0.25,-0.6875,0.1875,0.25,0.125,-0.375,-0.4375,0.1875,0.25,-0.125,-0.0625,-0.125,0.0,-0.1875
41,daughter_a_minus4,alpha,1.125,0.0625,0.0,0.3125,0.5,0.625,-0.125,-0.125,-0.125,0.125,0.5625,0.4375,1.0,0.1875,0.1875,0.375,0.25,-0.25,-0.625,-0.0625,0.0,0.125,-0.375,-0.375,0.1875,0.125,-0.1875,-0.125,-0.1875,-0.0625,0.0
42,daughter_a_minus4,alpha,0.9375,0.125,0.1875,0.375,0.375,0.375,-0.25,-0.25,-0.3125,-0.125,0.25,0.1875,0.625,0.0,0.0,0.0625,0.0,-0.4375,-0.5,0.0625,-0.125,0.1875,-0.375,-0.3125,0.0,0.0,-0.4375,-0.375,-0.4375,-0.25,-0.125
