layer,c,dir,sigma,n_targets,n_correct,mean_dmargin_toward,margin_flip,flip_norm,flip_norm_intact,intact_given_flip,flip_c0_to_c1,flip_c1_to_c0,intact_rate,intact_flip
0,1.0,w_res,0.03437317612548098,64,63,-0.0007079914212226868,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,1.0,usage,0.03437317612548098,64,63,0.0590357631444931,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,1.0,delta,0.03437317612548098,64,63,-0.00018612295389175415,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,1.0,shuffled0,0.03437317612548098,64,63,-0.0023763999342918396,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,1.0,shuffled1,0.03437317612548098,64,63,0.0006628707051277161,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,1.0,random0,0.03437317612548098,64,63,-0.0024720802903175354,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,1.0,random1,0.03437317612548098,64,63,-0.0020140856504440308,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,4.0,w_res,0.03437317612548098,64,63,-0.0027823150157928467,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,4.0,usage,0.03437317612548098,64,63,0.2262774333357811,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,4.0,delta,0.03437317612548098,64,63,-0.0006963908672332764,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,4.0,shuffled0,0.03437317612548098,64,63,-0.009441561996936798,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,4.0,shuffled1,0.03437317612548098,64,63,0.00276261568069458,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,4.0,random0,0.03437317612548098,64,63,-0.009908325970172882,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,4.0,random1,0.03437317612548098,64,63,-0.007900901138782501,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,16.0,w_res,0.03437317612548098,64,63,-0.0105954110622406,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,16.0,usage,0.03437317612548098,64,63,0.6798739582300186,0.03125,0.031746031746031744,0.0,0.0,0.0,0.058823529411764705,0.015625,0.0
0,16.0,delta,0.03437317612548098,64,63,-0.0018212422728538513,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,16.0,shuffled0,0.03437317612548098,64,63,-0.03702767938375473,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,16.0,shuffled1,0.03437317612548098,64,63,0.01283436268568039,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,16.0,random0,0.03437317612548098,64,63,-0.03996235877275467,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
0,16.0,random1,0.03437317612548098,64,63,-0.029493778944015503,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,1.0,w_res,0.07194266556919567,64,63,-0.002463705837726593,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,1.0,usage,0.07194266556919567,64,63,0.11672449111938477,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,1.0,delta,0.07194266556919567,64,63,-0.0021161213517189026,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,1.0,shuffled0,0.07194266556919567,64,63,0.0011254549026489258,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,1.0,shuffled1,0.07194266556919567,64,63,-0.0032304152846336365,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,1.0,random0,0.07194266556919567,64,63,0.00023146718740463257,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,1.0,random1,0.07194266556919567,64,63,-9.215623140335083e-05,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,4.0,w_res,0.07194266556919567,64,63,-0.010214485228061676,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,4.0,usage,0.07194266556919567,64,63,0.41246839612722397,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,4.0,delta,0.07194266556919567,64,63,-0.008792735636234283,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,4.0,shuffled0,0.07194266556919567,64,63,0.004097290337085724,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,4.0,shuffled1,0.07194266556919567,64,63,-0.013112075626850128,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,4.0,random0,0.07194266556919567,64,63,0.0009452998638153076,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,4.0,random1,0.07194266556919567,64,63,-0.0002958923578262329,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,16.0,w_res,0.07194266556919567,64,63,-0.045529067516326904,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,16.0,usage,0.07194266556919567,64,63,1.1736303120851517,0.046875,0.047619047619047616,0.0,0.0,0.0,0.08823529411764706,0.0,0.0
1,16.0,delta,0.07194266556919567,64,63,-0.040812619030475616,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,16.0,shuffled0,0.07194266556919567,64,63,0.010225273668766022,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,16.0,shuffled1,0.07194266556919567,64,63,-0.05321747064590454,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,16.0,random0,0.07194266556919567,64,63,0.004173509776592255,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
1,16.0,random1,0.07194266556919567,64,63,0.00018685311079025269,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,1.0,w_res,0.11048437284975443,64,63,-0.00037958472967147827,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,1.0,usage,0.11048437284975443,64,63,0.16721873730421066,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,1.0,delta,0.11048437284975443,64,63,-0.003466099500656128,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,1.0,shuffled0,0.11048437284975443,64,63,-0.0002874210476875305,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,1.0,shuffled1,0.11048437284975443,64,63,0.0021160170435905457,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,1.0,random0,0.11048437284975443,64,63,0.004069440066814423,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,1.0,random1,0.11048437284975443,64,63,-0.00415010005235672,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,4.0,w_res,0.11048437284975443,64,63,-0.002230420708656311,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,4.0,usage,0.11048437284975443,64,63,0.5391563028097153,0.015625,0.015873015873015872,0.0,0.0,0.0,0.029411764705882353,0.03125,0.0
2,4.0,delta,0.11048437284975443,64,63,-0.014914453029632568,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,4.0,shuffled0,0.11048437284975443,64,63,-0.00029259175062179565,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,4.0,shuffled1,0.11048437284975443,64,63,0.008519835770130157,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,4.0,random0,0.11048437284975443,64,63,0.016110137104988098,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,4.0,random1,0.11048437284975443,64,63,-0.0156804621219635,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,16.0,w_res,0.11048437284975443,64,63,-0.021203458309173584,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,16.0,usage,0.11048437284975443,64,63,1.909277617931366,0.09375,0.09523809523809523,0.0,0.0,0.0,0.17647058823529413,0.015625,0.0
2,16.0,delta,0.11048437284975443,64,63,-0.08039463311433792,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,16.0,shuffled0,0.11048437284975443,64,63,0.011749140918254852,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,16.0,shuffled1,0.11048437284975443,64,63,0.03287310153245926,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
2,16.0,random0,0.11048437284975443,64,63,0.06114930659532547,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,16.0,random1,0.11048437284975443,64,63,-0.05565633624792099,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
3,1.0,w_res,0.15154466865811442,64,63,0.003728143870830536,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,1.0,usage,0.15154466865811442,64,63,0.222839817404747,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,1.0,delta,0.15154466865811442,64,63,0.008251890540122986,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,1.0,shuffled0,0.15154466865811442,64,63,0.0020481571555137634,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,1.0,shuffled1,0.15154466865811442,64,63,0.00837666541337967,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,1.0,random0,0.15154466865811442,64,63,4.334002733230591e-05,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,1.0,random1,0.15154466865811442,64,63,-0.002432987093925476,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,4.0,w_res,0.15154466865811442,64,63,0.013537190854549408,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,4.0,usage,0.15154466865811442,64,63,0.7549056634306908,0.03125,0.031746031746031744,0.0,0.0,0.0,0.058823529411764705,0.03125,0.0
3,4.0,delta,0.15154466865811442,64,63,0.029112152755260468,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,4.0,shuffled0,0.15154466865811442,64,63,0.00780487060546875,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,4.0,shuffled1,0.15154466865811442,64,63,0.03460230678319931,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,4.0,random0,0.15154466865811442,64,63,-0.0005157440900802612,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,4.0,random1,0.15154466865811442,64,63,-0.009964026510715485,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,16.0,w_res,0.15154466865811442,64,63,0.03725544363260269,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,16.0,usage,0.15154466865811442,64,63,2.5972640365362167,0.171875,0.1746031746031746,0.0,0.0,0.0,0.3235294117647059,0.015625,0.0
3,16.0,delta,0.15154466865811442,64,63,0.04907158017158508,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
3,16.0,shuffled0,0.15154466865811442,64,63,0.020850762724876404,0.0,0.0,0.0,nan,0.0,0.0,0.03125,0.0
