layer,c,dir,sigma,n_targets,n_correct,mean_dmargin_toward,margin_flip,flip_norm,flip_norm_intact,intact_given_flip,flip_c0_to_c1,flip_c1_to_c0,intact_rate,intact_flip
0,1.0,w_res,0.02517843675441581,64,64,-0.00018954835832118988,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,1.0,usage,0.02517843675441581,64,64,0.03195836953818798,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,1.0,delta,0.02517843675441581,64,64,0.00015186890959739685,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,1.0,shuffled0,0.02517843675441581,64,64,0.0011557228863239288,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,1.0,shuffled1,0.02517843675441581,64,64,0.00018906965851783752,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,1.0,random0,0.02517843675441581,64,64,-0.00036351196467876434,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,1.0,random1,0.02517843675441581,64,64,-0.0005044825375080109,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,4.0,w_res,0.02517843675441581,64,64,-0.0007215384393930435,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,4.0,usage,0.02517843675441581,64,64,0.13528666831552982,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,4.0,delta,0.02517843675441581,64,64,0.0005267336964607239,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,4.0,shuffled0,0.02517843675441581,64,64,0.00468229316174984,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,4.0,shuffled1,0.02517843675441581,64,64,0.0007286109030246735,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,4.0,random0,0.02517843675441581,64,64,-0.0015230923891067505,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,4.0,random1,0.02517843675441581,64,64,-0.0019779298454523087,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,16.0,w_res,0.02517843675441581,64,64,-0.002653982490301132,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,16.0,usage,0.02517843675441581,64,64,0.6482094526290894,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,16.0,delta,0.02517843675441581,64,64,0.0009537748992443085,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,16.0,shuffled0,0.02517843675441581,64,64,0.019569270312786102,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,16.0,shuffled1,0.02517843675441581,64,64,0.0023225508630275726,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,16.0,random0,0.02517843675441581,64,64,-0.0069327205419540405,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
0,16.0,random1,0.02517843675441581,64,64,-0.007250141352415085,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,1.0,w_res,0.05302615697621431,64,64,0.0012122057378292084,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,1.0,usage,0.05302615697621431,64,64,0.06675646640360355,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,1.0,delta,0.05302615697621431,64,64,0.0006568189710378647,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,1.0,shuffled0,0.05302615697621431,64,64,0.0017719827592372894,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,1.0,shuffled1,0.05302615697621431,64,64,-0.0010632798075675964,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,1.0,random0,0.05302615697621431,64,64,-0.0016058683395385742,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,1.0,random1,0.05302615697621431,64,64,1.3563781976699829e-05,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,4.0,w_res,0.05302615697621431,64,64,0.0048237573355436325,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,4.0,usage,0.05302615697621431,64,64,0.2981634605675936,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,4.0,delta,0.05302615697621431,64,64,0.002578452229499817,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,4.0,shuffled0,0.05302615697621431,64,64,0.007067177444696426,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,4.0,shuffled1,0.05302615697621431,64,64,-0.004750464111566544,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,4.0,random0,0.05302615697621431,64,64,-0.006638426333665848,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,4.0,random1,0.05302615697621431,64,64,-7.260218262672424e-05,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,16.0,w_res,0.05302615697621431,64,64,0.019059177488088608,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,16.0,usage,0.05302615697621431,64,64,1.3911857344210148,0.0625,0.0625,0.0,0.0,0.0,0.11428571428571428,0.015625,0.0
1,16.0,delta,0.05302615697621431,64,64,0.009958088397979736,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,16.0,shuffled0,0.05302615697621431,64,64,0.027988925576210022,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,16.0,shuffled1,0.05302615697621431,64,64,-0.026667790487408638,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,16.0,random0,0.05302615697621431,64,64,-0.029608195647597313,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
1,16.0,random1,0.05302615697621431,64,64,-0.0023300684988498688,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,1.0,w_res,0.07846495660914861,64,64,0.003203015774488449,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,1.0,usage,0.07846495660914861,64,64,0.09798255190253258,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,1.0,delta,0.07846495660914861,64,64,0.001986522227525711,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,1.0,shuffled0,0.07846495660914861,64,64,0.0007877238094806671,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,1.0,shuffled1,0.07846495660914861,64,64,0.00036758556962013245,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,1.0,random0,0.07846495660914861,64,64,0.002484310418367386,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,1.0,random1,0.07846495660914861,64,64,-0.00095328688621521,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,4.0,w_res,0.07846495660914861,64,64,0.012395516037940979,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,4.0,usage,0.07846495660914861,64,64,0.4688163660466671,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,4.0,delta,0.07846495660914861,64,64,0.00760297104716301,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,4.0,shuffled0,0.07846495660914861,64,64,0.003047579899430275,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,4.0,shuffled1,0.07846495660914861,64,64,0.00132756307721138,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,4.0,random0,0.07846495660914861,64,64,0.010029781609773636,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,4.0,random1,0.07846495660914861,64,64,-0.003353860229253769,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,16.0,w_res,0.07846495660914861,64,64,0.04250049591064453,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,16.0,usage,0.07846495660914861,64,64,2.1570281349122524,0.078125,0.078125,0.0,0.0,0.0,0.14285714285714285,0.015625,0.0
2,16.0,delta,0.07846495660914861,64,64,0.024028431624174118,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,16.0,shuffled0,0.07846495660914861,64,64,0.010199958458542824,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,16.0,shuffled1,0.07846495660914861,64,64,0.0020213965326547623,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,16.0,random0,0.07846495660914861,64,64,0.04235234670341015,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
2,16.0,random1,0.07846495660914861,64,64,-0.006860500201582909,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
3,1.0,w_res,0.10809114619180536,64,64,0.006034877151250839,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
3,1.0,usage,0.10809114619180536,64,64,0.13643101789057255,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
3,1.0,delta,0.10809114619180536,64,64,0.0014651790261268616,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
3,1.0,shuffled0,0.10809114619180536,64,64,-0.00014210306107997894,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
3,1.0,shuffled1,0.10809114619180536,64,64,0.0018759891390800476,0.0,0.0,0.0,nan,0.0,0.0,0.046875,0.0
