layer,c,dir,sigma,n_targets,n_correct,mean_dmargin_toward,margin_flip,flip_norm,flip_norm_intact,intact_given_flip,flip_c0_to_c1,flip_c1_to_c0,intact_rate,intact_flip
0,1.0,w_res,0.037898679291538194,64,64,-0.00031297653913497925,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,1.0,usage,0.037898679291538194,64,64,0.03100975602865219,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,1.0,delta,0.037898679291538194,64,64,-0.0005558803677558899,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,1.0,shuffled0,0.037898679291538194,64,64,-0.0012392327189445496,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,1.0,shuffled1,0.037898679291538194,64,64,-0.00016690045595169067,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,1.0,random0,0.037898679291538194,64,64,0.0008799880743026733,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,1.0,random1,0.037898679291538194,64,64,0.0011062324047088623,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,4.0,w_res,0.037898679291538194,64,64,-0.0012590289115905762,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,4.0,usage,0.037898679291538194,64,64,0.12229850888252258,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,4.0,delta,0.037898679291538194,64,64,-0.002316989004611969,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,4.0,shuffled0,0.037898679291538194,64,64,-0.005040772259235382,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,4.0,shuffled1,0.037898679291538194,64,64,-0.0006851628422737122,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,4.0,random0,0.037898679291538194,64,64,0.0034226253628730774,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,4.0,random1,0.037898679291538194,64,64,0.004571683704853058,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,16.0,w_res,0.037898679291538194,64,64,-0.005220070481300354,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,16.0,usage,0.037898679291538194,64,64,0.40089136362075806,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,16.0,delta,0.037898679291538194,64,64,-0.01077665388584137,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,16.0,shuffled0,0.037898679291538194,64,64,-0.0214541032910347,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,16.0,shuffled1,0.037898679291538194,64,64,-0.003163054585456848,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,16.0,random0,0.037898679291538194,64,64,0.012129031121730804,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
0,16.0,random1,0.037898679291538194,64,64,0.020430006086826324,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,1.0,w_res,0.07941909277958967,64,64,-0.00141192227602005,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,1.0,usage,0.07941909277958967,64,64,0.061342544853687286,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,1.0,delta,0.07941909277958967,64,64,0.00021404027938842773,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,1.0,shuffled0,0.07941909277958967,64,64,6.580352783203125e-05,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,1.0,shuffled1,0.07941909277958967,64,64,0.002260953187942505,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,1.0,random0,0.07941909277958967,64,64,0.00021330267190933228,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,1.0,random1,0.07941909277958967,64,64,0.0008961781859397888,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,4.0,w_res,0.07941909277958967,64,64,-0.005652189254760742,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,4.0,usage,0.07941909277958967,64,64,0.23364252597093582,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,4.0,delta,0.07941909277958967,64,64,-0.00019253790378570557,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,4.0,shuffled0,0.07941909277958967,64,64,0.00010016560554504395,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,4.0,shuffled1,0.07941909277958967,64,64,0.00868852436542511,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,4.0,random0,0.07941909277958967,64,64,0.0006843358278274536,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,4.0,random1,0.07941909277958967,64,64,0.0035403072834014893,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,16.0,w_res,0.07941909277958967,64,64,-0.02404768019914627,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,16.0,usage,0.07941909277958967,64,64,0.6895228624343872,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
1,16.0,delta,0.07941909277958967,64,64,-0.017460733652114868,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,16.0,shuffled0,0.07941909277958967,64,64,-0.0016670599579811096,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,16.0,shuffled1,0.07941909277958967,64,64,0.030099384486675262,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,16.0,random0,0.07941909277958967,64,64,0.00031207501888275146,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
1,16.0,random1,0.07941909277958967,64,64,0.013377279043197632,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,1.0,w_res,0.11844142350806153,64,64,-0.000813998281955719,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,1.0,usage,0.11844142350806153,64,64,0.08647288382053375,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,1.0,delta,0.11844142350806153,64,64,-0.0006383806467056274,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,1.0,shuffled0,0.11844142350806153,64,64,-0.0025182217359542847,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,1.0,shuffled1,0.11844142350806153,64,64,-0.0014785975217819214,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,1.0,random0,0.11844142350806153,64,64,4.198402166366577e-05,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,1.0,random1,0.11844142350806153,64,64,0.00022361427545547485,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,4.0,w_res,0.11844142350806153,64,64,-0.003376320004463196,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,4.0,usage,0.11844142350806153,64,64,0.3066018521785736,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,4.0,delta,0.11844142350806153,64,64,-0.005111292004585266,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,4.0,shuffled0,0.11844142350806153,64,64,-0.009226508438587189,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,4.0,shuffled1,0.11844142350806153,64,64,-0.006316043436527252,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,4.0,random0,0.11844142350806153,64,64,8.410215377807617e-05,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,4.0,random1,0.11844142350806153,64,64,0.0017293617129325867,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,16.0,w_res,0.11844142350806153,64,64,-0.015241190791130066,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,16.0,usage,0.11844142350806153,64,64,1.243917353451252,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
2,16.0,delta,0.11844142350806153,64,64,-0.06173916161060333,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,16.0,shuffled0,0.11844142350806153,64,64,-0.02345985174179077,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,16.0,shuffled1,0.11844142350806153,64,64,-0.03355206549167633,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,16.0,random0,0.11844142350806153,64,64,0.000772424042224884,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
2,16.0,random1,0.11844142350806153,64,64,0.02057374268770218,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,1.0,w_res,0.16645444954101613,64,64,-0.0009702444076538086,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,1.0,usage,0.16645444954101613,64,64,0.12180560827255249,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,1.0,delta,0.16645444954101613,64,64,0.004328228533267975,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,1.0,shuffled0,0.16645444954101613,64,64,0.002360604703426361,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,1.0,shuffled1,0.16645444954101613,64,64,-0.0016902238130569458,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,1.0,random0,0.16645444954101613,64,64,-0.0030852481722831726,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,1.0,random1,0.16645444954101613,64,64,0.0020482242107391357,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,4.0,w_res,0.16645444954101613,64,64,-0.004091449081897736,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,4.0,usage,0.16645444954101613,64,64,0.4576130211353302,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,4.0,delta,0.16645444954101613,64,64,0.012985311448574066,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,4.0,shuffled0,0.16645444954101613,64,64,0.009320713579654694,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,4.0,shuffled1,0.16645444954101613,64,64,-0.007703691720962524,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,4.0,random0,0.16645444954101613,64,64,-0.012031137943267822,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,4.0,random1,0.16645444954101613,64,64,0.008136868476867676,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,16.0,w_res,0.16645444954101613,64,64,-0.019068844616413116,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,16.0,usage,0.16645444954101613,64,64,1.9840455129742622,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
3,16.0,delta,0.16645444954101613,64,64,-0.01636417955160141,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,16.0,shuffled0,0.16645444954101613,64,64,0.034735798835754395,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,16.0,shuffled1,0.16645444954101613,64,64,-0.041940510272979736,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,16.0,random0,0.16645444954101613,64,64,-0.040610283613204956,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
3,16.0,random1,0.16645444954101613,64,64,0.02824600785970688,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,1.0,w_res,0.21334073343508078,64,64,-0.0015733838081359863,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,1.0,usage,0.21334073343508078,64,64,0.14338383078575134,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,1.0,delta,0.21334073343508078,64,64,0.005259677767753601,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,1.0,shuffled0,0.21334073343508078,64,64,-0.0031615719199180603,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,1.0,shuffled1,0.21334073343508078,64,64,-0.004891455173492432,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,1.0,random0,0.21334073343508078,64,64,0.006869696080684662,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,1.0,random1,0.21334073343508078,64,64,-0.000712960958480835,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,4.0,w_res,0.21334073343508078,64,64,-0.00737202912569046,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,4.0,usage,0.21334073343508078,64,64,0.6267108023166656,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,4.0,delta,0.21334073343508078,64,64,0.01720188558101654,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,4.0,shuffled0,0.21334073343508078,64,64,-0.014410160481929779,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,4.0,shuffled1,0.21334073343508078,64,64,-0.020557761192321777,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,4.0,random0,0.21334073343508078,64,64,0.027248717844486237,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
4,4.0,random1,0.21334073343508078,64,64,-0.004015043377876282,0.0,0.0,0.0,nan,0.0,0.0,0.015625,0.0
