layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation,lang_profile,en_freq,fr_freq,lang_asym
10,79308,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
10,39895,0.6875,0.16669999999999996,0.60415,0.1667,0.1667,balanced,0.6875,0.5208,0.1667
10,105893,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
10,141643,0.0208,0.9792,0.5104,0.9792,0.9792,fr_leaning,0.0208,1.0,0.9792
10,25281,1.0,0.25,0.875,0.25,0.25,balanced,1.0,0.75,0.25
10,131503,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
11,74435,1.0,0.10419999999999996,0.9479,0.1042,0.1042,balanced,1.0,0.8958,0.1042
11,22932,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
11,19181,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
11,71948,0.8958,0.10419999999999996,0.9479,0.1042,0.1042,balanced,0.8958,1.0,0.1042
11,155466,0.4792,0.4583,0.70835,0.4583,0.4583,balanced,0.4792,0.9375,0.4583
11,89663,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
12,36695,1.0,0.10419999999999996,0.9479,0.1042,0.1042,balanced,1.0,0.8958,0.1042
12,83869,1.0,0.02080000000000004,0.9896,0.0208,0.0208,balanced,1.0,0.9792,0.0208
12,39488,1.0,0.10419999999999996,0.9479,0.1042,0.1042,balanced,1.0,0.8958,0.1042
12,4447,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
12,4318,0.625,0.375,0.8125,0.375,0.375,balanced,0.625,1.0,0.375
12,97987,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
12,115685,1.0,0.125,0.9375,0.125,0.125,balanced,1.0,0.875,0.125
12,22710,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
13,70603,1.0,0.1875,0.90625,0.1875,0.1875,balanced,1.0,0.8125,0.1875
13,101365,0.875,0.3958,0.6771,0.3958,0.3958,balanced,0.875,0.4792,0.3958
13,136136,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
13,63127,0.6458,0.25,0.7708,0.25,0.25,balanced,0.6458,0.8958,0.25
13,117585,1.0,0.0625,0.96875,0.0625,0.0625,balanced,1.0,0.9375,0.0625
13,41281,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
14,129011,0.6042,0.25,0.7292,0.25,0.25,balanced,0.6042,0.8542,0.25
14,65047,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
14,119931,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
14,141271,0.875,0.35419999999999996,0.6979,0.3542,0.3542,balanced,0.875,0.5208,0.3542
14,97679,0.4375,0.16669999999999996,0.52085,0.1667,0.1667,balanced,0.4375,0.6042,0.1667
15,83110,0.8125,0.04169999999999996,0.83335,0.0417,0.0417,balanced,0.8125,0.8542,0.0417
15,106898,1.0,0.08330000000000004,0.95835,0.0833,0.0833,balanced,1.0,0.9167,0.0833
15,127839,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
15,41361,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
15,114080,0.6042,0.04160000000000008,0.625,0.0417,0.0417,balanced,0.6042,0.6458,0.0417
16,88149,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
16,76227,0.6042,0.39580000000000004,0.8021,0.3958,0.3958,balanced,0.6042,1.0,0.3958
16,45664,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
16,43079,1.0,0.10419999999999996,0.9479,0.1042,0.1042,balanced,1.0,0.8958,0.1042
17,73263,0.6042,0.04169999999999996,0.58335,0.0417,0.0417,balanced,0.6042,0.5625,0.0417
17,51924,0.6042,0.3541000000000001,0.78125,0.3542,0.3542,balanced,0.6042,0.9583,0.3542
17,765,1.0,0.10419999999999996,0.9479,0.1042,0.1042,balanced,1.0,0.8958,0.1042
17,19808,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
17,111317,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
18,162386,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
18,149556,1.0,0.375,0.8125,0.375,0.375,balanced,1.0,0.625,0.375
18,36517,1.0,0.02080000000000004,0.9896,0.0208,0.0208,balanced,1.0,0.9792,0.0208
18,27853,0.9792,0.04169999999999996,0.95835,0.0417,0.0417,balanced,0.9792,0.9375,0.0417
18,64813,0.8542,0.10419999999999996,0.8021,0.1042,0.1042,balanced,0.8542,0.75,0.1042
18,152973,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
18,30993,0.875,0.0,0.875,0.0,0.0,balanced,0.875,0.875,0.0
18,124002,0.5,0.22919999999999996,0.6146,0.2292,0.2292,balanced,0.5,0.7292,0.2292
18,89981,1.0,0.29169999999999996,0.85415,0.2917,0.2917,balanced,1.0,0.7083,0.2917
19,104925,0.6042,0.08339999999999992,0.5625,0.0833,0.0833,balanced,0.6042,0.5208,0.0833
19,135640,1.0,0.20830000000000004,0.89585,0.2083,0.2083,balanced,1.0,0.7917,0.2083
19,161546,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
19,47233,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
19,107296,1.0,0.33330000000000004,0.83335,0.3333,0.3333,balanced,1.0,0.6667,0.3333
19,94381,1.0,0.29169999999999996,0.85415,0.2917,0.2917,balanced,1.0,0.7083,0.2917
19,107766,0.7708,0.16660000000000008,0.6875,0.1667,0.1667,balanced,0.7708,0.6042,0.1667
19,114972,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
