prompt_idx,layer,zone,layer_delta,cumulative_delta,projected_logit_diff,baseline_logit_diff,flip_layer
0,10,early,0.0,0.0,5.125,5.125,
0,11,early,0.0,0.0,5.125,5.125,
0,12,early,0.0,0.0,5.125,5.125,
0,13,early,0.0,0.0,5.125,5.125,
0,14,early,0.0,0.0,5.125,5.125,
0,15,early,-0.59375,-0.59375,4.53125,5.125,
0,16,early,-0.5254926681518555,-1.1192426681518555,4.0057573318481445,5.125,
0,17,mid,-0.5925788879394531,-1.7118215560913086,3.4131784439086914,5.125,
0,18,mid,-0.75,-2.4618215560913086,2.6631784439086914,5.125,
0,19,mid,0.0,-2.4618215560913086,2.6631784439086914,5.125,
0,20,mid,0.0,-2.4618215560913086,2.6631784439086914,5.125,
0,21,mid,0.0,-2.4618215560913086,2.6631784439086914,5.125,
0,22,mid,0.78125,-1.6805715560913086,3.4444284439086914,5.125,
0,23,late,0.5,-1.1805715560913086,3.9444284439086914,5.125,
0,24,late,0.4375,-0.7430715560913086,4.381928443908691,5.125,
0,25,late,2.703873634338379,1.9608020782470703,7.08580207824707,5.125,
1,10,early,0.0,0.0,6.65625,6.65625,
1,11,early,0.0,0.0,6.65625,6.65625,
1,12,early,0.0,0.0,6.65625,6.65625,
1,13,early,0.0,0.0,6.65625,6.65625,
1,14,early,0.0,0.0,6.65625,6.65625,
1,15,early,-0.09375,-0.09375,6.5625,6.65625,
1,16,early,0.3567914962768554,0.2630414962768554,6.9192914962768555,6.65625,
1,17,mid,-1.1311826705932615,-0.868141174316406,5.788108825683594,6.65625,
1,18,mid,0.21875,-0.649391174316406,6.006858825683594,6.65625,
1,19,mid,0.0,-0.649391174316406,6.006858825683594,6.65625,
1,20,mid,0.0,-0.649391174316406,6.006858825683594,6.65625,
1,21,mid,0.0,-0.649391174316406,6.006858825683594,6.65625,
1,22,mid,1.65625,1.006858825683594,7.663108825683594,6.65625,
1,23,late,3.15625,4.163108825683594,10.819358825683594,6.65625,
1,24,late,1.625,5.788108825683594,12.444358825683594,6.65625,
1,25,late,5.553725719451904,11.341834545135498,17.998084545135498,6.65625,
2,10,early,0.0,0.0,4.65625,4.65625,
2,11,early,0.0,0.0,4.65625,4.65625,
2,12,early,0.0,0.0,4.65625,4.65625,
2,13,early,0.0,0.0,4.65625,4.65625,
2,14,early,0.0,0.0,4.65625,4.65625,
2,15,early,0.40625,0.40625,5.0625,4.65625,
2,16,early,-0.0505132675170898,0.3557367324829102,5.01198673248291,4.65625,
2,17,mid,-0.3403944969177246,0.015342235565185602,4.6715922355651855,4.65625,
2,18,mid,0.0625,0.0778422355651856,4.7340922355651855,4.65625,
2,19,mid,0.0,0.0778422355651856,4.7340922355651855,4.65625,
2,20,mid,0.0,0.0778422355651856,4.7340922355651855,4.65625,
2,21,mid,0.0,0.0778422355651856,4.7340922355651855,4.65625,
2,22,mid,-0.65625,-0.5784077644348145,4.0778422355651855,4.65625,
2,23,late,0.625,0.04659223556518555,4.7028422355651855,4.65625,
2,24,late,0.125,0.17159223556518555,4.8278422355651855,4.65625,
2,25,late,0.3015761375427246,0.47316837310791016,5.12941837310791,4.65625,
3,10,early,0.0,0.0,4.9375,4.9375,
3,11,early,0.0,0.0,4.9375,4.9375,
3,12,early,0.0,0.0,4.9375,4.9375,
3,13,early,0.0,0.0,4.9375,4.9375,
3,14,early,0.0,0.0,4.9375,4.9375,
3,15,early,0.15625,0.15625,5.09375,4.9375,
3,16,early,0.1288309097290039,0.2850809097290039,5.222580909729004,4.9375,
3,17,mid,-0.0692658424377441,0.21581506729125982,5.15331506729126,4.9375,
3,18,mid,0.125,0.3408150672912598,5.27831506729126,4.9375,
3,19,mid,0.0,0.3408150672912598,5.27831506729126,4.9375,
3,20,mid,0.0,0.3408150672912598,5.27831506729126,4.9375,
3,21,mid,0.0,0.3408150672912598,5.27831506729126,4.9375,
3,22,mid,-0.46875,-0.12793493270874018,4.80956506729126,4.9375,
3,23,late,1.09375,0.9658150672912598,5.90331506729126,4.9375,
3,24,late,0.40625,1.3720650672912598,6.30956506729126,4.9375,
3,25,late,0.3442530632019043,1.716318130493164,6.653818130493164,4.9375,
4,10,early,0.0,0.0,5.1875,5.1875,
4,11,early,0.0,0.0,5.1875,5.1875,
4,12,early,0.0,0.0,5.1875,5.1875,
4,13,early,0.0,0.0,5.1875,5.1875,
4,14,early,0.0,0.0,5.1875,5.1875,
4,15,early,0.0625,0.0625,5.25,5.1875,
4,16,early,0.539757251739502,0.602257251739502,5.789757251739502,5.1875,
4,17,mid,-0.565180778503418,0.037076473236083984,5.224576473236084,5.1875,
4,18,mid,-0.0625,-0.025423526763916016,5.162076473236084,5.1875,
4,19,mid,0.0,-0.025423526763916016,5.162076473236084,5.1875,
4,20,mid,0.0,-0.025423526763916016,5.162076473236084,5.1875,
4,21,mid,0.0,-0.025423526763916016,5.162076473236084,5.1875,
4,22,mid,0.84375,0.818326473236084,6.005826473236084,5.1875,
4,23,late,1.0625,1.880826473236084,7.068326473236084,5.1875,
4,24,late,1.5625,3.443326473236084,8.630826473236084,5.1875,
4,25,late,0.2995929718017578,3.742919445037842,8.930419445037842,5.1875,
5,10,early,0.0,0.0,5.40625,5.40625,
5,11,early,0.0,0.0,5.40625,5.40625,
5,12,early,0.0,0.0,5.40625,5.40625,
5,13,early,0.0,0.0,5.40625,5.40625,
5,14,early,0.0,0.0,5.40625,5.40625,
5,15,early,-0.34375,-0.34375,5.0625,5.40625,
