k_per_layer,vw_threshold,n_nodes,n_edges,n_communities,largest_pct,n_singletons,median_comm_size,n_circuit_features,trajectory_accuracy,mean_abs_effect,is_good_comm,is_good_circuit,both_good
all,0.01,137,1052,12,26.277372262773724,8,1.0,35,0.75,0.8494861421130953,False,True,False
all,0.05,137,714,13,27.73722627737226,8,1.0,35,0.75,0.8494861421130953,False,True,False
all,0.1,137,416,19,28.467153284671532,13,1.0,35,0.75,0.8494861421130953,False,True,False
all,0.2,137,163,42,16.78832116788321,30,1.0,35,0.75,0.8494861421130953,False,True,False
all,0.5,137,44,96,5.839416058394161,78,1.0,35,0.75,0.8494861421130953,False,True,False
8,0.01,108,584,9,27.77777777777778,5,1.0,30,0.75,0.8105061848958334,False,True,False
8,0.05,108,391,9,28.703703703703702,5,1.0,30,0.75,0.8105061848958334,False,True,False
8,0.1,108,230,18,19.444444444444446,12,1.0,30,0.75,0.8105061848958334,False,True,False
8,0.2,108,99,38,15.74074074074074,26,1.0,30,0.75,0.8105061848958334,False,True,False
8,0.5,108,27,81,7.4074074074074066,67,1.0,30,0.75,0.8105061848958334,False,True,False
5,0.01,79,332,5,32.91139240506329,0,14.0,24,0.7604166666666666,0.85357666015625,False,True,False
5,0.05,79,216,6,25.31645569620253,0,13.0,24,0.7604166666666666,0.85357666015625,False,True,False
5,0.1,79,133,14,20.253164556962027,8,1.0,24,0.7604166666666666,0.85357666015625,False,True,False
5,0.2,79,62,29,15.18987341772152,19,1.0,24,0.7604166666666666,0.85357666015625,False,True,False
5,0.5,79,13,66,5.063291139240507,56,1.0,24,0.7604166666666666,0.85357666015625,False,True,False
3,0.01,48,128,5,33.33333333333333,0,11.0,12,0.75,0.9954630533854166,False,True,False
3,0.05,48,84,7,22.916666666666664,1,6.0,12,0.75,0.9954630533854166,True,True,True
3,0.1,48,60,11,22.916666666666664,5,3.0,12,0.75,0.9954630533854166,False,True,False
3,0.2,48,32,23,18.75,14,1.0,12,0.75,0.9954630533854166,False,True,False
3,0.5,48,7,41,6.25,36,1.0,12,0.75,0.9954630533854166,False,True,False
2,0.01,32,58,5,34.375,0,7.0,8,0.7708333333333334,0.9162089029947916,False,True,False
2,0.05,32,39,6,34.375,1,5.0,8,0.7708333333333334,0.9162089029947916,False,True,False
2,0.1,32,30,9,25.0,3,3.0,8,0.7708333333333334,0.9162089029947916,False,True,False
2,0.2,32,16,17,18.75,9,1.0,8,0.7708333333333334,0.9162089029947916,False,True,False
2,0.5,32,4,28,9.375,25,1.0,8,0.7708333333333334,0.9162089029947916,False,True,False
