cluster_id,feature_id,layer,role_label,community,is_circuit_feature,is_global_alpha_discrim,is_global_beta_discrim,mean_abs_effect,mean_signed_effect,top_positive_group,top_negative_group,top_positive_prompt,top_negative_prompt
0,L10_F116205,,,,False,False,False,1.1353,-0.989,?,?,p0141,p0292
0,L10_F41460,,,,False,False,False,1.1361,-0.9839,?,?,p0141,p0292
0,L10_F56424,,,,False,False,False,1.1223,-0.968,?,?,p0141,p0292
0,L10_F72085,,,,False,False,False,1.1474,-0.9987,?,?,p0141,p0292
0,L10_F9316,,,,False,False,False,1.1527,-1.0017,?,?,p0141,p0145
1,L11_F134274,,,,False,False,False,0.6279,-0.0092,?,?,p0061,p0413
1,L11_F9723,,,,False,False,False,0.6172,-0.0368,?,?,p0061,p0413
1,L22_F118125,,,,False,False,False,2.1307,-2.111,?,?,p0023,p0050
1,L22_F139040,,,,False,False,False,2.142,-2.1208,?,?,p0023,p0050
1,L22_F27223,,,,False,False,False,2.0953,-2.0753,?,?,p0023,p0050
1,L22_F39641,22.0,α-attr,2.0,False,False,False,2.1452,-2.1264,?,?,p0023,p0050
1,L22_F41906,,,,False,False,False,2.0559,-2.0365,?,?,p0023,p0050
1,L22_F63642,,,,False,False,False,2.1454,-2.125,?,?,p0023,p0050
2,L24_F104198,,,,False,False,False,1.6056,-1.5731,?,?,p0379,p0050
2,L24_F143388,,,,False,False,False,1.6246,-1.595,?,?,p0379,p0050
2,L24_F153576,24.0,α-attr,2.0,False,False,False,1.6753,-1.6502,?,?,p0379,p0050
2,L24_F163125,,,,False,False,False,1.5885,-1.5551,?,?,p0379,p0050
2,L24_F38741,,,,False,False,False,1.4714,-1.4363,?,?,p0379,p0050
3,L13_F132297,,,,False,False,False,0.6968,-0.4529,?,?,p0443,p0312
3,L13_F13278,,,,False,False,False,0.6848,-0.4514,?,?,p0443,p0312
3,L23_F118675,,,,False,False,False,0.9663,-0.7668,?,?,p0141,p0132
3,L23_F1264,,,,False,False,False,0.9768,-0.7886,?,?,p0141,p0132
3,L23_F157706,,,,False,False,False,0.9629,-0.7618,?,?,p0292,p0132
3,L23_F29730,23.0,α-attr,2.0,False,False,False,0.9935,-0.8177,?,?,p0141,p0132
3,L23_F71325,,,,False,False,False,0.9459,-0.7697,?,?,p0292,p0132
3,L25_F149731,,,,False,False,False,1.5933,-1.5749,?,?,p0023,p0050
3,L25_F15948,25.0,α-attr,0.0,False,False,False,1.5986,-1.5805,?,?,p0023,p0398
4,L14_F18110,,,,False,False,False,0.5498,-0.0926,?,?,p0312,p0432
4,L20_F101109,20.0,α-attr,1.0,False,False,False,1.4741,-1.4099,?,?,p0023,p0148
4,L20_F111138,,,,False,False,False,1.4619,-1.3908,?,?,p0023,p0148
4,L20_F111313,,,,False,False,False,1.4746,-1.402,?,?,p0023,p0148
4,L20_F117855,,,,False,False,False,1.5014,-1.4317,?,?,p0023,p0148
4,L20_F24337,20.0,α-attr,1.0,False,False,False,1.4973,-1.4241,?,?,p0023,p0148
5,L12_F100195,,,,False,False,False,0.5386,0.3221,?,?,p0151,p0395
5,L12_F159359,12.0,α-attr,4.0,False,False,False,0.539,0.3244,?,?,p0151,p0395
5,L12_F50000,12.0,α-attr,3.0,False,False,False,0.5168,0.2827,?,?,p0151,p0395
5,L15_F131368,,,,False,False,False,0.5204,0.3701,?,?,p0151,p0221
5,L15_F142865,,,,False,False,False,0.5184,0.366,?,?,p0151,p0221
5,L15_F45839,15.0,α-attr,3.0,False,False,False,0.5599,0.3986,?,?,p0328,p0221
5,L15_F76750,,,,False,False,False,0.5242,0.3739,?,?,p0328,p0221
5,L16_F35329,,,,False,False,False,0.5842,0.0945,?,?,p0079,p0413
5,L17_F119141,,,,False,False,False,0.6691,0.3381,?,?,p0079,p0367
5,L18_F71234,18.0,β-attr,1.0,False,False,False,1.2896,1.2159,?,?,p0148,p0334
6,L19_F39488,19.0,β-attr,1.0,False,False,False,0.6409,-0.3079,?,?,p0017,p0246
6,L19_F41536,19.0,β-attr,1.0,False,False,False,0.6898,-0.474,?,?,p0443,p0246
6,L19_F54110,,,,False,False,False,0.6807,-0.4385,?,?,p0443,p0246
6,L19_F59757,,,,False,False,False,0.7096,-0.4959,?,?,p0443,p0246
7,L21_F122057,,,,False,False,False,0.8532,-0.549,?,?,p0401,p0305
7,L21_F144598,21.0,α-attr,2.0,False,False,False,0.7807,-0.4552,?,?,p0391,p0305
7,L21_F15419,,,,False,False,False,0.85,-0.5561,?,?,p0401,p0305
7,L21_F20252,21.0,α-attr,2.0,False,False,False,0.7634,-0.3788,?,?,p0391,p0413
7,L21_F27974,21.0,α-attr,1.0,False,False,False,0.8196,-0.5613,?,?,p0401,p0305
7,L21_F31790,21.0,α-attr,1.0,False,False,False,0.8535,-0.58,?,?,p0401,p0305
