cluster_id,top_n,metadata_field,metadata_value,observed_count,expected_count,lift,log_odds,pval_fisher
0,10,level,AUX,10,10.0,1.0,,1.0
0,10,correct_answer,photon,10,3.121,3.204,,0.0
0,20,level,AUX,20,20.0,1.0,,1.0
0,20,correct_answer,photon,17,6.242,2.723,2.6345,0.0
0,20,correct_answer,neutron,2,5.544,0.361,-1.2764,0.9882
0,20,correct_answer,electron,1,3.285,0.304,-1.3529,0.9745
0,30,level,AUX,30,30.0,1.0,,1.0
0,30,correct_answer,photon,26,9.363,2.777,2.8376,0.0
0,30,correct_answer,electron,2,4.928,0.406,-1.0582,0.9719
0,30,correct_answer,neutron,2,8.316,0.24,-1.7487,0.9994
1,10,level,AUX,10,10.0,1.0,,1.0
1,10,correct_answer,neutron,9,2.772,3.247,3.2217,0.0001
1,10,correct_answer,photon,1,3.121,0.32,-1.4276,0.9773
1,20,level,AUX,20,20.0,1.0,,1.0
1,20,correct_answer,neutron,15,5.544,2.706,2.1604,0.0
1,20,correct_answer,photon,4,6.242,0.641,-0.6183,0.9169
1,20,correct_answer,electron,1,3.285,0.304,-1.3529,0.9745
1,30,level,AUX,30,30.0,1.0,,1.0
1,30,correct_answer,neutron,23,8.316,2.766,2.3146,0.0
1,30,correct_answer,photon,6,9.363,0.641,-0.6301,0.947
1,30,correct_answer,electron,1,4.928,0.203,-1.8018,0.9962
2,10,level,AUX,10,10.0,1.0,,1.0
2,10,correct_answer,neutron,7,2.772,2.525,1.8503,0.0061
2,10,correct_answer,photon,2,3.121,0.641,-0.607,0.8713
2,10,correct_answer,electron,1,1.643,0.609,-0.5802,0.8368
2,20,level,AUX,20,20.0,1.0,,1.0
2,20,correct_answer,neutron,13,5.544,2.345,1.6586,0.0004
2,20,correct_answer,photon,4,6.242,0.641,-0.6183,0.9169
2,20,correct_answer,electron,3,3.285,0.913,-0.1123,0.6661
2,30,level,AUX,30,30.0,1.0,,1.0
2,30,correct_answer,neutron,17,8.316,2.044,1.3236,0.0005
2,30,correct_answer,photon,7,9.363,0.748,-0.4233,0.88
2,30,correct_answer,electron,6,4.928,1.218,0.2577,0.3683
3,10,level,AUX,10,10.0,1.0,,1.0
3,10,correct_answer,photon,7,3.121,2.243,1.6757,0.0126
3,10,correct_answer,neutron,3,2.772,1.082,0.1134,0.5557
3,20,level,AUX,20,20.0,1.0,,1.0
3,20,correct_answer,photon,11,6.242,1.762,1.0388,0.0209
3,20,correct_answer,neutron,9,5.544,1.623,0.7949,0.0699
3,30,level,AUX,30,30.0,1.0,,1.0
3,30,correct_answer,photon,16,9.363,1.709,0.9923,0.0078
3,30,correct_answer,neutron,14,8.316,1.683,0.8878,0.0174
4,10,level,AUX,10,10.0,1.0,,1.0
4,10,correct_answer,photon,6,3.121,1.922,1.224,0.055
4,10,correct_answer,neutron,4,2.772,1.443,0.5658,0.2894
4,20,level,AUX,20,20.0,1.0,,1.0
4,20,correct_answer,photon,11,6.242,1.762,1.0388,0.0209
4,20,correct_answer,neutron,7,5.544,1.263,0.3549,0.3039
4,20,correct_answer,proton,1,3.285,0.304,-1.3529,0.9745
4,20,correct_answer,electron,1,3.285,0.304,-1.3529,0.9745
4,30,level,AUX,30,30.0,1.0,,1.0
4,30,correct_answer,photon,15,9.363,1.602,0.8483,0.0208
4,30,correct_answer,neutron,13,8.316,1.563,0.7418,0.0428
4,30,correct_answer,proton,1,4.928,0.203,-1.8018,0.9962
4,30,correct_answer,electron,1,4.928,0.203,-1.8018,0.9962
5,10,level,AUX,10,10.0,1.0,,1.0
5,10,correct_answer,photon,8,3.121,2.563,2.2246,0.0019
5,10,correct_answer,neutron,2,2.772,0.721,-0.436,0.8147
5,20,level,AUX,20,20.0,1.0,,1.0
5,20,correct_answer,photon,14,6.242,2.243,1.7161,0.0003
5,20,correct_answer,neutron,6,5.544,1.082,0.1159,0.4947
5,30,level,AUX,30,30.0,1.0,,1.0
5,30,correct_answer,photon,21,9.363,2.243,1.759,0.0
5,30,correct_answer,neutron,9,8.316,1.082,0.1185,0.4582
6,10,level,AUX,10,10.0,1.0,,1.0
6,10,correct_answer,neutron,8,2.772,2.886,2.4,0.0008
6,10,correct_answer,photon,1,3.121,0.32,-1.4276,0.9773
6,10,correct_answer,electron,1,1.643,0.609,-0.5802,0.8368
6,20,level,AUX,20,20.0,1.0,,1.0
6,20,correct_answer,neutron,11,5.544,1.984,1.2181,0.0079
6,20,correct_answer,photon,5,6.242,0.801,-0.3207,0.8023
6,20,correct_answer,electron,2,3.285,0.609,-0.5904,0.8692
6,20,correct_answer,proton,2,3.285,0.609,-0.5904,0.8692
6,30,level,AUX,30,30.0,1.0,,1.0
6,30,correct_answer,neutron,13,8.316,1.563,0.7418,0.0428
6,30,correct_answer,photon,8,9.363,0.854,-0.2352,0.7725
6,30,correct_answer,electron,6,4.928,1.218,0.2577,0.3683
6,30,correct_answer,proton,3,4.928,0.609,-0.6009,0.8986
7,10,level,AUX,10,10.0,1.0,,1.0
7,10,correct_answer,photon,10,3.121,3.204,,0.0
7,20,level,AUX,20,20.0,1.0,,1.0
7,20,correct_answer,photon,16,6.242,2.563,2.2758,0.0
7,20,correct_answer,neutron,4,5.544,0.721,-0.4444,0.8526
7,30,level,AUX,30,30.0,1.0,,1.0
7,30,correct_answer,photon,23,9.363,2.456,2.1228,0.0
7,30,correct_answer,neutron,7,8.316,0.842,-0.2456,0.774
