feature_id,cluster,layer,semantic_label,enriched_particle,enrichment_lift,coimportance
L10_F116205,0,10,photon_enriched_early,photon,2.72,0.927
L10_F41460,0,10,photon_enriched_early,photon,2.72,0.927
L10_F56424,0,10,photon_enriched_early,photon,2.72,0.927
L10_F72085,0,10,photon_enriched_early,photon,2.72,0.927
L10_F9316,0,10,photon_enriched_early,photon,2.72,0.927
L11_F134274,1,11,neutron_enriched_mid,neutron,2.71,0.547
L11_F9723,1,11,neutron_enriched_mid,neutron,2.71,0.547
L22_F118125,1,22,neutron_enriched_mid,neutron,2.71,0.547
L22_F139040,1,22,neutron_enriched_mid,neutron,2.71,0.547
L22_F27223,1,22,neutron_enriched_mid,neutron,2.71,0.547
L22_F39641,1,22,neutron_enriched_mid,neutron,2.71,0.547
L22_F41906,1,22,neutron_enriched_mid,neutron,2.71,0.547
L22_F63642,1,22,neutron_enriched_mid,neutron,2.71,0.547
L24_F104198,2,24,neutron_enriched_late,neutron,2.35,0.927
L24_F143388,2,24,neutron_enriched_late,neutron,2.35,0.927
L24_F153576,2,24,neutron_enriched_late,neutron,2.35,0.927
L24_F163125,2,24,neutron_enriched_late,neutron,2.35,0.927
L24_F38741,2,24,neutron_enriched_late,neutron,2.35,0.927
L13_F132297,3,13,em+nuclear_mixed,mixed,0.0,0.384
L13_F13278,3,13,em+nuclear_mixed,mixed,0.0,0.384
L23_F118675,3,23,em+nuclear_mixed,mixed,0.0,0.384
L23_F1264,3,23,em+nuclear_mixed,mixed,0.0,0.384
L23_F157706,3,23,em+nuclear_mixed,mixed,0.0,0.384
L23_F29730,3,23,em+nuclear_mixed,mixed,0.0,0.384
L23_F71325,3,23,em+nuclear_mixed,mixed,0.0,0.384
L25_F149731,3,25,em+nuclear_mixed,mixed,0.0,0.384
L25_F15948,3,25,em+nuclear_mixed,mixed,0.0,0.384
L14_F18110,4,14,neutral+EM_mixed,mixed,0.0,0.677
L20_F101109,4,20,neutral+EM_mixed,mixed,0.0,0.677
L20_F111138,4,20,neutral+EM_mixed,mixed,0.0,0.677
L20_F111313,4,20,neutral+EM_mixed,mixed,0.0,0.677
L20_F117855,4,20,neutral+EM_mixed,mixed,0.0,0.677
L20_F24337,4,20,neutral+EM_mixed,mixed,0.0,0.677
L12_F100195,5,12,photon_enriched_mid,photon,2.24,0.252
L12_F159359,5,12,photon_enriched_mid,photon,2.24,0.252
L12_F50000,5,12,photon_enriched_mid,photon,2.24,0.252
L15_F131368,5,15,photon_enriched_mid,photon,2.24,0.252
L15_F142865,5,15,photon_enriched_mid,photon,2.24,0.252
L15_F45839,5,15,photon_enriched_mid,photon,2.24,0.252
L15_F76750,5,15,photon_enriched_mid,photon,2.24,0.252
L16_F35329,5,16,photon_enriched_mid,photon,2.24,0.252
L17_F119141,5,17,photon_enriched_mid,photon,2.24,0.252
L18_F71234,5,18,photon_enriched_mid,photon,2.24,0.252
L19_F39488,6,19,neutron_enriched_mid,neutron,1.98,0.487
L19_F41536,6,19,neutron_enriched_mid,neutron,1.98,0.487
L19_F54110,6,19,neutron_enriched_mid,neutron,1.98,0.487
L19_F59757,6,19,neutron_enriched_mid,neutron,1.98,0.487
L21_F122057,7,21,photon_enriched_mid,photon,2.56,0.636
L21_F144598,7,21,photon_enriched_mid,photon,2.56,0.636
L21_F15419,7,21,photon_enriched_mid,photon,2.56,0.636
L21_F20252,7,21,photon_enriched_mid,photon,2.56,0.636
L21_F27974,7,21,photon_enriched_mid,photon,2.56,0.636
L21_F31790,7,21,photon_enriched_mid,photon,2.56,0.636
