method,n_clusters,silhouette,runtime_s
hac_ward_abs_k2,2,0.21405290067195892,0.15
hac_ward_abs_k3,3,0.28437286615371704,0.15
hac_ward_abs_k4,4,0.3619418740272522,0.15
hac_ward_abs_k5,5,0.4315953254699707,0.15
hac_ward_abs_k6,6,0.5036126375198364,0.15
hac_complete_abs_k2,2,0.25957176089286804,0.01
hac_complete_abs_k3,3,0.29377543926239014,0.01
hac_complete_abs_k4,4,0.333362340927124,0.01
hac_complete_abs_k5,5,0.425963819026947,0.01
hac_complete_abs_k6,6,0.47845402359962463,0.01
hac_complete_signed_k2,2,0.2401546835899353,0.01
hac_complete_signed_k3,3,0.23198138177394867,0.01
hac_complete_signed_k4,4,0.19996660947799683,0.01
hac_complete_signed_k5,5,0.3010637164115906,0.01
hac_complete_signed_k6,6,0.38331013917922974,0.01
hac_average_abs_k2,2,0.24230067431926727,0.01
hac_average_abs_k3,3,0.29377543926239014,0.01
hac_average_abs_k4,4,0.3710492253303528,0.01
hac_average_abs_k5,5,0.4185047149658203,0.01
hac_average_abs_k6,6,0.47845402359962463,0.01
hac_average_signed_k2,2,0.2709832787513733,0.01
hac_average_signed_k3,3,0.2089850753545761,0.01
hac_average_signed_k4,4,0.19996660947799683,0.01
hac_average_signed_k5,5,0.29597288370132446,0.01
hac_average_signed_k6,6,0.26759353280067444,0.01
spectral_abs_k2,2,0.24248135089874268,0.91
spectral_abs_k3,3,0.2786761522293091,0.91
spectral_abs_k4,4,0.36117637157440186,0.91
spectral_abs_k5,5,0.44838395714759827,0.91
spectral_abs_k6,6,0.5219125747680664,0.91
spectral_signed_k2,2,0.26888251304626465,0.03
spectral_signed_k3,3,0.2803283929824829,0.03
spectral_signed_k4,4,0.307752788066864,0.03
spectral_signed_k5,5,0.41344091296195984,0.03
spectral_signed_k6,6,0.46283721923828125,0.03
kmeans_abs_k2,2,0.2733398973941803,0.21
kmeans_abs_k3,3,0.27898460626602173,0.21
kmeans_abs_k4,4,0.35635998845100403,0.21
kmeans_abs_k5,5,0.4177626073360443,0.21
kmeans_abs_k6,6,0.5068677067756653,0.21
kmeans_group_k2,1,,0.09
kmeans_group_k3,1,,0.09
kmeans_group_k4,1,,0.09
kmeans_group_k5,1,,0.09
kmeans_group_k6,1,,0.09
gmm_group_k2,1,,0.07
gmm_group_k3,1,,0.07
gmm_group_k4,1,,0.07
gmm_group_k5,1,,0.07
nmf_k2,2,0.7264694571495056,0.38
nmf_k3,3,0.8737183213233948,0.38
nmf_k4,4,0.8051794767379761,0.38
nmf_k5,5,0.774522602558136,0.38
nmf_k6,6,0.7320293188095093,0.38
louvain_abs_t30,3,0.2734517455101013,0.24
louvain_abs_t50,3,0.2734517455101013,0.24
bipartite_louvain,1,,0.01
coimp_louvain,8,0.5341612100601196,0.0
signed_laplacian_k2,2,0.23619195818901062,0.17
signed_laplacian_k3,3,0.23198138177394867,0.17
signed_laplacian_k4,4,0.15045475959777832,0.17
signed_laplacian_k5,5,0.16004088521003723,0.17
signed_laplacian_k6,6,0.26759353280067444,0.17
residual_kmeans_k2,2,0.6745500564575195,0.08
residual_kmeans_k3,3,0.69638991355896,0.08
residual_kmeans_k4,4,0.4516812860965729,0.08
residual_kmeans_k5,5,0.49655571579933167,0.08
residual_kmeans_k6,6,0.5482749342918396,0.08
