feature_id,correct_answer,n_prompts,n_nonzero,mean_effect,mean_abs_effect,max_abs_effect,sfr,n_flip,layer,community,grad_attr_sign,role_label
L10_F116205,electron,80,79,-0.56953125,0.774609375,4.078125,0.0,0,,,,
L10_F116205,neutron,135,133,-0.7833333333333333,1.0050925925925926,3.21875,0.007407407407407408,1,,,,
L10_F116205,photon,152,151,-1.6307565789473684,1.657483552631579,6.8125,0.039473684210526314,6,,,,
L10_F116205,proton,80,78,-0.536328125,0.723828125,2.21875,0.0125,1,,,,
L10_F41460,electron,80,77,-0.54921875,0.762890625,4.015625,0.0,0,,,,
L10_F41460,neutron,135,133,-0.7554398148148148,0.9975694444444444,3.40625,0.007407407407407408,1,,,,
L10_F41460,photon,152,152,-1.65625,1.678453947368421,6.875,0.046052631578947366,7,,,,
L10_F41460,proton,80,78,-0.5265625,0.7125,2.25,0.0125,1,,,,
L10_F56424,electron,80,79,-0.5310546875,0.7556640625,4.203125,0.0,0,,,,
L10_F56424,neutron,135,133,-0.7331018518518518,0.9793981481481482,3.4375,0.007407407407407408,1,,,,
L10_F56424,photon,152,152,-1.6402138157894737,1.6591282894736843,6.625,0.039473684210526314,6,,,,
L10_F56424,proton,80,79,-0.52421875,0.71015625,2.25,0.0125,1,,,,
L10_F72085,electron,80,77,-0.5580078125,0.7630859375,4.234375,0.0,0,,,,
L10_F72085,neutron,135,131,-0.7612268518518519,0.996875,3.4375,0.007407407407407408,1,,,,
L10_F72085,photon,152,152,-1.6840049342105263,1.7025082236842106,7.0,0.046052631578947366,7,,,,
L10_F72085,proton,80,78,-0.53828125,0.73125,2.375,0.0125,1,,,,
L10_F9316,electron,80,76,-0.5490234375,0.7658203125,4.328125,0.0,0,,,,
L10_F9316,neutron,135,134,-0.7662037037037037,0.9976851851851852,3.375,0.007407407407407408,1,,,,
L10_F9316,photon,152,152,-1.6849300986842106,1.709189967105263,6.71875,0.039473684210526314,6,,,,
L10_F9316,proton,80,79,-0.55390625,0.74375,2.53125,0.0125,1,,,,
L11_F134274,electron,80,79,0.0603515625,0.4611328125,1.59375,0.0,0,,,,
L11_F134274,neutron,135,133,0.2865740740740741,0.7333333333333333,3.21875,0.022222222222222223,3,,,,
L11_F134274,photon,152,151,-0.3441611842105263,0.727796052631579,3.34375,0.006578947368421052,1,,,,
L11_F134274,proton,80,79,0.0587890625,0.4267578125,1.5625,0.0,0,,,,
L11_F9723,electron,80,78,0.035546875,0.4453125,1.65625,0.0,0,,,,
L11_F9723,neutron,135,133,0.24641203703703704,0.7184027777777777,3.09375,0.022222222222222223,3,,,,
L11_F9723,photon,152,152,-0.36698190789473684,0.7263569078947368,3.5,0.006578947368421052,1,,,,
L11_F9723,proton,80,80,0.0404296875,0.4111328125,1.703125,0.0,0,,,,
L12_F100195,electron,80,77,0.4025390625,0.5173828125,1.6875,0.0,0,,,,
L12_F100195,neutron,135,131,0.30451388888888886,0.5193287037037037,2.96875,0.0,0,,,,
L12_F100195,photon,152,149,0.41303453947368424,0.6334292763157895,3.8125,0.0,0,,,,
L12_F100195,proton,80,80,0.0986328125,0.4119140625,1.34375,0.0,0,,,,
L12_F159359,electron,80,78,0.373828125,0.494921875,1.5625,0.0,0,12.0,4.0,1.0,α-attr
L12_F159359,neutron,135,128,0.32407407407407407,0.524537037037037,3.0625,0.0,0,12.0,4.0,1.0,α-attr
L12_F159359,photon,152,149,0.43379934210526316,0.6492598684210527,3.9375,0.0,0,12.0,4.0,1.0,α-attr
L12_F159359,proton,80,77,0.067578125,0.398046875,1.34375,0.0,0,12.0,4.0,1.0,α-attr
L12_F50000,electron,80,78,0.375,0.4890625,1.75,0.0,0,12.0,3.0,1.0,α-attr
L12_F50000,neutron,135,128,0.2674768518518518,0.4994212962962963,3.125,0.0,0,12.0,3.0,1.0,α-attr
L12_F50000,photon,152,152,0.3399465460526316,0.598375822368421,3.6875,0.0,0,12.0,3.0,1.0,α-attr
L12_F50000,proton,80,80,0.107421875,0.419140625,1.34375,0.0,0,12.0,3.0,1.0,α-attr
L13_F132297,electron,80,77,-0.1583984375,0.4189453125,1.75,0.0,0,,,,
L13_F132297,neutron,135,131,-0.7366898148148148,0.8885416666666667,4.84375,0.014814814814814815,2,,,,
L13_F132297,photon,152,148,-0.4935238486842105,0.7476356907894737,4.46875,0.006578947368421052,1,,,,
L13_F132297,proton,80,78,-0.19140625,0.5546875,3.0,0.0125,1,,,,
L13_F13278,electron,80,77,-0.18125,0.421875,1.8125,0.0,0,,,,
L13_F13278,neutron,135,132,-0.7193287037037037,0.8739583333333333,4.59375,0.007407407407407408,1,,,,
L13_F13278,photon,152,149,-0.47687088815789475,0.7281044407894737,4.25,0.006578947368421052,1,,,,
L13_F13278,proton,80,78,-0.2208984375,0.5462890625,3.03125,0.0125,1,,,,
L14_F18110,electron,80,74,0.0287109375,0.3529296875,1.28125,0.0,0,,,,
L14_F18110,neutron,135,132,0.13854166666666667,0.6385416666666667,3.3125,0.0,0,,,,
L14_F18110,photon,152,144,-0.15686677631578946,0.5548930921052632,3.9375,0.006578947368421052,1,,,,
L14_F18110,proton,80,79,-0.481640625,0.5875,3.40625,0.0,0,,,,
L15_F131368,electron,80,79,0.2625,0.391015625,1.609375,0.0,0,,,,
L15_F131368,neutron,135,125,0.321875,0.5001157407407407,3.046875,0.0,0,,,,
L15_F131368,photon,152,149,0.567639802631579,0.7090871710526315,3.3125,0.0,0,,,,
L15_F131368,proton,80,76,0.183984375,0.325390625,1.375,0.0,0,,,,
L15_F142865,electron,80,79,0.2556640625,0.3833984375,1.609375,0.0,0,,,,
L15_F142865,neutron,135,126,0.32256944444444446,0.502199074074074,3.171875,0.007407407407407408,1,,,,
L15_F142865,photon,152,150,0.563733552631579,0.7055921052631579,3.3125,0.0,0,,,,
L15_F142865,proton,80,75,0.1740234375,0.3251953125,1.4375,0.0,0,,,,
L15_F45839,electron,80,78,0.3330078125,0.4591796875,1.609375,0.0,0,15.0,3.0,1.0,α-attr
L15_F45839,neutron,135,129,0.42951388888888886,0.5630787037037037,3.703125,0.0,0,15.0,3.0,1.0,α-attr
L15_F45839,photon,152,147,0.550061677631579,0.7252261513157895,3.5,0.0,0,15.0,3.0,1.0,α-attr
L15_F45839,proton,80,77,0.1244140625,0.3412109375,1.4375,0.0,0,15.0,3.0,1.0,α-attr
L15_F76750,electron,80,78,0.262890625,0.3921875,1.609375,0.0,0,,,,
L15_F76750,neutron,135,130,0.3418981481481482,0.525,3.234375,0.007407407407407408,1,,,,
L15_F76750,photon,152,147,0.5643503289473685,0.7020970394736842,3.125,0.0,0,,,,
L15_F76750,proton,80,74,0.1771484375,0.3169921875,1.3125,0.0,0,,,,
L16_F35329,electron,80,79,0.082421875,0.472265625,1.3125,0.0,0,,,,
L16_F35329,neutron,135,132,-0.012847222222222222,0.5258101851851852,2.5625,0.007407407407407408,1,,,,
L16_F35329,photon,152,151,0.3573190789473684,0.7298519736842105,3.34375,0.0,0,,,,
L16_F35329,proton,80,79,-0.21171875,0.51796875,2.84375,0.0,0,,,,
L17_F119141,electron,80,75,0.3736328125,0.5173828125,1.5625,0.0,0,,,,
L17_F119141,neutron,135,131,0.2056712962962963,0.5267361111111111,4.84375,0.0,0,,,,
L17_F119141,photon,152,151,0.3711965460526316,0.9178659539473685,3.3125,0.006578947368421052,1,,,,
L17_F119141,proton,80,77,0.462890625,0.588671875,2.03125,0.0,0,,,,
L18_F71234,electron,80,78,0.9896484375,1.0521484375,3.1875,0.0,0,18.0,1.0,-1.0,β-attr
L18_F71234,neutron,135,132,0.9640046296296296,1.0524305555555555,4.78125,0.007407407407407408,1,18.0,1.0,-1.0,β-attr
L18_F71234,photon,152,152,1.8850740131578947,1.8858963815789473,5.8125,0.006578947368421052,1,18.0,1.0,-1.0,β-attr
L18_F71234,proton,80,80,0.595703125,0.794140625,3.5625,0.0,0,18.0,1.0,-1.0,β-attr
L19_F39488,electron,80,76,-0.5853515625,0.6697265625,1.875,0.0,0,19.0,1.0,-1.0,β-attr
L19_F39488,neutron,135,131,-0.45243055555555556,0.6542824074074074,3.546875,0.0,0,19.0,1.0,-1.0,β-attr
L19_F39488,photon,152,151,0.03978207236842105,0.6802014802631579,1.9375,0.0,0,19.0,1.0,-1.0,β-attr
L19_F39488,proton,80,79,-0.447265625,0.51484375,1.8125,0.0,0,19.0,1.0,-1.0,β-attr
L19_F41536,electron,80,79,-0.7353515625,0.7697265625,1.9375,0.0,0,19.0,1.0,-1.0,β-attr
L19_F41536,neutron,135,130,-0.5965277777777778,0.7439814814814815,3.6875,0.007407407407407408,1,19.0,1.0,-1.0,β-attr
L19_F41536,photon,152,148,-0.17722039473684212,0.6402138157894737,2.3125,0.0,0,19.0,1.0,-1.0,β-attr
L19_F41536,proton,80,79,-0.5697265625,0.6126953125,2.125,0.0,0,19.0,1.0,-1.0,β-attr
L19_F54110,electron,80,78,-0.7005859375,0.7552734375,2.15625,0.0,0,,,,
