feature_id,group_id,n_prompts,n_nonzero,mean_effect,mean_abs_effect,max_abs_effect,sfr,n_flip,layer,community,grad_attr_sign,role_label,level,latent_state_target,correct_answer,cue_label
L10_F116205,?,447,441,-0.9890240492170023,1.1353467561521253,6.8125,0.017897091722595078,8,,,,,AUX,,electron,
L10_F41460,?,447,440,-0.9838856263982103,1.1360808165548097,6.875,0.020134228187919462,9,,,,,AUX,,electron,
L10_F56424,?,447,443,-0.9680159395973155,1.1223084451901566,6.625,0.017897091722595078,8,,,,,AUX,,electron,
L10_F72085,?,447,438,-0.9987416107382551,1.1474412751677852,7.0,0.020134228187919462,9,,,,,AUX,,electron,
L10_F9316,?,447,441,-1.0017477628635347,1.1526845637583893,6.71875,0.017897091722595078,8,,,,,AUX,,electron,
L11_F134274,?,447,442,-0.0091582774049217,0.6278663310961968,3.34375,0.008948545861297539,4,,,,,AUX,,electron,
L11_F9723,?,447,443,-0.036772930648769575,0.6172399328859061,3.5,0.008948545861297539,4,,,,,AUX,,electron,
L12_F100195,?,447,437,0.32211269574944074,0.538555648769575,3.8125,0.0,0,,,,,AUX,,electron,
L12_F159359,?,447,432,0.3243847874720358,0.5390100671140939,3.9375,0.0,0,12.0,4.0,1.0,α-attr,AUX,,electron,
L12_F50000,?,447,438,0.2827181208053691,0.5168484340044742,3.6875,0.0,0,12.0,3.0,1.0,α-attr,AUX,,electron,
L13_F132297,?,447,434,-0.45291526845637586,0.6968330536912751,4.84375,0.008948545861297539,4,,,,,AUX,,electron,
L13_F13278,?,447,436,-0.4513772371364653,0.6848084451901566,4.59375,0.006711409395973154,3,,,,,AUX,,electron,
L14_F18110,?,447,429,-0.09256152125279642,0.549846196868009,3.9375,0.0022371364653243847,1,,,,,AUX,,electron,
L15_F131368,?,447,429,0.3701412192393736,0.5203789149888143,3.3125,0.0,0,,,,,AUX,,electron,
L15_F142865,?,447,430,0.3660164988814318,0.5184214205816555,3.3125,0.0022371364653243847,1,,,,,AUX,,electron,
L15_F45839,?,447,431,0.39862975391498884,0.5599133109619687,3.703125,0.0,0,15.0,3.0,1.0,α-attr,AUX,,electron,
L15_F76750,?,447,429,0.3739163870246085,0.5242239932885906,3.234375,0.0022371364653243847,1,,,,,AUX,,electron,
L16_F35329,?,447,441,0.09448406040268456,0.5842072147651006,3.34375,0.0022371364653243847,1,,,,,AUX,,electron,
L17_F119141,?,447,434,0.33805229306487694,0.6691484899328859,4.84375,0.0022371364653243847,1,,,,,AUX,,electron,
L18_F71234,?,447,442,1.215883668903803,1.2895693512304252,5.8125,0.0044742729306487695,2,18.0,1.0,-1.0,β-attr,AUX,,electron,
L19_F39488,?,447,437,-0.30792086129753915,0.6409046420581656,3.546875,0.0,0,19.0,1.0,-1.0,β-attr,AUX,,electron,
L19_F41536,?,447,436,-0.473993288590604,0.6898070469798657,3.6875,0.0022371364653243847,1,19.0,1.0,-1.0,β-attr,AUX,,electron,
L19_F54110,?,447,437,-0.4385486577181208,0.6807186800894854,3.8125,0.0022371364653243847,1,,,,,AUX,,electron,
L19_F59757,?,447,438,-0.49591023489932884,0.7095567673378076,3.921875,0.0022371364653243847,1,,,,,AUX,,electron,
L20_F101109,?,447,445,-1.4099203020134228,1.474098154362416,5.875,0.02237136465324385,10,20.0,1.0,1.0,α-attr,AUX,,electron,
L20_F111138,?,447,446,-1.3907997762863535,1.4618987695749441,6.0625,0.020134228187919462,9,,,,,AUX,,electron,
L20_F111313,?,447,447,-1.4019505033557047,1.4745875279642058,6.125,0.02237136465324385,10,,,,,AUX,,electron,
L20_F117855,?,447,446,-1.4316624720357942,1.5014331655480984,6.3125,0.020134228187919462,9,,,,,AUX,,electron,
L20_F24337,?,447,444,-1.4241470917225951,1.4973434004474273,6.125,0.020134228187919462,9,20.0,1.0,1.0,α-attr,AUX,,electron,
L21_F122057,?,447,440,-0.549042225950783,0.853222874720358,4.5625,0.011185682326621925,5,,,,,AUX,,electron,
L21_F144598,?,447,438,-0.4552223154362416,0.7806557606263982,3.90625,0.006711409395973154,3,21.0,2.0,1.0,α-attr,AUX,,electron,
L21_F15419,?,447,438,-0.5560682326621924,0.8500419463087249,4.5625,0.011185682326621925,5,,,,,AUX,,electron,
L21_F20252,?,447,435,-0.37884507829977626,0.7633529082774049,4.0,0.008948545861297539,4,21.0,2.0,1.0,α-attr,AUX,,electron,
L21_F27974,?,447,440,-0.5613464765100671,0.8195959172259508,4.46875,0.011185682326621925,5,21.0,1.0,1.0,α-attr,AUX,,electron,
L21_F31790,?,447,436,-0.5799776286353467,0.8534675615212528,4.4375,0.011185682326621925,5,21.0,1.0,1.0,α-attr,AUX,,electron,
L22_F118125,?,447,445,-2.1110178970917226,2.1306627516778525,6.5,0.013422818791946308,6,,,,,AUX,,electron,
L22_F139040,?,447,447,-2.120770413870246,2.1419532997762865,6.59375,0.015659955257270694,7,,,,,AUX,,electron,
L22_F27223,?,447,445,-2.0752586689038033,2.095322986577181,6.53125,0.011185682326621925,5,,,,,AUX,,electron,
L22_F39641,?,447,445,-2.126398210290828,2.1452041387024607,6.78125,0.013422818791946308,6,22.0,2.0,1.0,α-attr,AUX,,electron,
L22_F41906,?,447,445,-2.036528243847875,2.055893456375839,6.4375,0.011185682326621925,5,,,,,AUX,,electron,
L22_F63642,?,447,444,-2.1249650447427295,2.145448825503356,6.59375,0.013422818791946308,6,,,,,AUX,,electron,
L23_F118675,?,447,444,-0.7668134787472036,0.9663380872483222,4.0625,0.017897091722595078,8,,,,,AUX,,electron,
L23_F1264,?,447,443,-0.7885906040268457,0.9767897091722595,4.1875,0.017897091722595078,8,,,,,AUX,,electron,
L23_F157706,?,447,441,-0.7618148769574944,0.9628775167785235,4.0625,0.017897091722595078,8,,,,,AUX,,electron,
L23_F29730,?,447,440,-0.8176733780760627,0.993498322147651,4.0625,0.017897091722595078,8,23.0,2.0,1.0,α-attr,AUX,,electron,
L23_F71325,?,447,440,-0.7697497203579419,0.9458543064876958,4.1875,0.017897091722595078,8,,,,,AUX,,electron,
L24_F104198,?,447,444,-1.5730564876957494,1.6056347874720358,7.9375,0.015659955257270694,7,,,,,AUX,,electron,
L24_F143388,?,447,445,-1.5950433445190157,1.6246154921700224,7.9375,0.015659955257270694,7,,,,,AUX,,electron,
L24_F153576,?,447,444,-1.6502376957494407,1.6753355704697988,7.875,0.017897091722595078,8,24.0,2.0,1.0,α-attr,AUX,,electron,
L24_F163125,?,447,447,-1.5550545302013423,1.5884717561521253,7.9375,0.017897091722595078,8,,,,,AUX,,electron,
L24_F38741,?,447,444,-1.4363115212527964,1.4714065995525727,7.5625,0.013422818791946308,6,,,,,AUX,,electron,
L25_F149731,?,447,446,-1.574944071588367,1.5933305369127517,5.25,0.020134228187919462,9,,,,,AUX,,electron,
L25_F15948,?,447,446,-1.5804670022371365,1.5985738255033557,5.25,0.020134228187919462,9,25.0,0.0,1.0,α-attr,AUX,,electron,
