feature_id,layer,feature_idx,community,grad_attr_sign,frequency_pdt,mean_activation_pdt,mean_grad_attr_pdt,mean_abs_grad_attr_pdt,n_prompts_pdt,position_role,causal_status,is_circuit_feature,is_global_alpha_discrim,is_global_beta_discrim,role_label
L10_F80002,10,80002,4,1,0.1333,2.0918,0.0847,0.3554,16,decision,output_attributed,False,False,True,β-discrim
L10_F95105,10,95105,4,1,0.7417,8.1763,1.1676,1.2227,89,decision,output_attributed,False,False,False,α-attr
L10_F102932,10,102932,4,-1,0.1333,1.687,-0.1471,0.2105,16,decision,output_attributed,False,False,False,β-attr
L10_F125625,10,125625,4,1,0.7667,5.9584,0.8091,0.8148,92,decision,output_attributed,False,False,False,α-attr
L10_F156945,10,156945,4,-1,0.1,2.3385,-0.0683,0.1466,12,decision,output_attributed,False,False,False,β-attr
L11_F57032,11,57032,4,1,0.3,3.1875,0.1449,0.6092,36,decision,output_attributed,False,False,False,α-attr
L11_F72881,11,72881,4,1,0.5417,3.9656,0.6797,0.7363,65,decision,output_attributed,False,False,False,α-attr
L11_F106861,11,106861,4,1,0.1167,2.2249,0.1177,0.1635,14,decision,output_attributed,False,False,False,α-attr
L11_F129989,11,129989,4,1,0.2667,3.4321,0.5956,0.7241,32,decision,output_attributed,False,False,False,α-attr
L11_F148703,11,148703,4,1,0.425,4.5031,0.6176,0.9527,51,decision,output_attributed,False,False,False,α-attr
L12_F50000,12,50000,3,1,0.3833,3.5778,0.6485,0.7007,46,decision,output_attributed,False,False,False,α-attr
L12_F58176,12,58176,4,-1,0.2667,1.8481,-0.1642,0.1706,32,decision,output_attributed,False,False,False,β-attr
L12_F82890,12,82890,4,1,0.175,2.3709,0.2591,0.2591,21,decision,output_attributed,False,False,False,α-attr
L12_F137865,12,137865,3,1,0.8083,3.9544,0.1,0.6699,97,decision,output_attributed,False,False,False,α-attr
L12_F159359,12,159359,4,1,0.2417,2.8001,0.1385,0.2337,29,decision,output_attributed,False,False,False,α-attr
L13_F13612,13,13612,3,-1,0.1083,1.881,-0.233,0.233,13,decision,output_attributed,False,False,False,β-attr
L13_F39201,13,39201,3,1,0.175,1.6953,0.3113,0.3113,21,decision,output_attributed,False,False,False,α-attr
L13_F74463,13,74463,3,1,0.675,6.7681,0.8721,1.0228,81,decision,output_attributed,False,False,False,α-attr
L13_F81234,13,81234,3,1,0.1333,2.4072,0.1567,0.3621,16,decision,output_attributed,False,False,False,α-attr
L13_F90384,13,90384,3,1,0.1917,2.4107,0.3103,0.3497,23,decision,output_attributed,False,False,False,α-attr
L14_F10018,14,10018,3,-1,0.125,1.863,-0.2428,0.2428,15,decision,output_attributed,False,False,False,β-attr
L14_F111640,14,111640,3,1,0.125,2.8406,0.2143,0.5005,15,decision,output_attributed,False,False,False,α-attr
L14_F112368,14,112368,3,1,0.2083,1.6778,0.1493,0.2117,25,decision,output_attributed,False,False,False,α-attr
L14_F151002,14,151002,3,1,0.275,2.4678,0.1519,0.2604,33,decision,output_attributed,False,False,False,α-attr
L14_F153097,14,153097,3,1,0.6,4.8453,0.6181,0.8544,72,decision,output_attributed,False,False,False,α-attr
L15_F45839,15,45839,3,1,0.475,4.3566,0.7708,0.9186,57,decision,output_attributed,False,False,False,α-attr
L15_F83487,15,83487,3,1,0.3,1.9448,0.1954,0.2156,36,decision,output_attributed,False,False,False,α-attr
L15_F127839,15,127839,3,-1,0.1167,3.7567,-0.2244,0.237,14,decision,output_attributed,False,False,False,β-attr
L15_F130314,15,130314,3,1,0.7333,3.7516,0.0986,0.6849,88,decision,output_attributed,False,False,False,α-attr
L15_F150216,15,150216,3,1,0.425,3.1844,0.1084,0.2737,51,decision,output_attributed,False,False,False,α-attr
L16_F126692,16,126692,3,1,0.6917,4.8236,0.7979,0.869,83,decision,output_attributed,False,False,False,α-attr
L16_F136591,16,136591,3,-1,0.4333,1.8182,-0.1904,0.1972,52,decision,output_attributed,False,False,False,β-attr
L17_F39571,17,39571,1,1,0.5833,3.506,0.1423,0.6363,70,decision,output_attributed,False,False,False,α-attr
L17_F39948,17,39948,1,1,0.3667,1.6137,0.3116,0.3116,44,decision,output_attributed,False,False,False,α-attr
L17_F90031,17,90031,1,-1,0.4917,2.4636,-0.1859,0.1943,59,decision,output_attributed,False,False,False,β-attr
L17_F111317,17,111317,1,1,0.4917,6.7651,1.0829,1.1261,59,decision,output_attributed,False,False,False,α-attr
L17_F149790,17,149790,3,-1,0.1833,2.3132,-0.2551,0.2689,22,decision,output_attributed,False,False,False,β-attr
L18_F48134,18,48134,1,1,0.1083,3.0433,0.8407,0.9321,13,decision,output_attributed,False,False,False,α-attr
L18_F71234,18,71234,1,-1,0.4833,2.3121,-0.2342,0.2419,58,decision,output_attributed,False,False,False,β-attr
L18_F71688,18,71688,1,1,0.2417,2.4811,0.1863,0.1914,29,decision,output_attributed,False,False,False,α-attr
L18_F81387,18,81387,1,1,0.6333,6.6295,0.7041,1.0327,76,decision,output_attributed,False,False,False,α-attr
L18_F160254,18,160254,1,-1,0.7167,3.034,-0.1344,0.4827,86,decision,output_attributed,False,False,False,β-attr
L19_F25077,19,25077,1,1,0.2667,4.2266,1.1794,1.2764,32,decision,output_attributed,False,False,False,α-attr
L19_F39488,19,39488,1,-1,0.7667,2.949,-0.1819,0.5291,92,decision,output_attributed,False,False,False,β-attr
L19_F41536,19,41536,1,-1,0.6917,3.9968,-0.009,0.6418,83,decision,output_attributed,False,False,False,β-attr
L19_F81443,19,81443,1,1,0.7667,5.3716,0.8039,0.8181,92,decision,output_attributed,False,False,False,α-attr
L19_F126231,19,126231,1,1,0.4583,3.5491,0.1567,0.5506,55,decision,output_attributed,False,False,False,α-attr
L20_F24337,20,24337,1,1,0.4833,2.1967,0.2412,0.254,58,decision,output_attributed,False,False,False,α-attr
L20_F71598,20,71598,1,1,0.45,4.0198,0.85,0.8715,54,decision,output_attributed,False,False,False,α-attr
L20_F73876,20,73876,2,1,0.25,3.8141,0.8662,1.1339,30,decision,output_attributed,False,False,False,α-attr
L20_F92769,20,92769,1,1,0.2833,3.881,0.7983,0.9302,34,decision,output_attributed,False,False,False,α-attr
L20_F101109,20,101109,1,1,0.2167,4.7019,0.7107,0.8821,26,decision,output_attributed,False,False,False,α-attr
L21_F20252,21,20252,2,1,0.4667,3.3643,0.2944,0.7011,56,decision,output_attributed,False,False,False,α-attr
L21_F27974,21,27974,1,1,0.3667,4.2955,0.492,0.9659,44,decision,output_attributed,False,False,False,α-attr
L21_F31790,21,31790,1,1,0.7083,4.4361,0.1567,0.677,85,decision,output_attributed,False,False,False,α-attr
L21_F128320,21,128320,2,1,0.5083,4.4155,0.5344,0.8147,61,decision,output_attributed,False,False,False,α-attr
L21_F144598,21,144598,2,1,0.3667,3.4858,0.6364,0.6797,44,decision,output_attributed,False,False,False,α-attr
L22_F39641,22,39641,2,1,0.3417,4.3018,0.9841,1.0264,41,decision,output_attributed,False,False,False,α-attr
L22_F54937,22,54937,2,1,0.7167,7.3983,1.0491,1.0754,86,decision,output_attributed,False,False,False,α-attr
L22_F55719,22,55719,2,1,0.4167,5.3209,0.5207,0.7766,50,decision,output_attributed,False,False,False,α-attr
L22_F64974,22,64974,2,1,0.725,6.9986,0.4842,1.0687,87,decision,output_attributed,False,False,False,α-attr
L22_F82926,22,82926,2,1,0.1083,3.1166,0.3298,0.3966,13,decision,output_attributed,False,False,False,α-attr
L23_F29730,23,29730,2,1,0.2667,3.4761,0.6738,0.6738,32,decision,output_attributed,False,False,False,α-attr
L23_F78397,23,78397,2,1,0.1,3.8978,0.4705,0.5486,12,decision,output_attributed,False,False,False,α-attr
L23_F87005,23,87005,2,1,0.5333,6.3525,0.7675,1.0509,64,decision,output_attributed,False,False,False,α-attr
L23_F123638,23,123638,2,1,0.625,4.1689,0.2626,0.7143,75,decision,output_attributed,False,False,False,α-attr
L23_F149859,23,149859,2,1,0.3917,5.4834,0.9772,1.2601,47,decision,output_attributed,False,False,False,α-attr
L24_F22672,24,22672,0,1,0.375,5.7222,1.1695,1.3615,45,decision,output_attributed,False,False,False,α-attr
L24_F27452,24,27452,2,1,0.6917,8.9895,0.5751,1.0749,83,decision,output_attributed,False,False,False,α-attr
L24_F30233,24,30233,0,1,0.6167,11.2914,1.1022,1.5823,74,decision,output_attributed,False,False,False,α-attr
L24_F84940,24,84940,0,1,0.4083,9.6671,1.4236,1.7026,49,decision,output_attributed,False,False,False,α-attr
L24_F153576,24,153576,2,1,0.175,5.7225,1.0096,1.0821,21,decision,output_attributed,False,False,False,α-attr
L25_F15948,25,15948,0,1,0.1083,5.2764,2.3618,2.4771,13,decision,output_attributed,False,False,False,α-attr
L25_F24679,25,24679,0,1,0.1833,7.8033,1.8104,1.8973,22,decision,output_attributed,False,False,False,α-attr
L25_F71226,25,71226,0,1,0.1417,5.9954,2.5885,2.7206,17,decision,output_attributed,True,False,False,α-circuit
L25_F118436,25,118436,0,1,0.3417,10.4848,2.5163,2.627,41,decision,output_attributed,False,False,False,α-attr
L25_F162883,25,162883,0,1,0.1,5.6927,1.2861,1.4795,12,decision,output_attributed,False,False,False,α-attr
