prompt_idx,feature_id,layer,effect_size,abs_effect_size,sign_flipped,baseline_logit_diff,intervened_logit_diff,relative_effect,community,grad_attr_sign,frequency_pdt,mean_activation_pdt,mean_abs_grad_attr_pdt,position_role,is_circuit_feature,is_global_alpha_discrim,is_global_beta_discrim,role_label,prompt_id,prompt_short,level,level_label,group_id,cue_label,cue_type,relation_type,concept_route,latent_state_target,correct_answer,difficulty,inference_steps,wording_variant,semantic_equiv_group,contrastive_pair_id,contrastive_role,is_anchor,is_kw_variant,is_auxiliary,keyword_free,has_alpha_keyword,has_beta_keyword,is_uniquely_determining,baseline_sign_diff,sign_correct,hard_correct
0,L10_F116205,10,-0.0625,0.0625,False,8.375,8.3125,0.0074626865582535,,,,,,,,,,,p0000,"When ultraviolet light hits a zinc plate, negatively charged particles are eject",AUX,auxiliary,?,,,,,,electron,,,,,,,False,False,False,True,False,False,True,7.8019633293151855,True,True
1,L10_F116205,10,0.28125,0.28125,False,4.78125,5.0625,0.0588235292887351,,,,,,,,,,,p0001,"When an atom absorbs a photon, one of its negatively charged particles jumps to ",AUX,auxiliary,?,,,,,,electron,,,,,,,False,False,False,True,False,False,True,4.041893005371094,True,True
2,L10_F116205,10,0.4375,0.4375,False,12.0625,12.5,0.0362694300217455,,,,,,,,,,,p0002,"Unlike the proton (which adds both charge and mass to the nucleus), which neutra",AUX,auxiliary,?,,,,,,neutron,,,,,,,False,False,False,True,False,False,True,11.708845376968384,True,True
3,L10_F116205,10,-1.0,1.0,False,10.0,9.0,0.0999999999,,,,,,,,,,,p0003,"In a fission reactor, the chain reaction is initiated by absorption of a slow ne",AUX,auxiliary,?,,,,,,neutron,,,,,,,False,False,False,True,False,False,True,8.420708656311035,True,True
4,L10_F116205,10,-0.09375,0.09375,False,7.65625,7.5625,0.0122448979431903,,,,,,,,,,,p0004,The r-process in neutron star mergers rapidly adds many neutral particles to nuc,AUX,auxiliary,?,,,,,,neutron,,,,,,,False,False,False,True,False,False,True,6.5668816566467285,True,True
5,L10_F116205,10,-1.15625,1.15625,False,3.65625,2.5,0.3162393153743882,,,,,,,,,,,p0005,"In cavity quantum electrodynamics, a single discrete electromagnetic energy pack",AUX,auxiliary,?,,,,,,photon,,,,,,,False,False,False,True,False,False,True,2.307967185974121,True,True
6,L10_F116205,10,-2.3125,2.3125,False,11.0,8.6875,0.210227272536157,,,,,,,,,,,p0006,"Which neutral particle, together with protons, forms the atomic nucleus? Answer:",AUX,auxiliary,?,,,,,,neutron,,,,,,,False,False,False,True,False,False,True,7.7687671184539795,True,True
7,L10_F116205,10,-1.65625,1.65625,False,5.90625,4.25,0.2804232799484897,,,,,,,,,,,p0007,Which particle determines the chemical properties of an atom through its negativ,AUX,auxiliary,?,,,,,,electron,,,,,,,False,False,False,True,False,False,True,5.819553852081299,True,True
8,L10_F116205,10,0.5625,0.5625,False,5.96875,6.53125,0.0942408375384446,,,,,,,,,,,p0008,Synchrotrons accelerate beams of positively charged nuclear particles to nearly ,AUX,auxiliary,?,,,,,,proton,,,,,,,False,False,False,True,False,False,True,4.426313877105713,True,True
9,L10_F116205,10,0.125,0.125,False,3.375,3.5,0.0370370369272976,,,,,,,,,,,p0009,"During electron capture, a nucleus absorbs an orbital electron and one of its po",AUX,auxiliary,?,,,,,,proton,,,,,,,False,False,False,True,False,False,True,2.4067630767822266,True,True
10,L10_F116205,10,-1.28125,1.28125,False,6.09375,4.8125,0.2102564099113741,,,,,,,,,,,p0010,"Unlike the neutron (charge 0) and electron (charge −1), which nuclear particle h",AUX,auxiliary,?,,,,,,proton,,,,,,,False,False,False,True,False,False,True,5.179610252380371,True,True
11,L10_F116205,10,-1.96875,1.96875,False,6.75,4.78125,0.2916666662345679,,,,,,,,,,,p0011,"During fluorescence emission, an excited molecule emits a massless electromagnet",AUX,auxiliary,?,,,,,,photon,,,,,,,False,False,False,True,False,False,True,4.797211170196533,True,True
12,L10_F116205,10,-1.25,1.25,False,7.40625,6.15625,0.1687763710801331,,,,,,,,,,,p0012,The mass number of a nucleus equals the total count of its protons plus its neut,AUX,auxiliary,?,,,,,,neutron,,,,,,,False,False,False,True,False,False,True,7.734220504760742,True,True
13,L10_F116205,10,-0.4375,0.4375,False,9.25,8.8125,0.047297297246165,,,,,,,,,,,p0013,Moderated reactors use water or graphite to slow down neutral particles emitted ,AUX,auxiliary,?,,,,,,neutron,,,,,,,False,False,False,True,False,False,True,8.11462116241455,True,True
14,L10_F116205,10,-2.0625,2.0625,False,10.375,8.3125,0.1987951805312817,,,,,,,,,,,p0014,Which electrically neutral nuclear particle prevents the nucleus from disintegra,AUX,auxiliary,?,,,,,,neutron,,,,,,,False,False,False,True,False,False,True,7.9751012325286865,True,True
15,L10_F116205,10,-2.0,2.0,False,4.75,2.75,0.4210526306925208,,,,,,,,,,,p0015,Which particle in the nucleus carries zero electric charge? Answer:,AUX,auxiliary,?,,,,,,neutron,,,,,,,False,False,False,True,False,False,True,5.128715991973877,True,True
16,L10_F116205,10,-3.625,3.625,False,3.75,0.125,0.9666666640888888,,,,,,,,,,,p0016,"Which massless, chargeless particle is emitted or absorbed during atomic energy ",AUX,auxiliary,?,,,,,,photon,,,,,,,False,False,False,True,False,False,True,1.5003962516784668,True,True
17,L10_F116205,10,-2.125,2.125,True,2.0,-0.125,1.0624999946875,,,,,,,,,,,p0017,"During nuclear de-excitation, the nucleus releases energy as a very high-energy ",AUX,auxiliary,?,,,,,,photon,,,,,,,False,False,False,True,False,False,True,0.7735161781311035,True,True
18,L10_F116205,10,1.0,1.0,False,8.5625,9.5625,0.116788321031488,,,,,,,,,,,p0018,Which uncharged nuclear constituent mediates the strong force to hold protons to,AUX,auxiliary,?,,,,,,neutron,,,,,,,False,False,False,True,False,False,True,5.65110445022583,True,True
19,L10_F116205,10,-0.25,0.25,False,3.96875,3.71875,0.0629921258255316,,,,,,,,,,,p0019,"While electrons orbit outside the nucleus, which positively charged particle is ",AUX,auxiliary,?,,,,,,proton,,,,,,,False,False,False,True,False,False,True,1.5927066802978516,True,True
20,L10_F116205,10,-1.46875,1.46875,False,6.0,4.53125,0.2447916662586805,,,,,,,,,,,p0020,Unlike the gluon (which is also massless but mediates the strong force and is co,AUX,auxiliary,?,,,,,,photon,,,,,,,False,False,False,True,False,False,True,6.829303026199341,True,True
21,L10_F116205,10,-0.5625,0.5625,False,9.75,9.1875,0.057692307633136,,,,,,,,,,,p0021,"In photoemission spectroscopy, light ejects negatively charged particles from a ",AUX,auxiliary,?,,,,,,electron,,,,,,,False,False,False,True,False,False,True,9.936484813690186,True,True
22,L10_F116205,10,-1.125,1.125,False,3.0,1.875,0.37499999875,,,,,,,,,,,p0022,"Unlike the pion (a meson that mediates residual nuclear force), which stable pos",AUX,auxiliary,?,,,,,,proton,,,,,,,False,False,False,True,False,False,True,3.5762619972229004,True,True
23,L10_F116205,10,0.515625,0.515625,False,-1.890625,-1.375,0.2727272712847483,,,,,,,,,,,p0023,"Which particle, found in every nucleus, balances the negative charge of orbiting",AUX,auxiliary,?,,,,,,proton,,,,,,,False,False,False,True,False,False,True,-0.6240963935852051,False,False
24,L10_F116205,10,-0.5,0.5,False,6.1875,5.6875,0.0808080806774819,,,,,,,,,,,p0024,Chemical bonds between atoms form when tiny negatively charged particles are sha,AUX,auxiliary,?,,,,,,electron,,,,,,,False,False,False,True,False,False,True,6.116416931152344,True,True
25,L10_F116205,10,-4.59375,4.59375,False,5.03125,0.4375,0.9130434764461248,,,,,,,,,,,p0025,"Unlike the proton (a massive charged particle), which massless uncharged particl",AUX,auxiliary,?,,,,,,photon,,,,,,,False,False,False,True,False,False,True,5.440845966339111,True,True
26,L10_F116205,10,-0.40625,0.40625,False,6.0,5.59375,0.0677083332204861,,,,,,,,,,,p0026,"Unlike alpha particles (charge +2), which single positively charged nuclear part",AUX,auxiliary,?,,,,,,proton,,,,,,,False,False,False,True,False,False,True,3.996039390563965,True,True
27,L10_F116205,10,-1.875,1.875,False,4.8125,2.9375,0.3896103888008095,,,,,,,,,,,p0027,"Unlike the massless photon, which massive, positively charged nuclear particle i",AUX,auxiliary,?,,,,,,proton,,,,,,,False,False,False,True,False,False,True,1.4765748977661133,True,True
