prompt_idx,correct_answer,filter_property,wording_family,cluster_k4,cluster_k8,pca_x,pca_y
0,electron,negative_charge_atomic,F3_process_implicit,0,4,0.070465766,-0.0715796
1,electron,negative_charge_atomic,F3_process_implicit,0,1,0.016675275,-0.17090334
2,neutron,nuclear_stability_provider,F4_contrast_implicit,1,6,0.10523599,0.045113962
3,neutron,neutral_charge_atomic,F2_contextual_implicit,1,7,0.030528966,-0.012262629
4,neutron,nuclear_stability_provider,F3_process_implicit,2,2,-0.34484652,0.00814784
5,photon,em_quantum,F2_contextual_implicit,2,2,-0.38615862,-0.049117748
6,neutron,neutral_charge_atomic,F1_direct_implicit,1,3,0.22075969,0.03778282
7,electron,negative_charge_atomic,F1_direct_implicit,0,1,-0.006816937,-0.099089265
8,proton,positive_charge_atomic,F2_contextual_implicit,2,7,-0.11962548,-0.07966369
9,proton,positive_charge_atomic,F3_process_implicit,0,4,0.08402283,-0.10836048
10,proton,positive_charge_atomic,F4_contrast_implicit,1,6,0.19202122,-0.057989012
11,photon,massless_em_mediator,F3_process_implicit,0,1,-0.09838318,-0.08256795
12,neutron,neutral_charge_atomic,F2_contextual_implicit,0,4,0.10675571,-0.07175794
13,neutron,neutral_charge_atomic,F2_contextual_implicit,2,2,-0.13436261,-0.08391117
14,neutron,nuclear_stability_provider,F1_direct_implicit,1,3,0.18652871,0.061466645
15,neutron,neutral_charge_atomic,F1_direct_implicit,1,3,0.15692389,0.030808562
16,photon,em_quantum,F1_direct_implicit,1,3,0.062415954,0.12831286
17,photon,em_quantum,F3_process_implicit,0,4,0.09572412,-0.06337456
18,neutron,nuclear_stability_provider,F1_direct_implicit,1,3,0.16971356,0.119952
19,proton,positive_charge_atomic,F4_contrast_implicit,1,6,0.13197298,-0.042528655
20,photon,massless_em_mediator,F4_contrast_implicit,3,5,-0.12856197,0.26393232
21,electron,negative_charge_atomic,F2_contextual_implicit,1,7,0.017876267,-0.022358743
22,proton,positive_charge_atomic,F4_contrast_implicit,1,3,0.087134466,0.07415901
23,proton,positive_charge_atomic,F1_direct_implicit,1,3,0.19740643,0.01163818
24,electron,negative_charge_atomic,F2_contextual_implicit,0,1,-0.0014929394,-0.11013585
25,photon,em_quantum,F4_contrast_implicit,3,5,0.04932581,0.19110626
26,proton,positive_charge_atomic,F4_contrast_implicit,1,6,0.1996196,0.0068698204
27,proton,positive_charge_atomic,F4_contrast_implicit,1,6,0.19260296,0.02964588
28,photon,massless_em_mediator,F2_contextual_implicit,2,0,-0.34038186,0.31753108
29,electron,negative_charge_atomic,F4_contrast_implicit,1,6,0.19762906,0.076332934
30,proton,positive_charge_atomic,F2_contextual_implicit,0,6,0.112351425,-0.059495382
31,electron,negative_charge_atomic,F1_direct_implicit,1,3,0.14209874,0.046389922
32,electron,negative_charge_atomic,F1_direct_implicit,1,3,0.18922757,-0.01578373
33,proton,positive_charge_atomic,F1_direct_implicit,1,3,0.19688828,0.021165047
34,photon,massless_em_mediator,F2_contextual_implicit,2,0,-0.2960001,0.111793466
35,photon,em_quantum,F3_process_implicit,0,1,0.049067985,-0.043878034
36,neutron,nuclear_stability_provider,F1_direct_implicit,1,3,0.03267302,0.06872228
37,neutron,neutral_charge_atomic,F3_process_implicit,2,7,-0.07776701,-0.03812279
38,neutron,nuclear_stability_provider,F3_process_implicit,2,7,-0.14087227,0.004888172
39,proton,positive_charge_atomic,F4_contrast_implicit,1,6,0.16877685,-0.045787837
40,proton,positive_charge_atomic,F4_contrast_implicit,1,6,0.1286543,-0.03235322
41,electron,negative_charge_atomic,F1_direct_implicit,1,3,0.1964635,0.042521812
42,electron,negative_charge_atomic,F3_process_implicit,0,7,-0.08479055,-0.0735319
43,photon,em_quantum,F3_process_implicit,2,2,-0.31221846,-0.12375494
44,neutron,neutral_charge_atomic,F3_process_implicit,2,7,-0.10892926,-0.061713487
45,neutron,nuclear_stability_provider,F3_process_implicit,0,4,0.101646684,-0.06633026
46,neutron,neutral_charge_atomic,F1_direct_implicit,1,3,0.20410146,0.076359645
47,photon,massless_em_mediator,F4_contrast_implicit,3,5,0.07678579,0.16494817
48,electron,negative_charge_atomic,F4_contrast_implicit,1,6,0.13173589,0.11211632
49,photon,em_quantum,F1_direct_implicit,0,1,0.13128553,-0.059149828
50,neutron,nuclear_stability_provider,F4_contrast_implicit,0,1,0.047785364,-0.1474444
51,proton,positive_charge_atomic,F2_contextual_implicit,0,1,0.10195698,-0.057968106
52,neutron,nuclear_stability_provider,F3_process_implicit,1,3,0.09719162,0.10418024
53,photon,massless_em_mediator,F1_direct_implicit,3,5,0.050374422,0.2650859
54,electron,negative_charge_atomic,F2_contextual_implicit,0,1,0.010710527,-0.12294288
55,electron,negative_charge_atomic,F3_process_implicit,0,7,-0.018069396,-0.08026689
56,neutron,neutral_charge_atomic,F2_contextual_implicit,1,3,0.17194958,0.0851131
