prompt_idx,correct_answer,filter_property,wording_family,cluster_k4,cluster_k8,pca_x,pca_y
0,electron,negative_charge_atomic,F3_process_implicit,3,0,0.072328284,-0.07291332
1,electron,negative_charge_atomic,F3_process_implicit,0,7,-0.008565925,-0.17306568
2,neutron,nuclear_stability_provider,F4_contrast_implicit,3,6,0.12143676,0.030480139
3,neutron,neutral_charge_atomic,F2_contextual_implicit,3,0,0.036687948,-0.017717978
4,neutron,nuclear_stability_provider,F3_process_implicit,2,2,-0.3496588,0.012266215
5,photon,em_quantum,F2_contextual_implicit,2,2,-0.4117529,-0.051564697
6,neutron,neutral_charge_atomic,F1_direct_implicit,3,4,0.23177281,0.024700824
7,electron,negative_charge_atomic,F1_direct_implicit,0,7,-0.04075988,-0.10328364
8,proton,positive_charge_atomic,F2_contextual_implicit,2,3,-0.110386714,-0.08321431
9,proton,positive_charge_atomic,F3_process_implicit,0,0,0.085264355,-0.11010001
10,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.19819105,-0.065698825
11,photon,massless_em_mediator,F3_process_implicit,0,3,-0.1002084,-0.08273118
12,neutron,neutral_charge_atomic,F2_contextual_implicit,3,0,0.11904741,-0.068932824
13,neutron,neutral_charge_atomic,F2_contextual_implicit,2,3,-0.13090463,-0.08597163
14,neutron,nuclear_stability_provider,F1_direct_implicit,3,4,0.17840138,0.05395465
15,neutron,neutral_charge_atomic,F1_direct_implicit,3,4,0.15392289,0.031766523
16,photon,em_quantum,F1_direct_implicit,3,4,0.0614889,0.13039568
17,photon,em_quantum,F3_process_implicit,0,0,0.09959463,-0.060902357
18,neutron,nuclear_stability_provider,F1_direct_implicit,3,4,0.17599232,0.12033289
19,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.1250013,-0.04867181
20,photon,massless_em_mediator,F4_contrast_implicit,1,1,-0.11973254,0.2878799
21,electron,negative_charge_atomic,F2_contextual_implicit,3,0,0.030164234,-0.02856676
22,proton,positive_charge_atomic,F4_contrast_implicit,3,4,0.09383007,0.06517627
23,proton,positive_charge_atomic,F1_direct_implicit,3,4,0.19826077,-0.0010692211
24,electron,negative_charge_atomic,F2_contextual_implicit,0,7,-0.026948154,-0.112864226
25,photon,em_quantum,F4_contrast_implicit,1,1,0.05496686,0.20162807
26,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.20503424,-0.002502002
27,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.2007443,0.02011216
28,photon,massless_em_mediator,F2_contextual_implicit,2,2,-0.32754713,0.3488307
29,electron,negative_charge_atomic,F4_contrast_implicit,3,6,0.20378509,0.06879003
30,proton,positive_charge_atomic,F2_contextual_implicit,3,6,0.12232985,-0.06610613
31,electron,negative_charge_atomic,F1_direct_implicit,3,4,0.13156375,0.044323213
32,electron,negative_charge_atomic,F1_direct_implicit,3,4,0.18225473,-0.026077878
33,proton,positive_charge_atomic,F1_direct_implicit,3,4,0.19931899,0.01611853
34,photon,massless_em_mediator,F2_contextual_implicit,2,2,-0.29946148,0.13088453
35,photon,em_quantum,F3_process_implicit,0,7,0.0849156,-0.05793416
36,neutron,nuclear_stability_provider,F1_direct_implicit,3,4,0.020226162,0.06905882
37,neutron,neutral_charge_atomic,F3_process_implicit,3,5,-0.069977604,-0.040378273
38,neutron,nuclear_stability_provider,F3_process_implicit,2,5,-0.1390915,0.0009999122
39,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.16462335,-0.05749881
40,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.12388616,-0.04092245
41,electron,negative_charge_atomic,F1_direct_implicit,3,4,0.18327165,0.03808794
42,electron,negative_charge_atomic,F3_process_implicit,0,5,-0.08656574,-0.07541662
43,photon,em_quantum,F3_process_implicit,2,3,-0.32548836,-0.12313748
44,neutron,neutral_charge_atomic,F3_process_implicit,0,3,-0.0922149,-0.07370777
45,neutron,nuclear_stability_provider,F3_process_implicit,3,0,0.10646932,-0.069606565
46,neutron,neutral_charge_atomic,F1_direct_implicit,3,4,0.21028411,0.06534939
47,photon,massless_em_mediator,F4_contrast_implicit,1,1,0.08633763,0.17479406
48,electron,negative_charge_atomic,F4_contrast_implicit,1,6,0.14301558,0.11149846
49,photon,em_quantum,F1_direct_implicit,0,7,0.13457058,-0.06201391
50,neutron,nuclear_stability_provider,F4_contrast_implicit,0,7,0.019343924,-0.15791944
51,proton,positive_charge_atomic,F2_contextual_implicit,0,0,0.09184012,-0.061766755
52,neutron,nuclear_stability_provider,F3_process_implicit,3,4,0.110882744,0.1099451
53,photon,massless_em_mediator,F1_direct_implicit,1,1,0.057244904,0.28278384
54,electron,negative_charge_atomic,F2_contextual_implicit,0,7,-0.0007549584,-0.12823634
55,electron,negative_charge_atomic,F3_process_implicit,0,0,-0.034358583,-0.08306751
56,neutron,neutral_charge_atomic,F2_contextual_implicit,3,4,0.20131496,0.08464858
57,neutron,nuclear_stability_provider,F3_process_implicit,3,4,0.1619043,-0.00826894
58,photon,massless_em_mediator,F3_process_implicit,0,0,0.010965596,-0.07621451
59,photon,em_quantum,F4_contrast_implicit,1,3,-0.07895398,0.056298506
60,proton,positive_charge_atomic,F2_contextual_implicit,0,7,-0.012676445,-0.12584358
61,neutron,neutral_charge_atomic,F2_contextual_implicit,0,7,0.097393684,-0.15651922
62,photon,em_quantum,F2_contextual_implicit,0,7,0.14870794,-0.072542794
63,photon,em_quantum,F2_contextual_implicit,0,0,-0.032337174,-0.054268267
64,proton,positive_charge_atomic,F3_process_implicit,0,7,-0.05346428,-0.13460119
65,photon,em_quantum,F2_contextual_implicit,0,7,0.12480575,-0.03242122
66,proton,positive_charge_atomic,F3_process_implicit,3,0,0.067275405,-0.08534555
67,photon,em_quantum,F4_contrast_implicit,1,1,-0.019578578,0.16061124
68,neutron,neutral_charge_atomic,F2_contextual_implicit,2,5,-0.18600185,0.030506393
69,photon,em_quantum,F3_process_implicit,2,3,-0.23326585,-0.063985854
70,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.16426744,-0.057112984
71,proton,positive_charge_atomic,F2_contextual_implicit,0,7,-0.06298279,-0.13491364
72,electron,negative_charge_atomic,F4_contrast_implicit,0,6,0.14700888,-0.10847573
73,neutron,neutral_charge_atomic,F4_contrast_implicit,1,1,-0.07232098,0.450084
74,proton,positive_charge_atomic,F3_process_implicit,0,7,0.03620036,-0.13529693
75,photon,em_quantum,F4_contrast_implicit,1,1,0.08663103,0.15354557
76,neutron,nuclear_stability_provider,F1_direct_implicit,3,6,0.07912207,0.032382682
77,photon,em_quantum,F3_process_implicit,2,2,-0.40062213,-0.059420176
78,photon,em_quantum,F3_process_implicit,2,2,-0.3583077,0.15195769
79,photon,massless_em_mediator,F4_contrast_implicit,1,1,-0.0057522343,0.3293594
80,neutron,nuclear_stability_provider,F4_contrast_implicit,3,6,0.11900413,-0.06877877
81,neutron,neutral_charge_atomic,F4_contrast_implicit,0,6,0.019487709,-0.066159815
82,photon,em_quantum,F2_contextual_implicit,0,7,0.037475683,-0.09046923
83,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.091771826,-0.03225004
84,electron,negative_charge_atomic,F4_contrast_implicit,3,6,0.09065618,-0.012918545
85,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.13571219,0.16294257
86,neutron,nuclear_stability_provider,F4_contrast_implicit,3,6,0.09283132,0.01040268
87,neutron,neutral_charge_atomic,F3_process_implicit,2,2,-0.30275604,0.17571844
88,neutron,nuclear_stability_provider,F3_process_implicit,2,2,-0.3414461,0.0073941993
89,proton,positive_charge_atomic,F2_contextual_implicit,0,7,0.070124745,-0.11058252
90,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.18932755,-0.029510327
91,photon,em_quantum,F2_contextual_implicit,2,3,-0.19455178,-0.04536852
92,photon,massless_em_mediator,F3_process_implicit,2,2,-0.37620246,-0.041700374
93,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.12945645,-0.07532992
94,electron,negative_charge_atomic,F3_process_implicit,3,0,0.07955479,-0.0654271
95,neutron,nuclear_stability_provider,F3_process_implicit,0,3,-0.14491914,-0.1266991
96,photon,massless_em_mediator,F2_contextual_implicit,2,1,-0.16912562,0.15510933
97,neutron,neutral_charge_atomic,F4_contrast_implicit,3,4,0.15860902,0.089843
98,electron,negative_charge_atomic,F3_process_implicit,3,0,0.06661967,0.009652757
99,neutron,neutral_charge_atomic,F2_contextual_implicit,0,0,0.08837419,-0.104445234
100,proton,positive_charge_atomic,F3_process_implicit,2,5,-0.13181011,-0.06415663
101,proton,positive_charge_atomic,F2_contextual_implicit,1,0,0.07568612,0.10024071
102,neutron,nuclear_stability_provider,F4_contrast_implicit,3,6,0.09673889,-0.019619334
103,proton,positive_charge_atomic,F1_direct_implicit,0,7,0.099889435,-0.10779794
104,electron,negative_charge_atomic,F2_contextual_implicit,0,0,0.11390994,-0.051029027
105,neutron,neutral_charge_atomic,F3_process_implicit,3,0,0.033656806,0.10255684
106,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.17137714,0.014681881
107,electron,negative_charge_atomic,F4_contrast_implicit,0,3,-0.08651151,-0.07631153
108,neutron,neutral_charge_atomic,F3_process_implicit,0,0,0.021300022,-0.08593803
109,photon,massless_em_mediator,F2_contextual_implicit,2,5,-0.14315258,0.18642862
110,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.10455068,-0.029561097
111,electron,negative_charge_atomic,F3_process_implicit,2,5,-0.1419281,0.06994873
112,electron,negative_charge_atomic,F2_contextual_implicit,0,7,0.1437476,-0.036107402
113,neutron,nuclear_stability_provider,F2_contextual_implicit,3,0,0.08869303,-0.03198207
114,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.14849573,-0.02863804
115,photon,em_quantum,F2_contextual_implicit,0,7,0.0341718,-0.10990471
116,electron,negative_charge_atomic,F4_contrast_implicit,3,4,0.06574124,0.004435122
117,electron,negative_charge_atomic,F2_contextual_implicit,2,3,-0.18135007,-0.105608195
118,electron,negative_charge_atomic,F4_contrast_implicit,3,4,0.15279524,-0.01543769
119,neutron,neutral_charge_atomic,F3_process_implicit,0,7,-0.059208978,-0.13053493
120,neutron,neutral_charge_atomic,F2_contextual_implicit,3,5,0.01384905,0.0055788956
121,neutron,nuclear_stability_provider,F2_contextual_implicit,0,0,0.013989179,-0.077449225
122,photon,em_quantum,F4_contrast_implicit,1,7,0.07941541,0.040686235
123,photon,massless_em_mediator,F4_contrast_implicit,1,1,-0.00712443,0.28099895
124,neutron,nuclear_stability_provider,F2_contextual_implicit,3,5,-0.052573465,0.053123504
125,neutron,neutral_charge_atomic,F4_contrast_implicit,3,4,0.13312192,0.12275719
126,electron,negative_charge_atomic,F4_contrast_implicit,0,0,-0.012354372,-0.051276557
127,photon,em_quantum,F2_contextual_implicit,2,2,-0.3377299,-0.05307081
128,photon,massless_em_mediator,F2_contextual_implicit,2,2,-0.26121244,-0.02379803
129,electron,negative_charge_atomic,F2_contextual_implicit,3,0,0.110349365,-0.076414645
130,photon,em_quantum,F3_process_implicit,0,0,-0.06174759,-0.0925881
131,neutron,nuclear_stability_provider,F3_process_implicit,3,5,0.037562877,0.05847425
132,photon,em_quantum,F2_contextual_implicit,3,0,0.11179722,-0.014042675
133,neutron,nuclear_stability_provider,F3_process_implicit,3,5,-0.02214649,-0.0035032753
134,neutron,neutral_charge_atomic,F2_contextual_implicit,0,7,-0.03902144,-0.1212842
135,proton,positive_charge_atomic,F3_process_implicit,3,5,-0.027054,-0.025788277
136,neutron,nuclear_stability_provider,F4_contrast_implicit,2,3,-0.17328443,-0.0027081585
137,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.02758679,0.026610736
138,neutron,neutral_charge_atomic,F1_direct_implicit,3,4,0.16382799,0.16429941
139,electron,negative_charge_atomic,F2_contextual_implicit,0,0,-0.07829619,-0.046206824
140,electron,negative_charge_atomic,F3_process_implicit,2,3,-0.16388354,-0.08653873
141,electron,negative_charge_atomic,F4_contrast_implicit,0,7,0.04828931,-0.15473694
142,neutron,neutral_charge_atomic,F2_contextual_implicit,0,0,-0.0031908974,-0.14620183
143,electron,negative_charge_atomic,F3_process_implicit,3,0,0.07046499,-0.08145575
144,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.18604779,-0.03877266
145,photon,em_quantum,F4_contrast_implicit,1,1,0.13664712,0.11420472
146,neutron,nuclear_stability_provider,F4_contrast_implicit,3,6,0.1260036,0.052712027
