prompt_idx,correct_answer,filter_property,wording_family,cluster_k4,cluster_k8,pca_x,pca_y
0,electron,negative_charge_atomic,F3_process_implicit,1,4,0.16274469,-0.039275147
1,electron,negative_charge_atomic,F3_process_implicit,3,6,-0.038514227,-0.19784555
2,neutron,nuclear_stability_provider,F4_contrast_implicit,1,2,0.17756857,-0.01176814
3,neutron,neutral_charge_atomic,F2_contextual_implicit,1,2,0.10826115,-0.0024219006
4,neutron,nuclear_stability_provider,F3_process_implicit,0,0,-0.28353256,0.0007669702
5,photon,em_quantum,F2_contextual_implicit,0,3,-0.45007163,-0.12028069
6,neutron,neutral_charge_atomic,F1_direct_implicit,1,2,0.29442632,0.029608704
7,electron,negative_charge_atomic,F1_direct_implicit,3,6,-0.081559904,-0.14301881
8,proton,positive_charge_atomic,F2_contextual_implicit,0,1,-0.06487334,-0.08819022
9,proton,positive_charge_atomic,F3_process_implicit,3,4,0.13107798,-0.10269386
10,proton,positive_charge_atomic,F4_contrast_implicit,3,4,0.16207756,-0.08870066
11,photon,massless_em_mediator,F3_process_implicit,3,1,-0.112994604,-0.10375189
12,neutron,neutral_charge_atomic,F2_contextual_implicit,1,4,0.17028274,-0.06806951
13,neutron,neutral_charge_atomic,F2_contextual_implicit,0,1,-0.15406987,-0.12212824
14,neutron,nuclear_stability_provider,F1_direct_implicit,1,2,0.2250339,0.09638747
15,neutron,neutral_charge_atomic,F1_direct_implicit,1,2,0.20239888,0.059772212
16,photon,em_quantum,F1_direct_implicit,1,2,0.0929966,0.1794596
17,photon,em_quantum,F3_process_implicit,3,4,0.110850215,-0.049226917
18,neutron,nuclear_stability_provider,F1_direct_implicit,1,2,0.17193596,0.18711707
19,proton,positive_charge_atomic,F4_contrast_implicit,1,4,0.10256316,-0.075224034
20,photon,massless_em_mediator,F4_contrast_implicit,2,5,-0.27234718,0.30816716
21,electron,negative_charge_atomic,F2_contextual_implicit,1,2,0.0954251,-0.021657504
22,proton,positive_charge_atomic,F4_contrast_implicit,1,2,0.14776503,0.046373524
23,proton,positive_charge_atomic,F1_direct_implicit,1,2,0.2618801,0.01517877
24,electron,negative_charge_atomic,F2_contextual_implicit,3,6,-0.07216139,-0.14870924
25,photon,em_quantum,F4_contrast_implicit,2,7,-0.03216742,0.22345349
26,proton,positive_charge_atomic,F4_contrast_implicit,1,4,0.19272022,-0.039308198
27,proton,positive_charge_atomic,F4_contrast_implicit,1,2,0.198952,0.008767098
28,photon,massless_em_mediator,F2_contextual_implicit,2,5,-0.38988638,0.3223703
29,electron,negative_charge_atomic,F4_contrast_implicit,1,2,0.19450964,0.0352308
30,proton,positive_charge_atomic,F2_contextual_implicit,1,4,0.11620669,-0.08595044
31,electron,negative_charge_atomic,F1_direct_implicit,1,2,0.18897669,0.049880184
32,electron,negative_charge_atomic,F1_direct_implicit,1,2,0.20935677,-0.016729213
33,proton,positive_charge_atomic,F1_direct_implicit,1,2,0.23472108,0.025101662
34,photon,massless_em_mediator,F2_contextual_implicit,0,5,-0.31846482,0.16786608
35,photon,em_quantum,F3_process_implicit,3,4,0.059281573,-0.084771626
36,neutron,nuclear_stability_provider,F1_direct_implicit,1,2,0.052958414,0.08965571
37,neutron,neutral_charge_atomic,F3_process_implicit,1,0,0.024886966,-0.0044248775
38,neutron,nuclear_stability_provider,F3_process_implicit,1,0,-0.053780504,0.005793467
39,proton,positive_charge_atomic,F4_contrast_implicit,1,4,0.1782877,-0.08433325
40,proton,positive_charge_atomic,F4_contrast_implicit,3,4,0.12877767,-0.06984175
41,electron,negative_charge_atomic,F1_direct_implicit,1,2,0.22566842,0.057194453
