layer_group,use_circuit_only,k,label_type,ari,nmi,purity,silhouette,n_features,n_prompts
all,False,4,particle_identity,0.1194618039255765,0.19677061228864368,0.5167785234899329,0.1818845570087433,77,447
all,False,4,filter_property,0.11030439498496225,0.1934078553726414,0.36017897091722595,0.1818845570087433,77,447
all,False,4,wording_family,0.1379170613774908,0.18755140271901966,0.5123042505592841,0.1818845570087433,77,447
all,False,8,particle_identity,0.09768410182143869,0.1723600224132169,0.5346756152125279,0.15986749529838562,77,447
all,False,8,filter_property,0.09020464842264293,0.18048434875972308,0.38031319910514544,0.15986749529838562,77,447
all,False,8,wording_family,0.17400767719848587,0.28590813410810917,0.6196868008948546,0.15986749529838562,77,447
early,False,4,particle_identity,0.032097531571612256,0.0325572082647877,0.38031319910514544,0.1805880218744278,20,447
early,False,4,filter_property,0.01617717323392786,0.032408601984776846,0.24608501118568232,0.1805880218744278,20,447
early,False,4,wording_family,0.2010528266805318,0.226787323420413,0.5145413870246085,0.1805880218744278,20,447
early,False,8,particle_identity,0.02198706871756379,0.03970609895458603,0.4116331096196868,0.13732454180717468,20,447
early,False,8,filter_property,0.014473111240127618,0.04614227977931526,0.26174496644295303,0.13732454180717468,20,447
early,False,8,wording_family,0.12460137549701854,0.23051351145717722,0.5525727069351231,0.13732454180717468,20,447
mid,False,4,particle_identity,0.01721426112144961,0.03062716752665352,0.37583892617449666,0.21363729238510132,37,447
mid,False,4,filter_property,0.017694248812437953,0.03402934317171575,0.2483221476510067,0.21363729238510132,37,447
mid,False,4,wording_family,0.33264972338222554,0.41314863193260115,0.6331096196868009,0.21363729238510132,37,447
mid,False,8,particle_identity,0.018838457112307114,0.05551930324814006,0.40492170022371365,0.14615267515182495,37,447
mid,False,8,filter_property,0.02345585164011559,0.06483731892498183,0.2930648769574944,0.14615267515182495,37,447
mid,False,8,wording_family,0.23039188077360748,0.3700445376216643,0.6711409395973155,0.14615267515182495,37,447
late,False,4,particle_identity,0.12729153999086648,0.19378316667697243,0.5145413870246085,0.2065710425376892,20,447
late,False,4,filter_property,0.11614297292577923,0.20233653884264868,0.33557046979865773,0.2065710425376892,20,447
late,False,4,wording_family,0.03599056811106671,0.09181219073832682,0.4317673378076063,0.2065710425376892,20,447
late,False,8,particle_identity,0.10846916031754256,0.21350853602495984,0.5548098434004475,0.15740050375461578,20,447
late,False,8,filter_property,0.10470891253546542,0.2202398962210437,0.39149888143176736,0.15740050375461578,20,447
late,False,8,wording_family,0.0528869241795046,0.12485251609876996,0.47874720357941836,0.15740050375461578,20,447
retrieval,False,4,particle_identity,0.01370304272920335,0.037002313850786325,0.38478747203579416,0.18843914568424225,15,447
retrieval,False,4,filter_property,0.029538391875185983,0.04884982905588374,0.26174496644295303,0.18843914568424225,15,447
retrieval,False,4,wording_family,0.22704703607781632,0.31001038288828825,0.5324384787472036,0.18843914568424225,15,447
retrieval,False,8,particle_identity,0.004711662318126976,0.04517588647473463,0.39149888143176736,0.1466468721628189,15,447
retrieval,False,8,filter_property,0.019164941798243896,0.05881871999985051,0.29082774049217003,0.1466468721628189,15,447
retrieval,False,8,wording_family,0.17697145423860886,0.28126172087731277,0.5995525727069351,0.1466468721628189,15,447
circuit_layers,False,4,particle_identity,0.13344716424724037,0.19668472635000864,0.5167785234899329,0.18306930363178253,57,447
circuit_layers,False,4,filter_property,0.11352389781883357,0.19591745652677459,0.34451901565995524,0.18306930363178253,57,447
circuit_layers,False,4,wording_family,0.08354286775985592,0.14136496816227817,0.47874720357941836,0.18306930363178253,57,447
circuit_layers,False,8,particle_identity,0.09727392005054188,0.18244105083196244,0.5324384787472036,0.15305140614509583,57,447
circuit_layers,False,8,filter_property,0.10340987077340039,0.19445578254269175,0.39373601789709173,0.15305140614509583,57,447
circuit_layers,False,8,wording_family,0.1583133987998331,0.2593547771402409,0.6017897091722595,0.15305140614509583,57,447
