layer,n_features_analysed,n_particle_tests,n_strong_candidate,n_partial_candidate,n_ordering_T_C_B,mean_candidate_specificity,mean_competitor_presence,mean_IPR
10,5,20,0,0,1,-0.0664698600769043,0.06430071592330933,0.9408655609937867
11,5,20,0,0,1,-0.06766963005065918,-0.0005598783493041993,0.982668015996726
12,5,20,0,0,1,-0.0005183100700378418,0.0827981948852539,0.9853756945040639
13,5,20,0,0,0,-0.03933074474334717,0.0045920610427856445,0.9989752706232923
14,5,20,0,0,0,-0.01798517405986786,0.13045358657836914,1.0689277609041272
15,5,20,0,0,2,-0.033815526962280275,0.08504078388214112,0.9716916343698213
16,2,8,0,0,0,0.039913952350616455,-0.02667444944381714,1.075944417929392
17,5,20,0,1,0,-0.06352725625038147,0.034858202934265135,0.9889275731441596
18,5,20,0,0,1,-0.17942222356796264,0.08577432632446289,0.9446868589780869
19,5,20,0,1,0,-0.15688164234161378,0.0479644775390625,0.9549995394650996
20,5,20,0,0,0,-0.1784350633621216,-0.1316542387008667,0.9714375255962125
21,5,20,0,1,0,-0.16732683181762695,-0.07859020233154297,0.9729332398417089
22,5,20,0,0,1,-0.022811579704284667,0.0756422996520996,1.0000248196325365
23,5,20,0,0,0,-0.0321978509426117,0.22368016242980956,1.0747877234069103
24,5,20,1,0,1,-0.14884653091430664,0.8564131259918213,0.9465087406043257
25,5,20,0,0,1,-0.029765546321868896,0.4091331005096436,1.8592903631072921
