prompt_idx,correct_answer,filter_property,wording_family,first_rank1_layer,final_rank,final_margin,final_entropy,mean_margin_L10_13,mean_margin_L22_25,margin_increase
0,electron,negative_charge_atomic,F3_process_implicit,10,2.0,-1.703125,1.1269664764404297,0.0,-5.77734375,-5.77734375
1,electron,negative_charge_atomic,F3_process_implicit,10,2.0,-4.5625,0.3576600253582001,0.0,-4.40234375,-4.40234375
2,neutron,nuclear_stability_provider,F4_contrast_implicit,10,0.0,3.3828125,0.3669890761375427,0.0,3.955322265625,3.955322265625
3,neutron,neutral_charge_atomic,F2_contextual_implicit,10,0.0,0.9375,0.9384713172912598,0.0,3.2578125,3.2578125
4,neutron,nuclear_stability_provider,F3_process_implicit,10,0.0,0.609375,0.988480806350708,0.0,0.04296875,0.04296875
5,photon,em_quantum,F2_contextual_implicit,10,0.0,0.296875,0.8510000705718994,0.0,1.79296875,1.79296875
6,neutron,neutral_charge_atomic,F1_direct_implicit,10,0.0,3.40625,0.40309157967567444,0.0,4.2314453125,4.2314453125
7,electron,negative_charge_atomic,F1_direct_implicit,10,2.0,-3.53125,0.5305104851722717,0.0,-3.240234375,-3.240234375
8,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-6.34375,0.1162179559469223,0.0,-7.0546875,-7.0546875
9,proton,positive_charge_atomic,F3_process_implicit,10,2.0,-4.6875,0.26913130283355713,0.0,-6.1484375,-6.1484375
10,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-4.90625,0.21999786794185638,0.0,-6.2578125,-6.2578125
11,photon,massless_em_mediator,F3_process_implicit,10,1.0,-1.0390625,0.8269534111022949,0.0,0.380859375,0.380859375
12,neutron,neutral_charge_atomic,F2_contextual_implicit,10,0.0,3.4296875,0.24512949585914612,0.0,2.80078125,2.80078125
13,neutron,neutral_charge_atomic,F2_contextual_implicit,10,1.0,-0.28125,0.8262544870376587,0.0,0.12890625,0.12890625
14,neutron,nuclear_stability_provider,F1_direct_implicit,10,0.0,0.953125,0.7078583836555481,0.0,4.00390625,4.00390625
15,neutron,neutral_charge_atomic,F1_direct_implicit,10,0.0,2.5703125,0.4044533967971802,0.0,4.283203125,4.283203125
16,photon,em_quantum,F1_direct_implicit,10,1.0,-1.5859375,0.5315853357315063,0.0,-2.998046875,-2.998046875
17,photon,em_quantum,F3_process_implicit,10,1.0,-2.796875,0.4660463333129883,0.0,-2.16015625,-2.16015625
18,neutron,nuclear_stability_provider,F1_direct_implicit,10,1.0,-2.70703125,0.48797816038131714,0.0,2.4091796875,2.4091796875
19,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-4.25,0.3204820156097412,0.0,-5.54296875,-5.54296875
20,photon,massless_em_mediator,F4_contrast_implicit,10,0.0,4.140625,0.14860598742961884,0.0,1.53515625,1.53515625
21,electron,negative_charge_atomic,F2_contextual_implicit,10,2.0,-2.8125,0.9078803062438965,0.0,-6.25,-6.25
22,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-2.296875,0.9785053730010986,0.0,-5.56640625,-5.56640625
23,proton,positive_charge_atomic,F1_direct_implicit,10,2.0,-2.140625,0.9661636352539062,0.0,-5.5,-5.5
