cluster,particle,mean_delta_nd_target,mean_delta_nd_other,selectivity,sign_flip_rate,n_target_prompts
0,electron,-4.636142462491989,-5.077798602126894,0.4416561396349046,0.0,16
0,proton,-3.275033939452398,-5.4675651803801335,2.1925312409277353,0.09523809523809523,21
0,neutron,-5.942591113428915,-4.586855615394703,-1.3557354980342122,0.16129032258064516,31
0,photon,-5.423095166683197,-4.81138700948042,-0.6117081572027772,0.375,32
1,electron,-5.678359627723694,-5.590957783517384,-0.08740184420631003,0.1875,16
1,proton,-3.3717605840592157,-6.198572602453111,2.826812018393895,0.047619047619047616,21
1,neutron,-6.6771268767695275,-5.12323586491571,-1.5538910118538176,0.22580645161290322,31
1,photon,-5.9950796365737915,-5.421347933657029,-0.5737317029167626,0.59375,32
2,electron,-3.634311631321907,-3.6747137819017683,0.040402150579861296,0.0,16
2,proton,-3.001420781725929,-3.845507688160184,0.8440869064342551,0.3333333333333333,21
2,neutron,-3.2167112135118052,-3.871114437130914,0.6544032236191089,0.0,31
2,photon,-4.560252301394939,-3.248483384356779,-1.3117689170381603,0.28125,32
3,electron,-5.432085067033768,-5.520652421883175,0.08856735484940703,0.0625,16
3,proton,-3.375920148122878,-6.072833435444892,2.6969132873220136,0.0,21
3,neutron,-7.198644668825211,-4.746234489523846,-2.4524101793013653,0.25806451612903225,31
3,photon,-5.302577987313271,-5.602436307598563,0.299858320285292,0.5,32
4,electron,-5.260610073804855,-5.579537530740102,0.3189274569352465,0.0625,16
4,proton,-3.1085528305598666,-6.171788662294798,3.0632358317349313,0.0,21
4,neutron,-7.348668544523178,-4.710756360620692,-2.6379121839024853,0.3548387096774194,31
4,photon,-5.487275570631027,-5.547913169159608,0.060637598528581194,0.46875,32
5,electron,-4.975430607795715,-5.393291203748612,0.41786059595289693,0.125,16
5,proton,-3.444873253504435,-5.826595095139515,2.38172184163508,0.09523809523809523,21
5,neutron,-6.875469438491329,-4.630489829657734,-2.244979608833595,0.25806451612903225,31
5,photon,-5.236080318689346,-5.368952656493468,0.13287233780412144,0.375,32
