cluster,prompt_idx,correct_answer,filter_property,nd_baseline,nd_steered,delta_nd,steering_coeff
0,210,neutron,nuclear_stability_provider,3.095468044281006,0.09445667266845703,-3.001011371612549,5.0
0,239,neutron,neutral_charge_atomic,9.308439254760742,2.524555206298828,-6.783884048461914,5.0
0,306,photon,massless_em_mediator,5.943663120269775,0.18849468231201172,-5.755168437957764,5.0
0,32,electron,negative_charge_atomic,4.418544769287109,1.3735666275024414,-3.044978141784668,5.0
0,227,photon,massless_em_mediator,1.6001920700073242,0.7072391510009766,-0.8929529190063477,5.0
0,139,electron,negative_charge_atomic,7.335737228393555,1.5444145202636719,-5.791322708129883,5.0
0,292,photon,massless_em_mediator,8.8585205078125,-0.6996164321899414,-9.558136940002441,5.0
0,140,electron,negative_charge_atomic,7.663926124572754,1.7393321990966797,-5.924593925476074,5.0
0,364,proton,positive_charge_atomic,6.3950958251953125,4.150134563446045,-2.2449612617492676,5.0
0,301,neutron,nuclear_stability_provider,8.724493980407715,-0.027622222900390625,-8.752116203308105,5.0
0,182,neutron,nuclear_stability_provider,11.893516540527344,-1.8760042190551758,-13.76952075958252,5.0
0,271,electron,negative_charge_atomic,6.692653179168701,2.1263742446899414,-4.56627893447876,5.0
0,49,photon,em_quantum,6.699645519256592,-2.976808547973633,-9.676454067230225,5.0
0,165,photon,massless_em_mediator,7.2028889656066895,0.9442243576049805,-6.258664608001709,5.0
0,209,neutron,nuclear_stability_provider,3.5195016860961914,-1.0441656112670898,-4.563667297363281,5.0
0,366,photon,em_quantum,6.864108562469482,-2.651726722717285,-9.515835285186768,5.0
0,15,neutron,neutral_charge_atomic,4.923307418823242,-0.8036117553710938,-5.726919174194336,5.0
0,104,electron,negative_charge_atomic,4.782195568084717,1.7183008193969727,-3.063894748687744,5.0
0,14,neutron,nuclear_stability_provider,10.304678916931152,0.17288780212402344,-10.131791114807129,5.0
0,7,electron,negative_charge_atomic,5.830833435058594,0.22185707092285156,-5.608976364135742,5.0
0,237,proton,positive_charge_atomic,5.94530725479126,-0.9669342041015625,-6.912241458892822,5.0
0,420,photon,em_quantum,0.5153980255126953,-2.4716644287109375,-2.987062454223633,5.0
0,288,photon,em_quantum,6.338042259216309,0.7670001983642578,-5.571042060852051,5.0
0,372,photon,massless_em_mediator,6.511629581451416,-2.225374221801758,-8.737003803253174,5.0
0,5,photon,em_quantum,3.6891326904296875,-0.23557758331298828,-3.924710273742676,5.0
0,321,proton,positive_charge_atomic,3.277252674102783,-1.147080421447754,-4.424333095550537,5.0
0,51,proton,positive_charge_atomic,7.992820739746094,1.2899055480957031,-6.702915191650391,5.0
0,396,neutron,neutral_charge_atomic,10.24449348449707,5.3694963455200195,-4.874997138977051,5.0
0,230,neutron,nuclear_stability_provider,13.336688995361328,-0.5336484909057617,-13.87033748626709,5.0
0,187,neutron,neutral_charge_atomic,6.587135314941406,0.40416431427001953,-6.182971000671387,5.0
0,103,proton,positive_charge_atomic,5.59808349609375,-0.48818397521972656,-6.086267471313477,5.0
0,226,photon,massless_em_mediator,4.191532611846924,2.826507568359375,-1.3650250434875488,5.0
0,352,neutron,nuclear_stability_provider,6.511344909667969,1.0043659210205078,-5.506978988647461,5.0
0,40,proton,positive_charge_atomic,3.8210160732269287,2.194854736328125,-1.6261613368988037,5.0
0,388,electron,negative_charge_atomic,6.6477508544921875,-2.2127060890197754,-8.860456943511963,5.0
0,173,photon,em_quantum,6.014272689819336,2.130101203918457,-3.884171485900879,5.0
0,446,photon,em_quantum,1.0662431716918945,-2.8552703857421875,-3.921513557434082,5.0
0,231,photon,em_quantum,8.320059776306152,0.7211742401123047,-7.598885536193848,5.0
0,95,neutron,nuclear_stability_provider,5.70802116394043,5.140424728393555,-0.567596435546875,5.0
0,159,photon,em_quantum,5.544009208679199,-1.196253776550293,-6.740262985229492,5.0
0,99,neutron,neutral_charge_atomic,9.382543563842773,2.884428024291992,-6.498115539550781,5.0
0,97,neutron,neutral_charge_atomic,5.381625175476074,1.2021541595458984,-4.179471015930176,5.0
0,290,neutron,neutral_charge_atomic,4.4724884033203125,0.6967315673828125,-3.7757568359375,5.0
0,233,photon,em_quantum,5.043202877044678,-0.7857046127319336,-5.828907489776611,5.0
0,344,photon,massless_em_mediator,3.09414005279541,-1.6683006286621094,-4.7624406814575195,5.0
0,114,neutron,neutral_charge_atomic,10.5777587890625,1.2784461975097656,-9.299312591552734,5.0
0,154,neutron,neutral_charge_atomic,9.6080322265625,3.4259958267211914,-6.182036399841309,5.0
0,330,neutron,neutral_charge_atomic,9.732321739196777,3.754384994506836,-5.977936744689941,5.0
0,129,electron,negative_charge_atomic,7.805719375610352,1.8004446029663086,-6.005274772644043,5.0
0,143,electron,negative_charge_atomic,9.323150634765625,3.8809900283813477,-5.442160606384277,5.0
0,381,neutron,neutral_charge_atomic,6.245100975036621,0.5608901977539062,-5.684210777282715,5.0
0,432,photon,em_quantum,6.171609401702881,-0.06291580200195312,-6.234525203704834,5.0
0,275,neutron,nuclear_stability_provider,8.71495246887207,1.7944965362548828,-6.9204559326171875,5.0
0,203,electron,negative_charge_atomic,8.828190803527832,2.9858927726745605,-5.8422980308532715,5.0
0,18,neutron,nuclear_stability_provider,8.582381248474121,-0.8826723098754883,-9.46505355834961,5.0
0,392,electron,negative_charge_atomic,7.321447372436523,3.7205276489257812,-3.600919723510742,5.0
0,254,neutron,nuclear_stability_provider,10.739198684692383,0.8423957824707031,-9.89680290222168,5.0
0,347,proton,positive_charge_atomic,3.710710048675537,1.3440818786621094,-2.3666281700134277,5.0
0,297,electron,negative_charge_atomic,6.509035110473633,1.0534377098083496,-5.455597400665283,5.0
0,178,neutron,neutral_charge_atomic,7.117734909057617,2.0009517669677734,-5.116783142089844,5.0
0,172,neutron,neutral_charge_atomic,-0.3251457214355469,0.936854362487793,1.2620000839233398,5.0
0,369,photon,massless_em_mediator,6.089278221130371,0.2849550247192383,-5.804323196411133,5.0
0,20,photon,massless_em_mediator,6.123805999755859,0.4376363754272461,-5.686169624328613,5.0
0,248,photon,massless_em_mediator,4.12650203704834,-2.5820159912109375,-6.708518028259277,5.0
0,404,electron,negative_charge_atomic,4.145124435424805,0.5695209503173828,-3.575603485107422,5.0
0,232,proton,positive_charge_atomic,4.389431476593018,1.5863170623779297,-2.803114414215088,5.0
0,322,neutron,nuclear_stability_provider,7.678031921386719,2.4043474197387695,-5.273684501647949,5.0
0,13,neutron,neutral_charge_atomic,9.17414665222168,4.984018325805664,-4.190128326416016,5.0
0,109,photon,massless_em_mediator,6.151902198791504,-1.1116561889648438,-7.263558387756348,5.0
0,429,electron,negative_charge_atomic,9.79055118560791,3.0843610763549805,-6.70619010925293,5.0
0,336,electron,negative_charge_atomic,6.734516143798828,2.0564661026000977,-4.6780500411987305,5.0
0,128,photon,massless_em_mediator,1.503631591796875,1.3804798126220703,-0.12315177917480469,5.0
0,253,photon,massless_em_mediator,7.693480014801025,-1.7943792343139648,-9.48785924911499,5.0
0,80,neutron,nuclear_stability_provider,10.88343620300293,-1.8017292022705078,-12.685165405273438,5.0
0,142,neutron,neutral_charge_atomic,6.9206013679504395,-0.9840602874755859,-7.904661655426025,5.0
0,304,electron,negative_charge_atomic,5.03150749206543,1.1941051483154297,-3.83740234375,5.0
0,70,proton,positive_charge_atomic,2.329678535461426,-0.005343437194824219,-2.33502197265625,5.0
0,160,electron,negative_charge_atomic,7.377712726593018,0.9949617385864258,-6.382750988006592,5.0
0,58,photon,massless_em_mediator,4.7458648681640625,-2.064366340637207,-6.8102312088012695,5.0
0,345,neutron,nuclear_stability_provider,7.6475830078125,1.9922122955322266,-5.655370712280273,5.0
0,376,electron,negative_charge_atomic,4.905244827270508,0.6569108963012695,-4.248333930969238,5.0
0,47,photon,massless_em_mediator,5.6513566970825195,-0.9946279525756836,-6.645984649658203,5.0
0,280,photon,em_quantum,3.692582607269287,-2.681262969970703,-6.37384557723999,5.0
0,36,neutron,nuclear_stability_provider,5.495974063873291,-0.3005046844482422,-5.796478748321533,5.0
0,395,neutron,neutral_charge_atomic,5.631187438964844,0.16777515411376953,-5.463412284851074,5.0
0,317,neutron,neutral_charge_atomic,8.434223175048828,4.8021650314331055,-3.6320581436157227,5.0
0,207,neutron,nuclear_stability_provider,9.71934700012207,-0.18283843994140625,-9.902185440063477,5.0
0,117,electron,negative_charge_atomic,3.1520423889160156,2.184605598449707,-0.9674367904663086,5.0
0,213,photon,em_quantum,7.144039630889893,-0.1570415496826172,-7.30108118057251,5.0
0,353,proton,positive_charge_atomic,6.467883586883545,2.0089168548583984,-4.4589667320251465,5.0
0,175,neutron,nuclear_stability_provider,9.225187301635742,0.3787803649902344,-8.846406936645508,5.0
0,441,proton,positive_charge_atomic,4.969386100769043,3.3534069061279297,-1.6159791946411133,5.0
0,137,proton,positive_charge_atomic,2.9057178497314453,1.2423758506774902,-1.663341999053955,5.0
0,177,photon,em_quantum,3.4672775268554688,-0.31267261505126953,-3.7799501419067383,5.0
0,42,electron,negative_charge_atomic,9.422890663146973,2.735541343688965,-6.687349319458008,5.0
0,122,photon,em_quantum,5.724333763122559,-2.2853431701660156,-8.009676933288574,5.0
0,188,photon,massless_em_mediator,5.276698589324951,-2.9559383392333984,-8.23263692855835,5.0
0,54,electron,negative_charge_atomic,7.50752067565918,1.8409833908081055,-5.666537284851074,5.0
