layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation
17,0,0.0,0.0,0.0,0.0,0.0
17,1,0.0,0.0,0.0,0.0,0.0
17,2,0.0,0.0,0.0,0.0,0.0
17,3,0.0,0.0,0.0,0.0,0.0
17,4,0.0,0.0,0.0,0.0,0.0
17,5,0.0,0.0,0.0,0.0,0.0
17,6,0.0,0.0,0.0,0.0,0.0
17,7,0.0,0.0,0.0,0.0,0.0
17,8,0.0,0.0,0.0,0.0,0.0
17,9,0.0,0.0,0.0,0.0,0.0
17,10,0.0,0.0,0.0,0.0,0.0
17,11,0.0,0.0,0.0,0.0,0.0
17,12,0.0,0.0,0.0,0.0,0.0
17,13,0.0,0.0,0.0,0.0,0.0
17,14,0.0,0.0,0.0,0.0,0.0
17,15,0.0,0.0,0.0,0.0,0.0
17,16,0.0,0.0,0.0,0.0,0.0
17,17,0.0,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0,0.0
17,19,0.0,0.0,0.0,0.0,0.0
17,20,0.0,0.0,0.0,0.0,0.0
17,21,0.0,0.0,0.0,0.0,0.0
17,22,0.0,0.0,0.0,0.0,0.0
17,23,0.0,0.0,0.0,0.0,0.0
17,24,0.0,0.0,0.0,0.0,0.0
17,25,0.0,0.0,0.0,0.0,0.0
17,26,0.0,0.0,0.0,0.0,0.0
17,27,0.0,0.0,0.0,0.0,0.0
17,28,0.0,0.0,0.0,0.0,0.0
17,29,0.0,0.0,0.0,0.0,0.0
17,30,0.0,0.0,0.0,0.0,0.0
17,31,0.0,0.0,0.0,0.0,0.0
17,32,0.0,0.0,0.0,0.0,0.0
17,33,0.0,0.0,0.0,0.0,0.0
17,34,0.0,0.0,0.0,0.0,0.0
17,35,0.0,0.0,0.0,0.0,0.0
17,36,0.0,0.0,0.0,0.0,0.0
17,37,0.0,0.0,0.0,0.0,0.0
17,38,0.0,0.0,0.0,0.0,0.0
17,39,0.0,0.0,0.0,0.0,0.0
17,40,0.0,0.0,0.0,0.0,0.0
17,41,0.0,0.0,0.0,0.0,0.0
17,42,0.0,0.0,0.0,0.0,0.0
17,43,0.0,0.0,0.0,0.0,0.0
17,44,0.0,0.0,0.0,0.0,0.0
17,45,0.0,0.0,0.0,0.0,0.0
17,46,0.0,0.0,0.0,0.0,0.0
17,47,0.0,0.0,0.0,0.0,0.0
17,48,0.0,0.0,0.0,0.0,0.0
17,49,0.0,0.0,0.0,0.0,0.0
