layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation
19,133761,0.011584473,0.026779398,0.2,0.5421141927178524,0.5421141927178524
19,162499,0.012020874,0.023390496,0.35,0.49669214588732846,0.49669214588732846
19,135661,0.021911621,0.033204343,0.45,0.4535687247617232,0.4535687247617232
19,54268,0.117041014,0.267148,0.2,0.4512149169571146,0.4512149169571146
19,103010,0.08206177,0.08877105,0.75,0.39153109032148126,0.39153109032148126
19,11545,1.313916,1.0729496,0.95,0.2985033291429927,0.2985033291429927
19,87449,0.050683595,0.11365019,0.2,0.28889917735067744,0.28889917735067744
19,68247,1.7609375,1.592632,0.6,-0.16532712209806627,0.16532712209806627
19,141119,2.672168,1.0125962,1.0,0.06221138808603895,0.06221138808603895
19,142719,0.39785156,0.67516714,0.35,-0.0537658214199343,0.0537658214199343
